name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Barisal,2023-11-03,31.0,21.0,25.4,32.6,21.0,25.9,18.0,64.7,0.0,0.0,0.0,,0.0,0.0,9.0,8.6,191.4,1011.3,0.0,24.1,228.5,19.8,7,10.0,2023-11-03T06:03:55,2023-11-03T17:20:02,0.67,Clear,Clear conditions throughout the day.,clear-day,
Barisal,2023-11-02,30.7,20.1,24.9,31.4,20.1,25.2,16.8,61.3,0.0,0.0,0.0,,0.0,0.0,7.9,8.3,198.5,1010.0,6.2,24.1,232.1,20.4,7,10.0,2023-11-02T06:03:22,2023-11-02T17:20:36,0.64,Clear,Clear conditions throughout the day.,clear-day,
Barisal,2023-11-01,30.7,20.5,24.8,30.5,20.5,24.9,16.0,59.3,0.0,0.0,0.0,,0.0,0.0,6.5,6.5,337.3,1010.8,20.4,24.1,233.5,20.4,8,10.0,2023-11-01T06:02:49,2023-11-01T17:21:11,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barisal,2023-10-31,30.7,21.1,25.2,30.7,21.1,25.3,17.1,62.5,0.0,4.8,0.0,,0.0,0.0,9.7,8.6,354.8,1011.5,4.0,24.1,235.6,20.4,8,10.0,2023-10-31T06:02:17,2023-10-31T17:21:48,0.58,Clear,Clear conditions throughout the day.,clear-day,
Barisal,2023-10-30,30.7,21.5,25.7,31.5,21.5,26.1,18.6,66.0,0.0,9.5,0.0,,0.0,0.0,8.3,7.6,97.6,1011.6,32.7,24.1,230.9,20.1,8,10.0,2023-10-30T06:01:46,2023-10-30T17:22:26,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barisal,2023-10-29,30.9,21.5,25.5,31.5,21.5,25.7,17.3,61.6,0.0,14.3,0.0,,0.0,0.0,9.0,8.6,123.2,1011.8,21.3,24.1,230.1,20.1,7,10.0,2023-10-29T06:01:15,2023-10-29T17:23:04,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Barisal,2023-10-28,30.7,22.0,25.8,31.3,22.0,26.1,17.5,61.4,0.0,14.3,0.0,,0.0,0.0,13.0,9.7,17.8,1011.7,26.1,24.1,236.1,20.4,8,10.0,2023-10-28T06:00:44,2023-10-28T17:23:44,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barisal,2023-10-27,30.9,21.8,25.7,32.5,21.8,26.4,18.7,65.7,0.0,28.6,0.0,,0.0,0.0,12.6,10.4,353.3,1011.0,24.4,24.1,237.0,20.4,8,10.0,2023-10-27T06:00:14,2023-10-27T17:24:25,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barisal,2023-10-26,30.8,22.1,25.6,33.5,22.1,26.5,20.1,72.7,0.2,42.9,4.17,rain,0.0,0.0,11.2,7.6,321.3,1010.3,62.4,24.1,203.9,17.7,7,10.0,2023-10-26T05:59:45,2023-10-26T17:25:07,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barisal,2023-10-25,27.8,22.3,24.2,30.4,22.3,24.4,21.6,85.7,1.1,76.2,20.83,rain,0.0,0.0,43.6,26.3,25.4,1008.7,100.0,23.9,98.3,8.6,6,10.0,2023-10-25T05:59:15,2023-10-25T17:25:50,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
