Date,LST_Day_1km_Dhaka,LST_Night_1km_Dhaka,LST_Day_1km_Rajshahi,LST_Night_1km_Rajshahi,LST_Day_1km_Chattogram,LST_Night_1km_Chattogram,LST_Day_1km_Sylhet,LST_Night_1km_Sylhet,LST_Day_1km_Khulna,LST_Night_1km_Khulna,LST_Day_1km_Barishal,LST_Night_1km_Barishal,LST_Day_1km_Rangpur,LST_Night_1km_Rangpur,LST_Day_1km_Mymensingh,LST_Night_1km_Mymensingh,LST_Day_1km_Bagerhat,LST_Night_1km_Bagerhat,LST_Day_1km_Bandarban,LST_Night_1km_Bandarban,LST_Day_1km_Barguna,LST_Night_1km_Barguna,LST_Day_1km_Bhola,LST_Night_1km_Bhola,LST_Day_1km_Bogura,LST_Night_1km_Bogura,LST_Day_1km_Brahmanbaria,LST_Night_1km_Brahmanbaria,LST_Day_1km_Chapainababganj,LST_Night_1km_Chapainababganj,LST_Day_1km_Chuadanga,LST_Night_1km_Chuadanga,LST_Day_1km_Cumilla,LST_Night_1km_Cumilla,LST_Day_1km_Dinajpur,LST_Night_1km_Dinajpur,LST_Day_1km_Faridpur,LST_Night_1km_Faridpur,LST_Day_1km_Gazipur,LST_Night_1km_Gazipur,LST_Day_1km_Gopalganj,LST_Night_1km_Gopalganj,LST_Day_1km_Habiganj,LST_Night_1km_Habiganj,LST_Day_1km_Jamalpur,LST_Night_1km_Jamalpur,LST_Day_1km_Jashore,LST_Night_1km_Jashore,LST_Day_1km_Jhalokati,LST_Night_1km_Jhalokati,LST_Day_1km_Jhenaidah,LST_Night_1km_Jhenaidah,LST_Day_1km_Khagrachhari,LST_Night_1km_Khagrachhari,LST_Day_1km_Kishoreganj,LST_Night_1km_Kishoreganj,LST_Day_1km_Kurigram,LST_Night_1km_Kurigram,LST_Day_1km_Kushtia,LST_Night_1km_Kushtia,LST_Day_1km_Lakshmipur,LST_Night_1km_Lakshmipur,LST_Day_1km_Lalmonirhat,LST_Night_1km_Lalmonirhat,LST_Day_1km_Madaripur,LST_Night_1km_Madaripur,LST_Day_1km_Magura,LST_Night_1km_Magura,LST_Day_1km_Manikganj,LST_Night_1km_Manikganj,LST_Day_1km_Meherpur,LST_Night_1km_Meherpur,LST_Day_1km_Moulvibazar,LST_Night_1km_Moulvibazar,LST_Day_1km_Munshiganj,LST_Night_1km_Munshiganj,LST_Day_1km_Naogaon,LST_Night_1km_Naogaon,LST_Day_1km_Narail,LST_Night_1km_Narail,LST_Day_1km_Narayanganj,LST_Night_1km_Narayanganj,LST_Day_1km_Narsingdi,LST_Night_1km_Narsingdi,LST_Day_1km_Natore,LST_Night_1km_Natore,LST_Day_1km_Netrakona,LST_Night_1km_Netrakona,LST_Day_1km_Nilphamari,LST_Night_1km_Nilphamari,LST_Day_1km_Noakhali,LST_Night_1km_Noakhali,LST_Day_1km_Pabna,LST_Night_1km_Pabna,LST_Day_1km_Panchagarh,LST_Night_1km_Panchagarh,LST_Day_1km_Patuakhali,LST_Night_1km_Patuakhali,LST_Day_1km_Pirojpur,LST_Night_1km_Pirojpur,LST_Day_1km_Rajbari,LST_Night_1km_Rajbari,LST_Day_1km_Rangamati,LST_Night_1km_Rangamati,LST_Day_1km_Satkhira,LST_Night_1km_Satkhira,LST_Day_1km_Sherpur,LST_Night_1km_Sherpur,LST_Day_1km_Sirajganj,LST_Night_1km_Sirajganj,LST_Day_1km_Sunamgan,LST_Night_1km_Sunamgan,LST_Day_1km_Tangail,LST_Night_1km_Tangail,LST_Day_1km_Thakurgaon,LST_Night_1km_Thakurgaon
"Jan 1, 2010",22.301,11.921,21.882,11.412,23.55,13.955,24.059,13.991,20.068,14.431,21.034,13.183,22.514,11.008,22.119,12.245,20.163,13.686,23.263,14.869,22.086,13.116,21.254,14.179,22.681,11.292,22.287,12.555,21.303,10.902,21.975,11.372,22.282,12.158,21.223,10.342,22.452,11.636,21.239,12.258,21.239,12.258,22.506,13.195,23.614,11.571,22.065,12.617,21.298,12.464,22.513,11.681,22.338,13.31,21.307,13.43,22.728,11.84,21.945,11.504,20.985,13.411,23.003,11.132,22.257,11.857,22.834,11.773,21.368,11.422,21.704,11.286,22.68,13.538,21.938,11.996,21.144,11.266,22.113,12.54,22.32,12.747,21.985,12.456,22.282,11.639,22.76,13.714,22.236,10.852,21.802,13.396,22.252,11.699,22.398,11.273,22.001,13.422,20.96,13.02,21.958,11.939,21.694,15.032,20.477,14.238,23.568,12.325,22.295,11.302,22.34,15.146,22.158,11.3,20.259,10.946
"Jan 9, 2010",22.981,11.086,22.207,9.838,23.387,13.465,23.294,13.06,20.589,14.794,20.795,13.542,21.639,11.537,23.543,12.099,20.476,14.127,22.941,13.885,21.881,13.888,21.397,14.672,22.391,10.475,24.163,12.101,21.784,9.383,22.187,10.297,23.9,12.112,22.358,10.7,22.427,10.751,22.002,11.28,22.002,11.28,23.246,12.054,23.386,11.185,21.934,11.937,21.672,12.811,22.488,10.651,21.577,12.273,22.311,12.996,22.222,12.376,21.275,9.851,21.854,13.578,22.612,12.234,21.987,12.404,22.953,10.56,22.284,9.923,22.309,9.942,23.358,12.287,21.767,11.743,22.237,9.996,21.843,12.094,23.037,12.473,23.207,11.977,22.31,10.973,23.581,13.475,22.65,11.717,22.774,13.838,22.081,10.744,22.638,11.622,22.126,14.116,21.443,13.462,21.7,10.509,21.067,13.909,21.034,15.043,24.09,12.13,22.326,10.496,22.406,14.627,22.223,10.386,21.501,10.847
"Jan 17, 2010",23.914,14.021,22.006,10.996,26.581,14.605,25.941,15.04,21.952,14.15,22.817,14.123,21.443,12.229,24.733,15.154,21.985,13.439,25.089,15.521,23.768,13.105,23.062,14.423,22.373,12.11,25.119,15.487,21.111,10.24,23.121,11.034,25.05,14.755,21.09,11.147,24.011,12.482,23.919,14.6,23.919,14.6,24.73,15.724,23.366,13.621,23.486,13.196,23.735,13.386,23.831,11.461,25.196,14.105,23.845,16.269,21.642,13.181,22.776,10.947,23.067,14.045,21.22,12.767,23.487,13.587,24.489,11.86,23.471,12.31,22.466,10.535,25.027,15.068,23.041,13.507,20.572,11.525,24.064,13.182,24.3,14.616,24.212,14.844,21.733,12.399,24.886,16.26,20.096,12.055,24.21,13.971,22.917,12.216,19.82,11.606,24.044,13.612,23.272,13.436,23.417,12.042,23.976,15.431,22.295,14.07,24.346,14.612,23.075,12.565,23.964,16.551,23.765,13.519,19.12,10.857
"Jan 25, 2010",25.468,14.089,25.126,12.504,26.375,14.374,25.249,13.661,22.91,15.406,23.991,14.395,24.637,12.831,25.18,14.852,23.031,14.226,25.435,14.504,25.36,13.197,24.524,14.547,25.503,12.874,25.444,15.026,24.978,12.124,24.659,13.117,25.937,14.554,25.51,12.082,25.063,12.376,25.21,14.392,25.21,14.392,24.978,14.775,25.2,14.318,24.728,14.924,24.589,13.556,25.1,13.508,25.003,13.503,24.336,15.894,24.5,13.874,24.769,12.286,24.574,14.302,24.026,13.146,24.601,13.595,25.415,12.945,25.176,12.086,24.7,12.322,24.921,13.91,23.986,12.983,25.476,12.74,24.792,13.729,25.047,14.94,24.639,14.954,24.658,13.24,24.787,15.792,24.245,12.767,25.598,14.279,24.984,12.7,24.397,12.615,25.626,13.545,24.076,13.634,24.74,12.58,23.831,14.481,23.503,15.696,25.238,14.627,25.148,13.187,23.916,15.459,25.138,13.699,24.109,11.669
"Feb 2, 2010",24.915,14.202,24.925,12.773,26.083,13.988,24.76,12.509,23.227,16.047,23.752,14.963,23.054,11.637,23.755,14.713,23.004,15.213,24.969,13.873,25.338,14.134,24.623,15.298,24.252,13.035,24.383,15.145,24.799,12.682,24.706,13.964,24.746,14.709,24.449,11.631,24.961,13.081,24.697,13.79,24.697,13.79,24.56,14.1,23.581,14.193,24.619,15.839,24.044,14.44,25.104,14.283,24.506,12.606,22.964,15.597,23.095,12.93,24.507,12.639,24.406,14.745,22.602,11.654,24.196,14.091,25.199,13.731,24.993,12.706,24.527,13.299,24.584,12.605,23.719,12.888,24.417,12.921,24.727,14.572,24.231,14.694,24.036,14.675,23.871,13.439,23.327,15.504,22.622,11.33,25.292,14.468,24.844,13.105,23.705,11.286,25.768,14.392,23.733,14.645,24.531,13.07,23.077,14.006,23.843,16.519,23.046,14.448,24.421,13.808,22.815,14.351,24.399,13.87,23.747,11.011
"Feb 10, 2010",26.469,17.978,26.488,17.194,26.608,17.604,26.913,15.867,23.949,19.193,25.068,17.996,25.766,16.028,25.673,18.313,24.345,18.567,27.028,17.612,28.611,18.032,26.298,18.246,24.859,17.554,25.262,18.393,26.595,16.475,25.254,17.93,24.491,18.113,26.89,15.7,26.657,17.034,26.609,17.822,26.609,17.822,27.266,17.438,26.1,17.576,25.008,19.504,25.518,18.063,24.709,18.437,24.84,16.5,24.895,18.52,25.969,16.157,23.921,17.126,25,18.051,24.818,15.335,25.287,17.429,26.32,18.135,26.116,17.242,24.93,17.523,27.395,16.124,24.651,16.631,26.481,17.215,25.515,17.823,25.459,18.47,25.644,18.409,24.857,17.636,25.089,18.254,24.86,15.354,26.272,17.472,24.671,17.539,27.375,14.404,28.18,17.816,25.401,17.972,24.019,17.163,23.519,17.401,24.728,19.941,25.896,17.846,25.204,18.212,25.22,17.239,25.278,18.086,26.494,14.102
"Feb 18, 2010",26.652,15.972,26.691,15.778,26.074,17.003,25.877,14.705,24.041,18.979,24.374,17.449,25.595,15.045,24.965,17.301,23.616,18.213,26.839,16.595,24.816,17.17,24.511,18,25.811,16.704,25.494,17.468,27.396,15.17,25.709,17.107,26.124,17.546,26.507,15.098,27.083,15.217,26.245,16.057,26.245,16.057,26.533,16.334,25.346,16.564,26.676,19.089,24.748,16.965,26.41,17.324,26.386,15.779,24.02,17.03,25.849,14.755,25.664,15.435,24.8,17.2,25.521,14.201,25.346,16.145,27.938,16.582,25.915,15.745,25.318,16.362,27.119,14.984,25.828,14.766,26.542,16.416,26.745,16.769,26.271,16.322,25.574,17.227,25.228,15.982,24.264,17.517,25.47,14.756,25.41,17.101,25.794,15.38,26.916,13.888,26.053,17.186,24.174,17.576,26.75,14.892,24.328,16.39,24.242,20.149,24.766,16.688,25.54,16.302,23.713,16.166,25.648,16.2,26.68,13.554
"Feb 26, 2010",28.908,20.98,30.37,19.825,29.172,20.994,28.412,18.598,28.181,22.633,28.119,21.97,27.715,19.39,28.258,20.76,28.014,22.256,30.335,19.477,30.245,22.074,28.165,22.58,28.451,20.885,27.357,21.39,31.014,19.134,30.579,20.259,27.609,22.07,28.256,19.703,30.796,20.197,29.203,20.432,29.203,20.432,28.5,20.583,28.379,20.019,30.351,21.707,29.729,21.997,31.263,20.206,27.603,19.431,26.422,20.768,27.713,18.902,30.622,19.422,28.092,21.951,27.509,18.726,29.649,21.484,31.766,20.177,28.921,20.584,30.035,20.067,29.562,19.754,28.187,20.766,29.077,20.367,30.842,21.295,27.838,21.423,27.723,21.044,29.136,19.815,26.472,20.544,27.232,19.271,28.606,21.765,30.601,19.776,28.811,18.367,30.116,22.188,28.775,21.908,30.948,19.367,27.582,19.801,28.875,22.984,27.562,19.97,28.841,20.637,25.747,19.371,29.021,20.484,28.327,18.707
"Mar 6, 2010",30.218,19.916,31.084,18.384,33.046,21.13,29.919,18.227,28.752,22.412,29.106,21.528,29.193,17.79,29.247,18.342,28.454,22.299,32.411,20.28,32.28,22.181,28.947,22.842,29.151,19.45,28.561,19.917,31.178,17.413,30.934,19.324,28.662,20.803,28.901,18.128,32.671,19.723,30.635,18.892,30.635,18.892,30.404,18.598,29.74,17.92,29.18,20.92,30.651,21.561,31.412,19.751,31.886,19.323,27.375,18.928,29.73,17.615,31.766,18.082,28.374,21.874,28.618,17.64,31.09,20.492,32.366,20.138,30.467,19.765,31.19,18.811,32.706,17.806,30.792,19.937,29.541,18.531,30.549,20.836,29.448,20.526,28.656,19.711,30.424,17.924,27.792,18.245,28.079,18.152,30.753,21.557,31.955,18.634,29.893,17.231,31.424,22.282,29.594,21.746,32.941,19.377,30.99,20.111,28.972,22.755,28.486,17.921,29.642,18.744,28.05,17.938,29.983,18.367,28.558,17.365
"Mar 14, 2010",31.029,21.638,32.756,21.844,32.019,22.042,29.049,20.544,29.906,23.688,30.345,22.634,29.811,20.678,29.797,21.416,30.28,23.185,32.101,21.373,32.958,22.723,30.22,23.331,29.755,22.004,28.481,22.043,31.739,21.016,32.296,21.299,29.527,21.802,29.509,21.365,34.069,21.903,31.635,21.269,31.635,21.269,29.82,21.345,30.53,20.852,30.557,22.462,31.412,21.867,32.411,21.8,31.036,20.902,27.378,21.62,29.443,19.885,33.934,20.917,29.488,22.361,30.051,19.852,32.3,22.794,33.032,22.252,31.612,21.366,33.199,21.034,31.029,20.64,31.501,21.625,30.246,21.784,32.49,22.614,30.005,21.945,28.823,21.59,32.467,21.287,28.184,20.953,29.442,20.584,30.983,21.544,33.766,21.363,31.729,19.619,32.505,22.717,31.052,22.365,34.699,21.428,30.634,21.581,29.949,24.008,29.215,21.128,30.696,21.144,27.909,20.439,31.056,21.098,30.854,20.179
