datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2018-07-01,"Mymensingh,Bangladesh",30.2,26.2,28.1,39.2,26.2,33.6,26.8,92.7,11.9,100.0,83.33,rain,,,,18.4,178.2,1002.5,93.4,3.0,128.6,11.0,4,,2018-07-01T05:12:42,2018-07-01T18:51:35,0.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999"
2018-07-02,"Mymensingh,Bangladesh",31.7,25.9,28.4,42.9,25.9,34.0,26.6,90.3,14.0,100.0,100.0,rain,,,,23.4,185.4,1001.0,92.6,5.8,234.9,20.1,8,,2018-07-02T05:13:03,2018-07-02T18:51:37,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999"
2018-07-03,"Mymensingh,Bangladesh",29.1,25.7,27.5,36.6,25.7,31.8,26.3,93.1,54.7,100.0,100.0,rain,,,,23.4,204.8,1000.4,96.8,4.6,137.4,11.9,5,,2018-07-03T05:13:25,2018-07-03T18:51:37,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999"
2018-07-04,"Mymensingh,Bangladesh",30.1,26.2,27.9,39.1,26.2,32.4,26.4,92.0,29.8,100.0,100.0,rain,,,,22.7,202.2,999.5,92.8,5.8,168.5,14.5,5,,2018-07-04T05:13:47,2018-07-04T18:51:36,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999"
2018-07-05,"Mymensingh,Bangladesh",32.0,25.9,28.8,42.3,25.9,34.5,26.5,87.7,7.1,100.0,62.5,rain,,,,15.8,185.2,1000.0,78.0,6.0,280.1,24.2,9,,2018-07-05T05:14:09,2018-07-05T18:51:35,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999"
2018-07-06,"Mymensingh,Bangladesh",32.4,26.6,29.5,43.3,26.6,36.7,26.8,86.2,3.5,100.0,45.83,rain,,,,12.2,164.0,999.5,71.1,6.8,280.8,24.1,9,,2018-07-06T05:14:32,2018-07-06T18:51:31,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41886099999,remote,41909099999"
2018-07-07,"Mymensingh,Bangladesh",33.6,26.4,29.7,43.9,26.4,37.2,26.9,85.7,0.0,0.0,0.0,,,,,14.4,146.6,999.2,74.5,6.7,279.5,24.0,9,,2018-07-07T05:14:56,2018-07-07T18:51:27,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41886099999,remote,41909099999"
2018-07-08,"Mymensingh,Bangladesh",31.7,26.7,28.9,42.2,26.7,35.3,26.8,88.8,2.8,100.0,58.33,rain,,,,26.3,150.3,999.6,82.3,6.5,278.7,24.1,8,,2018-07-08T05:15:20,2018-07-08T18:51:22,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999"
2018-07-09,"Mymensingh,Bangladesh",32.3,26.5,29.1,43.7,26.5,35.3,26.6,86.9,5.1,100.0,62.5,rain,,,,23.0,149.5,1000.3,83.6,7.2,275.2,23.9,9,,2018-07-09T05:15:44,2018-07-09T18:51:15,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999"
2018-07-10,"Mymensingh,Bangladesh",31.4,26.5,28.5,40.9,26.5,34.6,26.7,90.1,10.0,100.0,83.33,rain,,,,16.9,143.5,1000.8,80.1,6.3,154.3,13.4,4,,2018-07-10T05:16:09,2018-07-10T18:51:07,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999"
