,datetime,river_discharge
0,01-01-2009,0.25
1,02-01-2009,0.23
2,03-01-2009,0.23
3,04-01-2009,0.23
4,05-01-2009,0.23
5,06-01-2009,0.23
6,07-01-2009,0.23
7,08-01-2009,0.22
8,09-01-2009,0.22
9,10-01-2009,0.22
10,11-01-2009,0.22
11,12-01-2009,0.23
12,13-01-2009,0.23
13,14-01-2009,0.22
14,15-01-2009,0.25
15,16-01-2009,0.25
16,17-01-2009,0.25
17,18-01-2009,0.25
18,19-01-2009,0.22
19,20-01-2009,0.22
20,21-01-2009,0.22
21,22-01-2009,0.22
22,23-01-2009,0.22
23,24-01-2009,0.25
24,25-01-2009,0.22
25,26-01-2009,0.22
26,27-01-2009,0.19
27,28-01-2009,0.19
28,29-01-2009,0.19
29,30-01-2009,0.19
30,31-01-2009,0.19
31,01-02-2009,0.16
32,02-02-2009,0.16
33,03-02-2009,0.16
34,04-02-2009,0.16
35,05-02-2009,0.16
36,06-02-2009,0.16
37,07-02-2009,0.16
38,08-02-2009,0.16
39,09-02-2009,0.16
40,10-02-2009,0.16
41,11-02-2009,0.16
42,12-02-2009,0.16
43,13-02-2009,0.16
44,14-02-2009,0.16
45,15-02-2009,0.16
46,16-02-2009,0.16
47,17-02-2009,0.16
48,18-02-2009,0.16
49,19-02-2009,0.16
50,20-02-2009,0.16
51,21-02-2009,0.16
52,22-02-2009,0.16
53,23-02-2009,0.16
54,24-02-2009,0.16
55,25-02-2009,0.16
56,26-02-2009,0.16
57,27-02-2009,0.16
58,28-02-2009,0.16
59,01-03-2009,0.16
60,02-03-2009,0.16
61,03-03-2009,0.16
62,04-03-2009,0.16
63,05-03-2009,0.12
64,06-03-2009,0.12
65,07-03-2009,0.12
66,08-03-2009,0.12
67,09-03-2009,0.12
68,10-03-2009,0.16
69,11-03-2009,0.16
70,12-03-2009,0.16
71,13-03-2009,0.12
72,14-03-2009,0.12
73,15-03-2009,0.12
74,16-03-2009,0.16
75,17-03-2009,0.12
76,18-03-2009,0.12
77,19-03-2009,0.12
78,20-03-2009,0.12
79,21-03-2009,0.12
80,22-03-2009,0.12
81,23-03-2009,0.09
82,24-03-2009,0.09
83,25-03-2009,0.09
84,26-03-2009,0.09
85,27-03-2009,0.09
86,28-03-2009,0.12
87,29-03-2009,0.16
88,30-03-2009,0.31
89,31-03-2009,1.09
90,01-04-2009,1.62
91,02-04-2009,1.31
92,03-04-2009,0.87
93,04-04-2009,0.56
94,05-04-2009,0.41
95,06-04-2009,0.31
96,07-04-2009,0.25
97,08-04-2009,0.22
98,09-04-2009,0.19
99,10-04-2009,0.16
100,11-04-2009,0.12
101,12-04-2009,0.12
102,13-04-2009,0.12
103,14-04-2009,0.12
104,15-04-2009,0.12
105,16-04-2009,0.16
106,17-04-2009,0.41
107,18-04-2009,0.5
108,19-04-2009,0.44
109,20-04-2009,0.34
110,21-04-2009,0.28
111,22-04-2009,0.25
112,23-04-2009,0.22
113,24-04-2009,0.19
114,25-04-2009,0.16
115,26-04-2009,0.12
116,27-04-2009,0.12
117,28-04-2009,0.09
118,29-04-2009,0.09
119,30-04-2009,0.09
120,01-05-2009,0.09
121,02-05-2009,0.09
122,03-05-2009,0.16
123,04-05-2009,0.19
124,05-05-2009,0.19
125,06-05-2009,0.16
126,07-05-2009,0.16
127,08-05-2009,0.12
128,09-05-2009,0.09
129,10-05-2009,0.09
130,11-05-2009,0.09
131,12-05-2009,0.12
132,13-05-2009,0.19
133,14-05-2009,0.53
134,15-05-2009,0.75
135,16-05-2009,0.72
136,17-05-2009,0.56
137,18-05-2009,0.56
138,19-05-2009,0.56
139,20-05-2009,0.47
140,21-05-2009,0.34
141,22-05-2009,0.28
142,23-05-2009,0.28
143,24-05-2009,0.87
144,25-05-2009,2.87
145,26-05-2009,3.44
146,27-05-2009,2.4
147,28-05-2009,1.4
148,29-05-2009,0.87
149,30-05-2009,0.56
150,31-05-2009,0.47
151,01-06-2009,0.75
152,02-06-2009,0.87
153,03-06-2009,0.97
154,04-06-2009,0.91
155,05-06-2009,0.72
156,06-06-2009,0.66
157,07-06-2009,0.69
158,08-06-2009,0.59
159,09-06-2009,0.44
160,10-06-2009,0.34
161,11-06-2009,0.25
162,12-06-2009,0.25
163,13-06-2009,0.25
164,14-06-2009,0.28
165,15-06-2009,0.28
166,16-06-2009,0.25
167,17-06-2009,0.22
168,18-06-2009,0.19
169,19-06-2009,0.19
170,20-06-2009,0.22
171,21-06-2009,0.19
172,22-06-2009,0.16
173,23-06-2009,0.12
174,24-06-2009,0.25
175,25-06-2009,0.34
176,26-06-2009,0.56
177,27-06-2009,0.91
178,28-06-2009,1.06
179,29-06-2009,1.09
180,30-06-2009,1.44
181,01-07-2009,2.44
182,02-07-2009,3.32
183,03-07-2009,3.5
184,04-07-2009,2.53
185,05-07-2009,1.64
186,06-07-2009,1.44
187,07-07-2009,1.45
188,08-07-2009,1.26
189,09-07-2009,1.05
190,10-07-2009,0.95
191,11-07-2009,0.87
192,12-07-2009,0.78
193,13-07-2009,0.67
194,14-07-2009,0.58
195,15-07-2009,0.83
196,16-07-2009,1.11
197,17-07-2009,1.06
198,18-07-2009,0.89
199,19-07-2009,0.75
200,20-07-2009,0.64
201,21-07-2009,0.69
202,22-07-2009,0.83
203,23-07-2009,1.05
204,24-07-2009,1.31
205,25-07-2009,1.4
206,26-07-2009,1.48
207,27-07-2009,2.75
208,28-07-2009,3.53
209,29-07-2009,3.46
210,30-07-2009,2.91
211,31-07-2009,2.61
212,01-08-2009,2.48
213,02-08-2009,2.61
214,03-08-2009,3.29
215,04-08-2009,4.11
216,05-08-2009,5.79
