,datetime,river_discharge
0,2009-01-01,0.44
1,2009-01-02,0.44
2,2009-01-03,0.44
3,2009-01-04,0.44
4,2009-01-05,0.44
5,2009-01-06,0.44
6,2009-01-07,0.44
7,2009-01-08,0.44
8,2009-01-09,0.44
9,2009-01-10,0.44
10,2009-01-11,0.44
11,2009-01-12,0.44
12,2009-01-13,0.44
13,2009-01-14,0.44
14,2009-01-15,0.44
15,2009-01-16,0.44
16,2009-01-17,0.44
17,2009-01-18,0.44
18,2009-01-19,0.44
19,2009-01-20,0.44
20,2009-01-21,0.44
21,2009-01-22,0.44
22,2009-01-23,0.44
23,2009-01-24,0.44
24,2009-01-25,0.44
25,2009-01-26,0.44
26,2009-01-27,0.44
27,2009-01-28,0.44
28,2009-01-29,0.41
29,2009-01-30,0.41
30,2009-01-31,0.41
31,2009-02-01,0.44
32,2009-02-02,0.44
33,2009-02-03,0.44
34,2009-02-04,0.44
35,2009-02-05,0.44
36,2009-02-06,0.44
37,2009-02-07,0.44
38,2009-02-08,0.44
39,2009-02-09,0.44
40,2009-02-10,0.44
41,2009-02-11,0.44
42,2009-02-12,0.44
43,2009-02-13,0.44
44,2009-02-14,0.44
45,2009-02-15,0.44
46,2009-02-16,0.44
47,2009-02-17,0.44
48,2009-02-18,0.44
49,2009-02-19,0.44
50,2009-02-20,0.44
51,2009-02-21,0.44
52,2009-02-22,0.44
53,2009-02-23,0.44
54,2009-02-24,0.44
55,2009-02-25,0.44
56,2009-02-26,0.44
57,2009-02-27,0.44
58,2009-02-28,0.44
59,2009-03-01,0.44
60,2009-03-02,0.44
61,2009-03-03,0.44
62,2009-03-04,0.44
63,2009-03-05,0.44
64,2009-03-06,0.44
65,2009-03-07,0.44
66,2009-03-08,0.44
67,2009-03-09,0.44
68,2009-03-10,0.44
69,2009-03-11,0.44
70,2009-03-12,0.44
71,2009-03-13,0.44
72,2009-03-14,0.44
73,2009-03-15,0.44
74,2009-03-16,0.44
75,2009-03-17,0.44
76,2009-03-18,0.44
77,2009-03-19,0.44
78,2009-03-20,0.44
79,2009-03-21,0.5
80,2009-03-22,0.5
81,2009-03-23,0.47
82,2009-03-24,0.47
83,2009-03-25,0.47
84,2009-03-26,0.47
85,2009-03-27,0.56
86,2009-03-28,0.59
87,2009-03-29,0.66
88,2009-03-30,0.59
89,2009-03-31,0.87
90,2009-04-01,0.75
91,2009-04-02,0.66
92,2009-04-03,0.72
93,2009-04-04,0.66
94,2009-04-05,0.59
95,2009-04-06,0.56
96,2009-04-07,0.56
97,2009-04-08,0.53
98,2009-04-09,0.5
99,2009-04-10,0.5
100,2009-04-11,0.5
101,2009-04-12,0.5
102,2009-04-13,0.5
103,2009-04-14,0.5
104,2009-04-15,0.5
105,2009-04-16,0.47
106,2009-04-17,0.47
107,2009-04-18,0.47
108,2009-04-19,0.47
109,2009-04-20,0.47
110,2009-04-21,0.47
111,2009-04-22,0.47
112,2009-04-23,0.47
113,2009-04-24,0.47
114,2009-04-25,0.47
115,2009-04-26,0.47
116,2009-04-27,0.47
117,2009-04-28,0.47
118,2009-04-29,0.5
119,2009-04-30,0.78
120,2009-05-01,1.4
121,2009-05-02,1.34
122,2009-05-03,0.91
123,2009-05-04,0.78
124,2009-05-05,0.66
125,2009-05-06,0.59
126,2009-05-07,0.56
127,2009-05-08,0.53
128,2009-05-09,0.53
129,2009-05-10,0.56
130,2009-05-11,0.59
131,2009-05-12,1.59
132,2009-05-13,2.56
133,2009-05-14,1.65
134,2009-05-15,1.62
135,2009-05-16,2.4
136,2009-05-17,2.25
137,2009-05-18,1.81
138,2009-05-19,1.22
139,2009-05-20,0.91
140,2009-05-21,0.75
141,2009-05-22,0.69
142,2009-05-23,0.72
143,2009-05-24,1.28
144,2009-05-25,4.04
145,2009-05-26,2.37
146,2009-05-27,1.72
147,2009-05-28,1.38
148,2009-05-29,1.38
149,2009-05-30,1.56
150,2009-05-31,1.53
151,2009-06-01,1.31
152,2009-06-02,1.12
153,2009-06-03,1.34
154,2009-06-04,1.19
155,2009-06-05,1.06
156,2009-06-06,1.12
157,2009-06-07,1.03
158,2009-06-08,0.94
159,2009-06-09,0.87
160,2009-06-10,0.91
161,2009-06-11,0.97
162,2009-06-12,1.28
163,2009-06-13,1.38
164,2009-06-14,2.34
165,2009-06-15,1.97
166,2009-06-16,1.47
167,2009-06-17,1.19
168,2009-06-18,1.03
169,2009-06-19,0.97
170,2009-06-20,0.91
171,2009-06-21,0.91
172,2009-06-22,0.91
173,2009-06-23,0.87
174,2009-06-24,0.85
175,2009-06-25,0.85
176,2009-06-26,0.87
177,2009-06-27,0.94
178,2009-06-28,1.16
179,2009-06-29,1.72
180,2009-06-30,2.6
181,2009-07-01,3.56
182,2009-07-02,3.75
183,2009-07-03,3.75
184,2009-07-04,2.62
185,2009-07-05,2.08
186,2009-07-06,1.8
187,2009-07-07,1.89
188,2009-07-08,1.7
189,2009-07-09,1.55
190,2009-07-10,1.5
191,2009-07-11,1.44
192,2009-07-12,1.39
193,2009-07-13,1.34
194,2009-07-14,1.33
195,2009-07-15,1.3
196,2009-07-16,1.34
197,2009-07-17,1.3
198,2009-07-18,1.44
199,2009-07-19,1.42
200,2009-07-20,1.31
201,2009-07-21,1.23
202,2009-07-22,1.23
203,2009-07-23,1.22
204,2009-07-24,1.25
205,2009-07-25,1.59
206,2009-07-26,2.33
207,2009-07-27,2.18
208,2009-07-28,2.47
209,2009-07-29,2.55
210,2009-07-30,2.6
211,2009-07-31,2.62
212,2009-08-01,2.18
213,2009-08-02,3.43
214,2009-08-03,3.19
215,2009-08-04,3.97
216,2009-08-05,4.83
217,2009-08-06,4.48
218,2009-08-07,3.35
219,2009-08-08,3.55
220,2009-08-09,3.32
221,2009-08-10,2.91
222,2009-08-11,2.69
223,2009-08-12,2.95
224,2009-08-13,3.47
225,2009-08-14,3.24
226,2009-08-15,3.03
227,2009-08-16,3.27
228,2009-08-17,3.8
229,2009-08-18,4.43
230,2009-08-19,6.14
231,2009-08-20,6.38
232,2009-08-21,5.31
233,2009-08-22,4.57
234,2009-08-23,4.15
235,2009-08-24,3.97
236,2009-08-25,3.75
237,2009-08-26,3.5
238,2009-08-27,3.56
239,2009-08-28,3.22
240,2009-08-29,3.32
241,2009-08-30,3.47
242,2009-08-31,3.4
243,2009-09-01,3.18
244,2009-09-02,3.31
245,2009-09-03,3.3
246,2009-09-04,3.23
247,2009-09-05,3.26
248,2009-09-06,3.11
249,2009-09-07,3.18
250,2009-09-08,3.34
251,2009-09-09,3.36
252,2009-09-10,3.08
253,2009-09-11,2.82
254,2009-09-12,2.62
255,2009-09-13,2.51
256,2009-09-14,2.44
257,2009-09-15,2.54
258,2009-09-16,2.55
259,2009-09-17,2.76
260,2009-09-18,2.89
261,2009-09-19,2.67
262,2009-09-20,2.43
263,2009-09-21,2.33
264,2009-09-22,2.24
265,2009-09-23,2.21
266,2009-09-24,2.37
267,2009-09-25,2.31
268,2009-09-26,2.16
269,2009-09-27,2.55
270,2009-09-28,2.48
271,2009-09-29,2.22
272,2009-09-30,2.06
273,2009-10-01,1.95
274,2009-10-02,2.37
275,2009-10-03,2.98
276,2009-10-04,3.22
277,2009-10-05,2.98
278,2009-10-06,3.53
279,2009-10-07,3.61
280,2009-10-08,3.08
281,2009-10-09,2.58
282,2009-10-10,2.29
283,2009-10-11,2.13
284,2009-10-12,2.03
285,2009-10-13,1.95
286,2009-10-14,1.88
287,2009-10-15,1.84
288,2009-10-16,1.82
289,2009-10-17,1.77
290,2009-10-18,1.73
291,2009-10-19,1.69
292,2009-10-20,1.64
293,2009-10-21,1.6
294,2009-10-22,1.56
295,2009-10-23,1.52
296,2009-10-24,1.49
297,2009-10-25,1.45
298,2009-10-26,1.42
299,2009-10-27,1.39
300,2009-10-28,1.36
301,2009-10-29,1.33
302,2009-10-30,1.3
303,2009-10-31,1.28
304,2009-11-01,1.24
305,2009-11-02,1.21
306,2009-11-03,1.19
307,2009-11-04,1.16
308,2009-11-05,1.14
309,2009-11-06,1.11
310,2009-11-07,1.09
311,2009-11-08,1.07
312,2009-11-09,1.05
313,2009-11-10,1.02
314,2009-11-11,1.0
315,2009-11-12,0.99
316,2009-11-13,0.96
317,2009-11-14,0.95
318,2009-11-15,0.92
319,2009-11-16,0.91
320,2009-11-17,0.89
321,2009-11-18,0.87
322,2009-11-19,0.85
323,2009-11-20,0.84
324,2009-11-21,0.82
325,2009-11-22,0.8
326,2009-11-23,0.79
327,2009-11-24,0.77
328,2009-11-25,0.76
329,2009-11-26,0.74
330,2009-11-27,0.73
331,2009-11-28,0.72
332,2009-11-29,0.7
333,2009-11-30,0.69
334,2009-12-01,0.67
335,2009-12-02,0.66
336,2009-12-03,0.64
337,2009-12-04,0.63
338,2009-12-05,0.62
339,2009-12-06,0.61
340,2009-12-07,0.6
341,2009-12-08,0.58
342,2009-12-09,0.58
343,2009-12-10,0.57
344,2009-12-11,0.56
345,2009-12-12,0.55
346,2009-12-13,0.54
347,2009-12-14,0.53
348,2009-12-15,0.52
349,2009-12-16,0.52
350,2009-12-17,0.5
351,2009-12-18,0.5
352,2009-12-19,0.49
353,2009-12-20,0.49
354,2009-12-21,0.47
355,2009-12-22,0.47
356,2009-12-23,0.47
357,2009-12-24,0.45
358,2009-12-25,0.45
359,2009-12-26,0.45
360,2009-12-27,0.45
361,2009-12-28,0.44
362,2009-12-29,0.44
363,2009-12-30,0.44
364,2009-12-31,0.44
365,2010-01-01,0.44
366,2010-01-02,0.44
367,2010-01-03,0.44
368,2010-01-04,0.44
369,2010-01-05,0.44
370,2010-01-06,0.44
371,2010-01-07,0.44
372,2010-01-08,0.44
373,2010-01-09,0.44
374,2010-01-10,0.44
375,2010-01-11,0.44
