,datetime,river_discharge
0,2009-01-01,0.16
1,2009-01-02,0.16
2,2009-01-03,0.16
3,2009-01-04,0.16
4,2009-01-05,0.16
5,2009-01-06,0.16
6,2009-01-07,0.16
7,2009-01-08,0.16
8,2009-01-09,0.16
9,2009-01-10,0.16
10,2009-01-11,0.16
11,2009-01-12,0.16
12,2009-01-13,0.16
13,2009-01-14,0.16
14,2009-01-15,0.16
15,2009-01-16,0.16
16,2009-01-17,0.16
17,2009-01-18,0.16
18,2009-01-19,0.16
19,2009-01-20,0.16
20,2009-01-21,0.16
21,2009-01-22,0.16
22,2009-01-23,0.16
23,2009-01-24,0.16
24,2009-01-25,0.16
25,2009-01-26,0.16
26,2009-01-27,0.16
27,2009-01-28,0.16
28,2009-01-29,0.16
29,2009-01-30,0.16
30,2009-01-31,0.16
31,2009-02-01,0.16
32,2009-02-02,0.16
33,2009-02-03,0.19
34,2009-02-04,0.19
35,2009-02-05,0.19
36,2009-02-06,0.19
37,2009-02-07,0.19
38,2009-02-08,0.19
39,2009-02-09,0.19
40,2009-02-10,0.19
41,2009-02-11,0.19
42,2009-02-12,0.19
43,2009-02-13,0.19
44,2009-02-14,0.19
45,2009-02-15,0.19
46,2009-02-16,0.16
47,2009-02-17,0.16
48,2009-02-18,0.16
49,2009-02-19,0.16
50,2009-02-20,0.16
51,2009-02-21,0.16
52,2009-02-22,0.16
53,2009-02-23,0.16
54,2009-02-24,0.16
55,2009-02-25,0.16
56,2009-02-26,0.16
57,2009-02-27,0.16
58,2009-02-28,0.16
59,2009-03-01,0.19
60,2009-03-02,0.19
61,2009-03-03,0.19
62,2009-03-04,0.19
63,2009-03-05,0.19
64,2009-03-06,0.19
65,2009-03-07,0.19
66,2009-03-08,0.19
67,2009-03-09,0.19
68,2009-03-10,0.19
69,2009-03-11,0.19
70,2009-03-12,0.19
71,2009-03-13,0.19
72,2009-03-14,0.19
73,2009-03-15,0.19
74,2009-03-16,0.19
75,2009-03-17,0.19
76,2009-03-18,0.19
77,2009-03-19,0.19
78,2009-03-20,0.19
79,2009-03-21,0.19
80,2009-03-22,0.19
81,2009-03-23,0.19
82,2009-03-24,0.19
83,2009-03-25,0.19
84,2009-03-26,0.19
85,2009-03-27,0.22
86,2009-03-28,0.22
87,2009-03-29,0.19
88,2009-03-30,0.41
89,2009-03-31,1.09
90,2009-04-01,3.56
91,2009-04-02,1.38
92,2009-04-03,0.69
93,2009-04-04,0.44
94,2009-04-05,0.34
95,2009-04-06,0.28
96,2009-04-07,0.25
97,2009-04-08,0.22
98,2009-04-09,0.25
99,2009-04-10,0.25
100,2009-04-11,0.22
101,2009-04-12,0.22
102,2009-04-13,0.22
103,2009-04-14,0.19
104,2009-04-15,0.19
105,2009-04-16,2.06
106,2009-04-17,5.44
107,2009-04-18,2.4
108,2009-04-19,1.53
109,2009-04-20,1.31
110,2009-04-21,1.06
111,2009-04-22,0.91
112,2009-04-23,0.85
113,2009-04-24,0.53
114,2009-04-25,0.37
115,2009-04-26,0.28
116,2009-04-27,0.25
117,2009-04-28,0.22
118,2009-04-29,0.22
119,2009-04-30,0.22
120,2009-05-01,0.19
121,2009-05-02,0.69
122,2009-05-03,0.78
123,2009-05-04,0.63
124,2009-05-05,0.44
125,2009-05-06,0.31
126,2009-05-07,0.28
127,2009-05-08,0.25
128,2009-05-09,0.22
129,2009-05-10,0.22
130,2009-05-11,0.22
131,2009-05-12,0.22
132,2009-05-13,0.22
133,2009-05-14,0.59
134,2009-05-15,0.41
135,2009-05-16,1.0
136,2009-05-17,1.19
137,2009-05-18,1.06
138,2009-05-19,1.06
139,2009-05-20,0.59
140,2009-05-21,0.41
141,2009-05-22,0.31
142,2009-05-23,0.28
143,2009-05-24,0.75
144,2009-05-25,2.91
145,2009-05-26,2.37
146,2009-05-27,1.31
147,2009-05-28,0.69
148,2009-05-29,0.63
149,2009-05-30,0.97
150,2009-05-31,1.38
151,2009-06-01,2.31
152,2009-06-02,1.34
153,2009-06-03,1.97
154,2009-06-04,0.97
155,2009-06-05,1.56
156,2009-06-06,2.66
157,2009-06-07,4.75
158,2009-06-08,1.78
159,2009-06-09,0.85
160,2009-06-10,0.5
161,2009-06-11,0.53
162,2009-06-12,0.85
163,2009-06-13,0.85
164,2009-06-14,0.72
165,2009-06-15,0.63
166,2009-06-16,0.41
167,2009-06-17,0.31
168,2009-06-18,2.4
169,2009-06-19,5.78
170,2009-06-20,2.06
171,2009-06-21,0.97
172,2009-06-22,0.53
173,2009-06-23,0.37
174,2009-06-24,0.59
175,2009-06-25,0.44
176,2009-06-26,0.44
177,2009-06-27,1.5
178,2009-06-28,1.62
179,2009-06-29,3.81
180,2009-06-30,3.38
181,2009-07-01,5.53
182,2009-07-02,9.72
183,2009-07-03,3.91
184,2009-07-04,1.62
185,2009-07-05,1.44
186,2009-07-06,2.25
187,2009-07-07,2.37
188,2009-07-08,2.18
189,2009-07-09,1.9
190,2009-07-10,3.41
191,2009-07-11,1.9
192,2009-07-12,1.03
193,2009-07-13,0.67
194,2009-07-14,0.97
195,2009-07-15,3.92
196,2009-07-16,2.34
197,2009-07-17,1.31
198,2009-07-18,1.34
199,2009-07-19,0.89
200,2009-07-20,1.23
201,2009-07-21,1.8
202,2009-07-22,2.79
203,2009-07-23,1.7
204,2009-07-24,0.94
205,2009-07-25,0.64
206,2009-07-26,0.91
207,2009-07-27,4.55
208,2009-07-28,4.28
209,2009-07-29,6.1
210,2009-07-30,6.78
211,2009-07-31,4.04
212,2009-08-01,2.75
213,2009-08-02,1.8
214,2009-08-03,1.34
215,2009-08-04,1.59
216,2009-08-05,2.0
217,2009-08-06,2.79
218,2009-08-07,39.18
219,2009-08-08,17.24
220,2009-08-09,6.33
221,2009-08-10,3.03
222,2009-08-11,2.06
223,2009-08-12,1.8
224,2009-08-13,2.55
225,2009-08-14,3.62
226,2009-08-15,4.94
227,2009-08-16,2.5
228,2009-08-17,2.44
229,2009-08-18,5.87
230,2009-08-19,8.18
231,2009-08-20,7.57
232,2009-08-21,10.25
233,2009-08-22,11.71
234,2009-08-23,5.22
235,2009-08-24,3.19
236,2009-08-25,2.52
237,2009-08-26,5.65
238,2009-08-27,3.5
239,2009-08-28,2.09
240,2009-08-29,1.59
241,2009-08-30,4.19
242,2009-08-31,2.86
243,2009-09-01,2.15
244,2009-09-02,2.09
245,2009-09-03,4.11
246,2009-09-04,2.82
247,2009-09-05,2.52
248,2009-09-06,3.03
249,2009-09-07,6.98
250,2009-09-08,7.89
251,2009-09-09,7.07
252,2009-09-10,4.92
253,2009-09-11,3.03
254,2009-09-12,2.09
255,2009-09-13,3.46
256,2009-09-14,5.05
257,2009-09-15,3.09
258,2009-09-16,2.18
259,2009-09-17,2.95
260,2009-09-18,2.16
261,2009-09-19,2.61
262,2009-09-20,4.02
263,2009-09-21,7.13
264,2009-09-22,15.67
265,2009-09-23,10.48
266,2009-09-24,4.5
267,2009-09-25,2.48
268,2009-09-26,1.81
269,2009-09-27,1.55
270,2009-09-28,2.21
271,2009-09-29,1.72
272,2009-09-30,1.51
273,2009-10-01,1.34
274,2009-10-02,2.25
275,2009-10-03,2.37
276,2009-10-04,4.2
277,2009-10-05,4.04
278,2009-10-06,3.43
279,2009-10-07,2.66
280,2009-10-08,3.56
281,2009-10-09,3.78
282,2009-10-10,2.07
283,2009-10-11,1.49
284,2009-10-12,1.26
285,2009-10-13,1.13
286,2009-10-14,1.6
287,2009-10-15,2.25
288,2009-10-16,3.27
289,2009-10-17,2.05
290,2009-10-18,1.53
291,2009-10-19,1.21
292,2009-10-20,1.06
293,2009-10-21,0.97
294,2009-10-22,0.91
295,2009-10-23,0.87
296,2009-10-24,0.85
297,2009-10-25,0.81
298,2009-10-26,0.79
299,2009-10-27,0.77
300,2009-10-28,0.75
301,2009-10-29,0.73
302,2009-10-30,0.71
303,2009-10-31,0.69
304,2009-11-01,0.66
305,2009-11-02,0.65
306,2009-11-03,0.63
307,2009-11-04,0.62
308,2009-11-05,0.6
309,2009-11-06,0.58
310,2009-11-07,0.58
311,2009-11-08,0.56
312,2009-11-09,0.55
313,2009-11-10,0.53
314,2009-11-11,0.52
315,2009-11-12,0.51
316,2009-11-13,0.5
317,2009-11-14,0.49
318,2009-11-15,0.55
319,2009-11-16,0.56
320,2009-11-17,0.63
321,2009-11-18,2.27
322,2009-11-19,3.66
323,2009-11-20,1.59
324,2009-11-21,0.91
325,2009-11-22,0.66
326,2009-11-23,0.55
327,2009-11-24,0.49
328,2009-11-25,0.45
329,2009-11-26,0.42
330,2009-11-27,0.4
331,2009-11-28,0.38
332,2009-11-29,0.37
333,2009-11-30,0.36
334,2009-12-01,0.33
335,2009-12-02,0.32
336,2009-12-03,0.31
337,2009-12-04,0.3
338,2009-12-05,0.29
339,2009-12-06,0.28
340,2009-12-07,0.27
341,2009-12-08,0.27
342,2009-12-09,0.26
343,2009-12-10,0.26
344,2009-12-11,0.25
345,2009-12-12,0.24
346,2009-12-13,0.24
347,2009-12-14,0.23
348,2009-12-15,0.23
349,2009-12-16,0.22
350,2009-12-17,0.22
351,2009-12-18,0.22
352,2009-12-19,0.2
353,2009-12-20,0.2
354,2009-12-21,0.2
355,2009-12-22,0.19
356,2009-12-23,0.19
357,2009-12-24,0.19
358,2009-12-25,0.17
359,2009-12-26,0.17
360,2009-12-27,0.17
361,2009-12-28,0.17
362,2009-12-29,0.16
363,2009-12-30,0.16
364,2009-12-31,0.16
365,2010-01-01,0.16
366,2010-01-02,0.16
367,2010-01-03,0.16
368,2010-01-04,0.16
369,2010-01-05,0.16
370,2010-01-06,0.16
371,2010-01-07,0.16
372,2010-01-08,0.16
373,2010-01-09,0.16
374,2010-01-10,0.16
375,2010-01-11,0.16
376,2010-01-12,0.16
377,2010-01-13,0.16
378,2010-01-14,0.16
379,2010-01-15,0.16
380,2010-01-16,0.14
381,2010-01-17,0.14
382,2010-01-18,0.14
383,2010-01-19,0.14
384,2010-01-20,0.14
385,2010-01-21,0.14
386,2010-01-22,0.14
387,2010-01-23,0.14
388,2010-01-24,0.14
389,2010-01-25,0.14
390,2010-01-26,0.14
391,2010-01-27,0.14
392,2010-01-28,0.14
393,2010-01-29,0.14
394,2010-01-30,0.14
395,2010-01-31,0.14
396,2010-02-01,0.17
397,2010-02-02,0.17
398,2010-02-03,0.17
399,2010-02-04,0.17
400,2010-02-05,0.17
