,datetime,river_discharge
0,2009-01-01,30.99
1,2009-01-02,30.92
2,2009-01-03,30.84
3,2009-01-04,30.62
4,2009-01-05,30.48
5,2009-01-06,30.41
6,2009-01-07,30.33
7,2009-01-08,30.33
8,2009-01-09,30.26
9,2009-01-10,30.19
10,2009-01-11,30.19
11,2009-01-12,30.12
12,2009-01-13,30.05
13,2009-01-14,30.12
14,2009-01-15,30.12
15,2009-01-16,30.05
16,2009-01-17,29.97
17,2009-01-18,29.97
18,2009-01-19,29.9
19,2009-01-20,29.9
20,2009-01-21,29.83
21,2009-01-22,29.83
22,2009-01-23,29.76
23,2009-01-24,29.76
24,2009-01-25,29.27
25,2009-01-26,28.99
26,2009-01-27,28.85
27,2009-01-28,28.79
28,2009-01-29,28.72
29,2009-01-30,28.72
30,2009-01-31,28.65
31,2009-02-01,28.65
32,2009-02-02,28.65
33,2009-02-03,28.65
34,2009-02-04,28.72
35,2009-02-05,28.72
36,2009-02-06,28.65
37,2009-02-07,28.58
38,2009-02-08,28.51
39,2009-02-09,28.44
40,2009-02-10,28.44
41,2009-02-11,28.38
42,2009-02-12,28.38
43,2009-02-13,28.31
44,2009-02-14,28.51
45,2009-02-15,28.58
46,2009-02-16,28.51
47,2009-02-17,28.51
48,2009-02-18,28.51
49,2009-02-19,28.44
50,2009-02-20,28.38
51,2009-02-21,28.38
52,2009-02-22,28.31
53,2009-02-23,28.24
54,2009-02-24,28.24
55,2009-02-25,28.24
56,2009-02-26,28.17
57,2009-02-27,28.17
58,2009-02-28,28.17
59,2009-03-01,28.24
60,2009-03-02,28.17
61,2009-03-03,28.17
62,2009-03-04,28.17
63,2009-03-05,28.17
64,2009-03-06,28.17
65,2009-03-07,28.11
66,2009-03-08,28.04
67,2009-03-09,27.97
68,2009-03-10,27.97
69,2009-03-11,27.91
70,2009-03-12,27.84
71,2009-03-13,27.84
72,2009-03-14,27.77
73,2009-03-15,27.77
74,2009-03-16,27.77
75,2009-03-17,27.71
76,2009-03-18,27.64
77,2009-03-19,27.64
78,2009-03-20,27.58
79,2009-03-21,27.51
80,2009-03-22,27.51
81,2009-03-23,27.38
82,2009-03-24,27.31
83,2009-03-25,27.31
84,2009-03-26,27.31
85,2009-03-27,29.48
86,2009-03-28,30.48
87,2009-03-29,31.06
88,2009-03-30,35.48
89,2009-03-31,39.55
90,2009-04-01,37.37
91,2009-04-02,33.51
92,2009-04-03,31.06
93,2009-04-04,29.76
94,2009-04-05,29.2
95,2009-04-06,28.92
96,2009-04-07,28.58
97,2009-04-08,28.17
98,2009-04-09,28.11
99,2009-04-10,27.97
100,2009-04-11,27.77
101,2009-04-12,27.64
102,2009-04-13,27.51
103,2009-04-14,27.44
104,2009-04-15,27.38
105,2009-04-16,27.58
106,2009-04-17,29.34
107,2009-04-18,29.69
108,2009-04-19,29.13
109,2009-04-20,29.06
110,2009-04-21,28.92
111,2009-04-22,28.51
112,2009-04-23,28.11
113,2009-04-24,27.91
114,2009-04-25,27.71
115,2009-04-26,27.58
116,2009-04-27,27.38
117,2009-04-28,27.31
118,2009-04-29,27.25
119,2009-04-30,27.18
120,2009-05-01,27.12
121,2009-05-02,29.83
122,2009-05-03,30.62
123,2009-05-04,29.83
124,2009-05-05,28.92
125,2009-05-06,28.24
126,2009-05-07,27.77
127,2009-05-08,27.44
128,2009-05-09,27.25
129,2009-05-10,27.18
130,2009-05-11,27.77
131,2009-05-12,27.77
132,2009-05-13,31.89
133,2009-05-14,32.96
134,2009-05-15,31.21
135,2009-05-16,32.5
136,2009-05-17,33.99
137,2009-05-18,35.06
138,2009-05-19,33.28
139,2009-05-20,30.92
140,2009-05-21,29.41
141,2009-05-22,28.65
142,2009-05-23,28.72
143,2009-05-24,29.34
144,2009-05-25,37.37
145,2009-05-26,43.26
146,2009-05-27,40.21
147,2009-05-28,35.98
148,2009-05-29,33.99
149,2009-05-30,33.04
150,2009-05-31,32.96
151,2009-06-01,34.65
152,2009-06-02,34.73
153,2009-06-03,34.73
154,2009-06-04,34.56
155,2009-06-05,35.73
156,2009-06-06,41.46
157,2009-06-07,43.77
158,2009-06-08,41.85
159,2009-06-09,39.55
160,2009-06-10,37.99
161,2009-06-11,37.46
162,2009-06-12,38.36
163,2009-06-13,39.18
164,2009-06-14,40.21
165,2009-06-15,41.56
166,2009-06-16,41.56
167,2009-06-17,40.69
168,2009-06-18,39.93
169,2009-06-19,41.46
170,2009-06-20,42.05
171,2009-06-21,41.17
172,2009-06-22,39.83
173,2009-06-23,38.72
174,2009-06-24,39.18
175,2009-06-25,39.09
176,2009-06-26,38.45
177,2009-06-27,37.9
178,2009-06-28,37.73
179,2009-06-29,38.99
180,2009-06-30,41.56
181,2009-07-01,48.77
182,2009-07-02,58.16
183,2009-07-03,63.42
184,2009-07-04,63.12
185,2009-07-05,61.23
186,2009-07-06,60.38
187,2009-07-07,59.53
188,2009-07-08,58.43
189,2009-07-09,58.29
190,2009-07-10,58.43
191,2009-07-11,57.75
192,2009-07-12,56.81
193,2009-07-13,55.62
194,2009-07-14,54.46
195,2009-07-15,53.7
196,2009-07-16,53.2
197,2009-07-17,52.33
198,2009-07-18,51.36
199,2009-07-19,50.4
200,2009-07-20,49.35
201,2009-07-21,48.43
202,2009-07-22,48.2
203,2009-07-23,48.2
204,2009-07-24,47.53
205,2009-07-25,46.86
206,2009-07-26,46.1
207,2009-07-27,50.88
208,2009-07-28,54.21
209,2009-07-29,57.61
210,2009-07-30,60.66
211,2009-07-31,64.16
212,2009-08-01,66.3
213,2009-08-02,69.15
214,2009-08-03,70.12
215,2009-08-04,71.44
216,2009-08-05,72.45
217,2009-08-06,73.82
218,2009-08-07,73.64
219,2009-08-08,72.62
220,2009-08-09,71.95
221,2009-08-10,70.45
222,2009-08-11,69.31
223,2009-08-12,68.34
224,2009-08-13,69.15
225,2009-08-14,70.94
226,2009-08-15,73.3
227,2009-08-16,74.34
228,2009-08-17,73.82
229,2009-08-18,74.16
230,2009-08-19,77.7
231,2009-08-20,85.5
232,2009-08-21,94.94
233,2009-08-22,102.28
234,2009-08-23,104.2
235,2009-08-24,103.23
236,2009-08-25,102.51
237,2009-08-26,103.95
238,2009-08-27,108.4
239,2009-08-28,109.15
240,2009-08-29,106.4
241,2009-08-30,104.2
242,2009-08-31,103.71
243,2009-09-01,102.51
244,2009-09-02,102.75
245,2009-09-03,102.75
246,2009-09-04,102.04
247,2009-09-05,100.39
248,2009-09-06,99.46
249,2009-09-07,101.09
250,2009-09-08,116.76
251,2009-09-09,121.46
252,2009-09-10,121.18
253,2009-09-11,117.85
254,2009-09-12,113.82
255,2009-09-13,111.72
256,2009-09-14,111.72
257,2009-09-15,114.08
258,2009-09-16,114.61
259,2009-09-17,114.35
260,2009-09-18,114.35
261,2009-09-19,113.29
262,2009-09-20,112.76
263,2009-09-21,113.29
264,2009-09-22,118.12
265,2009-09-23,121.46
266,2009-09-24,121.18
267,2009-09-25,118.95
268,2009-09-26,115.68
269,2009-09-27,114.08
270,2009-09-28,114.35
271,2009-09-29,113.02
272,2009-09-30,110.43
273,2009-10-01,107.64
274,2009-10-02,106.89
275,2009-10-03,108.14
276,2009-10-04,111.46
277,2009-10-05,115.14
278,2009-10-06,116.22
279,2009-10-07,114.88
280,2009-10-08,115.68
281,2009-10-09,116.76
282,2009-10-10,115.41
283,2009-10-11,112.5
284,2009-10-12,108.9
285,2009-10-13,105.91
286,2009-10-14,103.23
287,2009-10-15,103.23
288,2009-10-16,104.2
289,2009-10-17,103.71
290,2009-10-18,101.33
291,2009-10-19,98.77
292,2009-10-20,96.27
293,2009-10-21,94.06
294,2009-10-22,91.68
295,2009-10-23,89.57
296,2009-10-24,87.31
297,2009-10-25,85.3
298,2009-10-26,83.33
299,2009-10-27,81.6
300,2009-10-28,79.72
301,2009-10-29,77.89
302,2009-10-30,76.27
303,2009-10-31,74.51
304,2009-11-01,72.79
305,2009-11-02,71.28
306,2009-11-03,69.63
307,2009-11-04,68.18
308,2009-11-05,67.23
309,2009-11-06,66.14
310,2009-11-07,64.77
311,2009-11-08,63.27
312,2009-11-09,61.95
313,2009-11-10,60.52
314,2009-11-11,59.26
315,2009-11-12,58.02
316,2009-11-13,56.68
317,2009-11-14,55.49
318,2009-11-15,54.46
319,2009-11-16,53.7
320,2009-11-17,53.2
321,2009-11-18,53.45
322,2009-11-19,52.83
323,2009-11-20,51.6
324,2009-11-21,50.29
325,2009-11-22,49.0
326,2009-11-23,47.98
327,2009-11-24,46.86
328,2009-11-25,45.88
329,2009-11-26,44.92
330,2009-11-27,44.08
331,2009-11-28,43.16
332,2009-11-29,42.35
333,2009-11-30,41.56
334,2009-12-01,40.69
335,2009-12-02,39.93
336,2009-12-03,39.27
337,2009-12-04,38.54
338,2009-12-05,37.9
339,2009-12-06,37.28
340,2009-12-07,36.67
341,2009-12-08,36.15
342,2009-12-09,35.56
343,2009-12-10,35.06
344,2009-12-11,34.56
345,2009-12-12,34.08
346,2009-12-13,33.67
347,2009-12-14,33.28
348,2009-12-15,32.81
349,2009-12-16,32.42
350,2009-12-17,32.04
351,2009-12-18,31.73
352,2009-12-19,31.43
353,2009-12-20,31.21
354,2009-12-21,30.99
355,2009-12-22,30.84
