,datetime,river_discharge
0,2009-01-01,0.22
1,2009-01-02,0.2
2,2009-01-03,0.2
3,2009-01-04,0.2
4,2009-01-05,0.2
5,2009-01-06,0.2
6,2009-01-07,0.2
7,2009-01-08,0.2
8,2009-01-09,0.2
9,2009-01-10,0.2
10,2009-01-11,0.2
11,2009-01-12,0.2
12,2009-01-13,0.2
13,2009-01-14,0.22
14,2009-01-15,0.22
15,2009-01-16,0.22
16,2009-01-17,0.22
17,2009-01-18,0.22
18,2009-01-19,0.22
19,2009-01-20,0.22
20,2009-01-21,0.22
21,2009-01-22,0.22
22,2009-01-23,0.22
23,2009-01-24,0.22
24,2009-01-25,0.19
25,2009-01-26,0.19
26,2009-01-27,0.19
27,2009-01-28,0.19
28,2009-01-29,0.19
29,2009-01-30,0.19
30,2009-01-31,0.19
31,2009-02-01,0.22
32,2009-02-02,0.25
33,2009-02-03,0.25
34,2009-02-04,0.25
35,2009-02-05,0.25
36,2009-02-06,0.25
37,2009-02-07,0.25
38,2009-02-08,0.25
39,2009-02-09,0.25
40,2009-02-10,0.25
41,2009-02-11,0.25
42,2009-02-12,0.28
43,2009-02-13,0.28
44,2009-02-14,0.28
45,2009-02-15,0.28
46,2009-02-16,0.28
47,2009-02-17,0.28
48,2009-02-18,0.25
49,2009-02-19,0.25
50,2009-02-20,0.25
51,2009-02-21,0.25
52,2009-02-22,0.25
53,2009-02-23,0.25
54,2009-02-24,0.25
55,2009-02-25,0.25
56,2009-02-26,0.25
57,2009-02-27,0.25
58,2009-02-28,0.25
59,2009-03-01,0.25
60,2009-03-02,0.28
61,2009-03-03,0.28
62,2009-03-04,0.28
63,2009-03-05,0.28
64,2009-03-06,0.28
65,2009-03-07,0.28
66,2009-03-08,0.28
67,2009-03-09,0.28
68,2009-03-10,0.28
69,2009-03-11,0.28
70,2009-03-12,0.28
71,2009-03-13,0.28
72,2009-03-14,0.28
73,2009-03-15,0.28
74,2009-03-16,0.28
75,2009-03-17,0.28
76,2009-03-18,0.28
77,2009-03-19,0.28
78,2009-03-20,0.28
79,2009-03-21,0.28
80,2009-03-22,0.28
81,2009-03-23,0.28
82,2009-03-24,0.28
83,2009-03-25,0.28
84,2009-03-26,0.28
85,2009-03-27,2.06
86,2009-03-28,2.34
87,2009-03-29,2.03
88,2009-03-30,3.09
89,2009-03-31,4.9
90,2009-04-01,2.53
91,2009-04-02,1.31
92,2009-04-03,1.53
93,2009-04-04,1.09
94,2009-04-05,0.94
95,2009-04-06,0.78
96,2009-04-07,0.63
97,2009-04-08,0.5
98,2009-04-09,0.44
99,2009-04-10,0.41
100,2009-04-11,0.37
101,2009-04-12,0.37
102,2009-04-13,0.34
103,2009-04-14,0.34
104,2009-04-15,0.34
105,2009-04-16,0.34
106,2009-04-17,0.34
107,2009-04-18,0.34
108,2009-04-19,0.34
109,2009-04-20,0.34
110,2009-04-21,0.34
111,2009-04-22,0.34
112,2009-04-23,0.34
113,2009-04-24,0.34
114,2009-04-25,0.34
115,2009-04-26,0.34
116,2009-04-27,0.34
117,2009-04-28,0.31
118,2009-04-29,0.31
119,2009-04-30,0.34
120,2009-05-01,0.34
121,2009-05-02,1.25
122,2009-05-03,1.09
123,2009-05-04,0.91
124,2009-05-05,0.69
125,2009-05-06,0.56
126,2009-05-07,0.47
127,2009-05-08,0.41
128,2009-05-09,0.37
129,2009-05-10,0.69
130,2009-05-11,1.03
131,2009-05-12,1.56
132,2009-05-13,2.66
133,2009-05-14,2.5
134,2009-05-15,1.53
135,2009-05-16,1.53
136,2009-05-17,2.13
137,2009-05-18,3.47
138,2009-05-19,1.9
139,2009-05-20,1.06
140,2009-05-21,0.72
141,2009-05-22,0.56
142,2009-05-23,0.66
143,2009-05-24,1.47
144,2009-05-25,5.68
145,2009-05-26,5.1
146,2009-05-27,2.4
147,2009-05-28,1.44
148,2009-05-29,1.25
149,2009-05-30,1.16
150,2009-05-31,1.25
151,2009-06-01,1.47
152,2009-06-02,1.09
153,2009-06-03,1.44
154,2009-06-04,1.12
155,2009-06-05,1.03
156,2009-06-06,1.75
157,2009-06-07,1.65
158,2009-06-08,1.12
159,2009-06-09,0.81
160,2009-06-10,0.69
161,2009-06-11,0.91
162,2009-06-12,1.9
163,2009-06-13,1.97
164,2009-06-14,1.69
165,2009-06-15,2.66
166,2009-06-16,1.81
167,2009-06-17,1.16
168,2009-06-18,0.97
169,2009-06-19,0.81
170,2009-06-20,0.72
171,2009-06-21,0.63
172,2009-06-22,0.56
173,2009-06-23,0.53
174,2009-06-24,0.56
175,2009-06-25,0.59
176,2009-06-26,1.06
177,2009-06-27,1.19
178,2009-06-28,1.28
179,2009-06-29,2.09
180,2009-06-30,3.69
181,2009-07-01,3.56
182,2009-07-02,2.97
183,2009-07-03,3.56
184,2009-07-04,2.37
185,2009-07-05,2.01
186,2009-07-06,1.7
187,2009-07-07,1.59
188,2009-07-08,1.2
189,2009-07-09,0.97
190,2009-07-10,0.94
191,2009-07-11,0.87
192,2009-07-12,0.89
193,2009-07-13,0.8
194,2009-07-14,0.7
195,2009-07-15,0.87
196,2009-07-16,1.03
197,2009-07-17,0.91
198,2009-07-18,1.01
199,2009-07-19,0.89
200,2009-07-20,0.75
201,2009-07-21,0.8
202,2009-07-22,0.95
203,2009-07-23,1.09
204,2009-07-24,0.92
205,2009-07-25,1.05
206,2009-07-26,1.33
207,2009-07-27,3.27
208,2009-07-28,7.59
209,2009-07-29,5.65
210,2009-07-30,5.84
211,2009-07-31,5.49
212,2009-08-01,3.84
213,2009-08-02,3.27
214,2009-08-03,3.16
215,2009-08-04,4.2
216,2009-08-05,3.62
217,2009-08-06,2.98
218,2009-08-07,2.64
219,2009-08-08,3.88
