,datetime,river_discharge
0,2009-01-01,81.99
1,2009-01-02,81.6
2,2009-01-03,81.22
3,2009-01-04,70.12
4,2009-01-05,54.98
5,2009-01-06,44.92
6,2009-01-07,38.17
7,2009-01-08,32.65
8,2009-01-09,27.44
9,2009-01-10,22.44
10,2009-01-11,18.05
11,2009-01-12,14.03
12,2009-01-13,9.81
13,2009-01-14,10.19
14,2009-01-15,16.99
15,2009-01-16,26.16
16,2009-01-17,32.42
17,2009-01-18,36.24
18,2009-01-19,39.36
19,2009-01-20,41.85
20,2009-01-21,44.19
21,2009-01-22,46.53
22,2009-01-23,48.77
23,2009-01-24,51.0
24,2009-01-25,43.26
25,2009-01-26,30.55
26,2009-01-27,20.98
27,2009-01-28,13.52
28,2009-01-29,6.91
29,2009-01-30,2.18
30,2009-01-31,0.69
31,2009-02-01,0.56
32,2009-02-02,0.56
33,2009-02-03,0.59
34,2009-02-04,0.56
35,2009-02-05,0.56
36,2009-02-06,0.56
37,2009-02-07,0.56
38,2009-02-08,0.56
39,2009-02-09,0.56
40,2009-02-10,0.56
41,2009-02-11,0.56
42,2009-02-12,0.56
43,2009-02-13,0.59
44,2009-02-14,0.59
45,2009-02-15,0.59
46,2009-02-16,0.56
47,2009-02-17,0.56
48,2009-02-18,0.56
49,2009-02-19,0.56
50,2009-02-20,0.56
51,2009-02-21,0.56
52,2009-02-22,0.56
53,2009-02-23,0.56
54,2009-02-24,0.53
55,2009-02-25,0.53
56,2009-02-26,0.53
57,2009-02-27,0.53
58,2009-02-28,0.53
59,2009-03-01,0.53
60,2009-03-02,0.53
61,2009-03-03,0.53
62,2009-03-04,0.53
63,2009-03-05,0.53
64,2009-03-06,0.53
65,2009-03-07,0.53
66,2009-03-08,0.53
67,2009-03-09,0.53
68,2009-03-10,0.53
69,2009-03-11,0.53
70,2009-03-12,0.53
71,2009-03-13,0.53
72,2009-03-14,0.5
73,2009-03-15,0.53
74,2009-03-16,0.53
75,2009-03-17,0.53
76,2009-03-18,0.5
77,2009-03-19,0.5
78,2009-03-20,0.5
