,datetime,river_discharge
0,2009-01-01,67.71
1,2009-01-02,67.08
2,2009-01-03,66.61
3,2009-01-04,65.53
4,2009-01-05,64.31
5,2009-01-06,63.42
6,2009-01-07,62.83
7,2009-01-08,62.53
8,2009-01-09,62.39
9,2009-01-10,62.1
10,2009-01-11,61.95
11,2009-01-12,61.66
12,2009-01-13,61.52
13,2009-01-14,61.66
14,2009-01-15,61.81
15,2009-01-16,61.95
16,2009-01-17,61.95
17,2009-01-18,61.95
18,2009-01-19,61.95
19,2009-01-20,61.95
20,2009-01-21,61.95
21,2009-01-22,61.95
22,2009-01-23,61.95
23,2009-01-24,62.1
24,2009-01-25,60.66
25,2009-01-26,58.7
26,2009-01-27,57.21
27,2009-01-28,56.41
28,2009-01-29,56.02
29,2009-01-30,55.89
30,2009-01-31,55.75
31,2009-02-01,55.75
32,2009-02-02,55.89
33,2009-02-03,56.15
34,2009-02-04,56.68
35,2009-02-05,57.08
36,2009-02-06,57.34
37,2009-02-07,57.34
38,2009-02-08,57.21
39,2009-02-09,57.08
40,2009-02-10,57.08
41,2009-02-11,56.94
42,2009-02-12,56.94
43,2009-02-13,56.94
44,2009-02-14,57.75
45,2009-02-15,58.7
46,2009-02-16,59.39
47,2009-02-17,59.81
48,2009-02-18,60.09
49,2009-02-19,60.09
50,2009-02-20,60.24
51,2009-02-21,60.38
52,2009-02-22,60.24
53,2009-02-23,60.24
54,2009-02-24,60.38
55,2009-02-25,60.38
56,2009-02-26,60.38
57,2009-02-27,60.52
58,2009-02-28,60.8
59,2009-03-01,61.23
60,2009-03-02,61.66
61,2009-03-03,62.1
62,2009-03-04,62.39
63,2009-03-05,62.68
64,2009-03-06,62.97
65,2009-03-07,62.97
66,2009-03-08,62.97
67,2009-03-09,62.83
68,2009-03-10,62.83
69,2009-03-11,62.83
70,2009-03-12,62.83
71,2009-03-13,62.83
72,2009-03-14,62.83
73,2009-03-15,62.83
74,2009-03-16,63.12
75,2009-03-17,63.12
76,2009-03-18,63.12
77,2009-03-19,62.97
78,2009-03-20,62.97
79,2009-03-21,62.97
80,2009-03-22,62.97
81,2009-03-23,62.68
82,2009-03-24,62.24
83,2009-03-25,62.24
84,2009-03-26,62.53
85,2009-03-27,63.57
86,2009-03-28,64.46
87,2009-03-29,66.45
88,2009-03-30,68.34
89,2009-03-31,71.11
90,2009-04-01,72.96
91,2009-04-02,73.82
92,2009-04-03,75.21
93,2009-04-04,75.21
94,2009-04-05,74.51
95,2009-04-06,73.3
96,2009-04-07,71.61
97,2009-04-08,69.79
98,2009-04-09,68.66
99,2009-04-10,68.18
100,2009-04-11,68.02
101,2009-04-12,67.87
102,2009-04-13,67.87
103,2009-04-14,68.02
