,datetime,river_discharge
0,2009-01-01,160.44
1,2009-01-02,158.59
2,2009-01-03,156.76
3,2009-01-04,153.88
4,2009-01-05,150.01
5,2009-01-06,147.25
6,2009-01-07,145.55
7,2009-01-08,143.88
8,2009-01-09,143.21
9,2009-01-10,142.55
10,2009-01-11,142.22
11,2009-01-12,141.89
12,2009-01-13,141.89
13,2009-01-14,142.22
14,2009-01-15,142.88
15,2009-01-16,143.21
16,2009-01-17,143.54
17,2009-01-18,143.88
18,2009-01-19,144.21
19,2009-01-20,144.55
20,2009-01-21,144.55
21,2009-01-22,144.88
22,2009-01-23,144.88
23,2009-01-24,145.22
24,2009-01-25,141.89
25,2009-01-26,137.04
26,2009-01-27,133.28
27,2009-01-28,130.22
28,2009-01-29,128.12
29,2009-01-30,126.35
30,2009-01-31,125.77
31,2009-02-01,125.77
32,2009-02-02,126.06
33,2009-02-03,126.64
34,2009-02-04,127.82
35,2009-02-05,129.02
36,2009-02-06,129.92
37,2009-02-07,130.22
38,2009-02-08,130.22
39,2009-02-09,130.22
40,2009-02-10,130.52
41,2009-02-11,130.22
42,2009-02-12,130.83
43,2009-02-13,131.13
44,2009-02-14,132.66
45,2009-02-15,135.14
46,2009-02-16,136.72
47,2009-02-17,138.0
48,2009-02-18,138.96
49,2009-02-19,139.6
50,2009-02-20,140.25
51,2009-02-21,140.58
52,2009-02-22,140.25
53,2009-02-23,139.93
54,2009-02-24,139.93
55,2009-02-25,139.93
56,2009-02-26,139.6
57,2009-02-27,139.93
58,2009-02-28,140.58
59,2009-03-01,141.89
60,2009-03-02,142.88
61,2009-03-03,143.88
62,2009-03-04,145.22
63,2009-03-05,146.23
64,2009-03-06,146.91
65,2009-03-07,147.25
66,2009-03-08,147.25
67,2009-03-09,146.91
68,2009-03-10,147.25
69,2009-03-11,146.91
70,2009-03-12,146.91
71,2009-03-13,146.57
72,2009-03-14,146.57
73,2009-03-15,146.57
74,2009-03-16,147.25
75,2009-03-17,147.25
76,2009-03-18,146.91
77,2009-03-19,146.91
78,2009-03-20,146.57
79,2009-03-21,146.23
80,2009-03-22,145.89
81,2009-03-23,145.22
82,2009-03-24,143.88
83,2009-03-25,143.54
84,2009-03-26,143.88
85,2009-03-27,166.88
86,2009-03-28,185.21
87,2009-03-29,187.8
88,2009-03-30,206.01
89,2009-03-31,243.34
90,2009-04-01,232.88
91,2009-04-02,207.45
92,2009-04-03,198.53
93,2009-04-04,193.54
94,2009-04-05,189.11
95,2009-04-06,185.64
96,2009-04-07,178.89
97,2009-04-08,172.38
98,2009-04-09,168.04
99,2009-04-10,164.96
100,2009-04-11,162.68
