datetime,city,river_discharge
2009-01-01,Rajshahi,2909.72
2009-01-02,Rajshahi,2909.72
2009-01-03,Rajshahi,2923.15
2009-01-04,Rajshahi,2916.43
2009-01-05,Rajshahi,2863.18
2009-01-06,Rajshahi,2785.12
2009-01-07,Rajshahi,2696.74
2009-01-08,Rajshahi,2587.21
2009-01-09,Rajshahi,2482.13
2009-01-10,Rajshahi,2381.32
2009-01-11,Rajshahi,2289.87
2009-01-12,Rajshahi,2196.86
2009-01-13,Rajshahi,2107.63
2009-01-14,Rajshahi,2026.68
2009-01-15,Rajshahi,1962.36
2009-01-16,Rajshahi,1908.85
2009-01-17,Rajshahi,1865.38
2009-01-18,Rajshahi,1822.9
2009-01-19,Rajshahi,1781.38
2009-01-20,Rajshahi,1744.82
2009-01-21,Rajshahi,1709.02
2009-01-22,Rajshahi,1673.94
2009-01-23,Rajshahi,1639.59
2009-01-24,Rajshahi,1613.36
2009-01-25,Rajshahi,1587.55
2009-01-26,Rajshahi,1554.97
2009-01-27,Rajshahi,1523.05
2009-01-28,Rajshahi,1484.94
2009-01-29,Rajshahi,1444.44
2009-01-30,Rajshahi,1408.29
2009-01-31,Rajshahi,1376.21
2009-02-01,Rajshahi,1354.19
2009-02-02,Rajshahi,1338.68
2009-02-03,Rajshahi,1323.34
2009-02-04,Rajshahi,1314.22
2009-02-05,Rajshahi,1311.2
2009-02-06,Rajshahi,1311.2
2009-02-07,Rajshahi,1308.18
2009-02-08,Rajshahi,1302.17
2009-02-09,Rajshahi,1290.22
2009-02-10,Rajshahi,1281.33
2009-02-11,Rajshahi,1269.57
2009-02-12,Rajshahi,1263.74
2009-02-13,Rajshahi,1260.83
2009-02-14,Rajshahi,1269.57
2009-02-15,Rajshahi,1278.38
2009-02-16,Rajshahi,1278.38
2009-02-17,Rajshahi,1278.38
2009-02-18,Rajshahi,1284.29
2009-02-19,Rajshahi,1290.22
2009-02-20,Rajshahi,1290.22
2009-02-21,Rajshahi,1290.22
2009-02-22,Rajshahi,1290.22
2009-02-23,Rajshahi,1287.25
2009-02-24,Rajshahi,1284.29
2009-02-25,Rajshahi,1284.29
2009-02-26,Rajshahi,1290.22
2009-02-27,Rajshahi,1302.17
2009-02-28,Rajshahi,1311.2
2009-03-01,Rajshahi,1311.2
2009-03-02,Rajshahi,1308.18
2009-03-03,Rajshahi,1299.17
2009-03-04,Rajshahi,1281.33
2009-03-05,Rajshahi,1249.26
2009-03-06,Rajshahi,1206.81
2009-03-07,Rajshahi,1160.45
2009-03-08,Rajshahi,1115.86
2009-03-09,Rajshahi,1077.95
2009-03-10,Rajshahi,1053.39
2009-03-11,Rajshahi,1043.72
2009-03-12,Rajshahi,1041.32
2009-03-13,Rajshahi,1041.32
2009-03-14,Rajshahi,1038.92
2009-03-15,Rajshahi,1031.76
2009-03-16,Rajshahi,1017.59
2009-03-17,Rajshahi,996.7
2009-03-18,Rajshahi,971.75
2009-03-19,Rajshahi,947.42
2009-03-20,Rajshahi,919.45
2009-03-21,Rajshahi,896.43
2009-03-22,Rajshahi,878.02
2009-03-23,Rajshahi,856.04
2009-03-24,Rajshahi,826.94
2009-03-25,Rajshahi,793.33
2009-03-26,Rajshahi,766.36
2009-03-27,Rajshahi,743.73
2009-03-28,Rajshahi,725.11
2009-03-29,Rajshahi,715.14
2009-03-30,Rajshahi,708.58
2009-03-31,Rajshahi,698.84
2009-04-01,Rajshahi,692.43
2009-04-02,Rajshahi,686.07
2009-04-03,Rajshahi,681.34
2009-04-04,Rajshahi,679.77
2009-04-05,Rajshahi,687.65
2009-04-06,Rajshahi,703.69
2009-04-07,Rajshahi,726.78
2009-04-08,Rajshahi,757.58
2009-04-09,Rajshahi,798.83
2009-04-10,Rajshahi,852.1
2009-04-11,Rajshahi,908.91
2009-04-12,Rajshahi,969.51
2009-04-13,Rajshahi,1029.39
2009-04-14,Rajshahi,1077.95
2009-04-15,Rajshahi,1115.86
2009-04-16,Rajshahi,1147.15
2009-04-17,Rajshahi,1176.61
2009-04-18,Rajshahi,1209.6
2009-04-19,Rajshahi,1252.14
2009-04-20,Rajshahi,1299.17
2009-04-21,Rajshahi,1354.19
2009-04-22,Rajshahi,1424.61
2009-04-23,Rajshahi,1491.79
2009-04-24,Rajshahi,1540.7
2009-04-25,Rajshahi,1572.98
2009-04-26,Rajshahi,1613.36
2009-04-27,Rajshahi,1666.25
2009-04-28,Rajshahi,1716.91
2009-04-29,Rajshahi,1740.81
2009-04-30,Rajshahi,1748.85
2009-05-01,Rajshahi,1748.85
2009-05-02,Rajshahi,1744.82
2009-05-03,Rajshahi,1740.81
2009-05-04,Rajshahi,1740.81
2009-05-05,Rajshahi,1728.82
2009-05-06,Rajshahi,1712.96
2009-05-07,Rajshahi,1701.16
2009-05-08,Rajshahi,1697.24
2009-05-09,Rajshahi,1701.16
2009-05-10,Rajshahi,1709.02
2009-05-11,Rajshahi,1716.91
2009-05-12,Rajshahi,1732.8
2009-05-13,Rajshahi,1777.28
2009-05-14,Rajshahi,1848.27
2009-05-15,Rajshahi,1900.08
2009-05-16,Rajshahi,1985.1
2009-05-17,Rajshahi,2136.96
2009-05-18,Rajshahi,2311.07
2009-05-19,Rajshahi,2392.32
2009-05-20,Rajshahi,2359.48
2009-05-21,Rajshahi,2279.34
2009-05-22,Rajshahi,2196.86
2009-05-23,Rajshahi,2136.96
2009-05-24,Rajshahi,2127.14
2009-05-25,Rajshahi,2222.31
2009-05-26,Rajshahi,2465.04
2009-05-27,Rajshahi,2830.39
2009-05-28,Rajshahi,3466.37
2009-05-29,Rajshahi,4186.94
2009-05-30,Rajshahi,4496.8
2009-05-31,Rajshahi,4496.8
2009-06-01,Rajshahi,4344.1
2009-06-02,Rajshahi,4235.43
2009-06-03,Rajshahi,4186.94
