,datetime,river_discharge
0,2009-01-01,1.14
1,2009-01-02,1.12
2,2009-01-03,1.12
3,2009-01-04,1.11
4,2009-01-05,1.09
5,2009-01-06,1.09
6,2009-01-07,1.08
7,2009-01-08,1.08
8,2009-01-09,1.06
9,2009-01-10,1.05
10,2009-01-11,1.05
11,2009-01-12,1.03
12,2009-01-13,1.03
13,2009-01-14,1.03
14,2009-01-15,1.03
15,2009-01-16,1.03
16,2009-01-17,1.03
17,2009-01-18,1.03
18,2009-01-19,1.03
19,2009-01-20,1.03
20,2009-01-21,1.03
21,2009-01-22,1.0
22,2009-01-23,1.0
23,2009-01-24,1.0
24,2009-01-25,1.0
25,2009-01-26,1.09
26,2009-01-27,1.19
27,2009-01-28,1.12
28,2009-01-29,1.09
29,2009-01-30,1.06
30,2009-01-31,1.03
31,2009-02-01,1.03
32,2009-02-02,1.03
33,2009-02-03,1.03
34,2009-02-04,1.0
35,2009-02-05,1.0
36,2009-02-06,1.0
37,2009-02-07,1.0
38,2009-02-08,1.0
39,2009-02-09,1.0
40,2009-02-10,1.0
41,2009-02-11,1.0
42,2009-02-12,1.0
43,2009-02-13,1.0
44,2009-02-14,1.0
45,2009-02-15,1.0
46,2009-02-16,1.0
47,2009-02-17,0.97
48,2009-02-18,0.97
49,2009-02-19,0.97
50,2009-02-20,0.97
51,2009-02-21,0.97
52,2009-02-22,0.97
53,2009-02-23,0.97
54,2009-02-24,1.19
55,2009-02-25,1.78
56,2009-02-26,1.4
57,2009-02-27,1.4
58,2009-02-28,1.22
59,2009-03-01,1.12
60,2009-03-02,1.06
61,2009-03-03,1.03
62,2009-03-04,1.0
63,2009-03-05,1.03
64,2009-03-06,1.03
65,2009-03-07,1.0
66,2009-03-08,1.0
67,2009-03-09,1.0
68,2009-03-10,0.97
69,2009-03-11,0.97
70,2009-03-12,0.97
71,2009-03-13,0.97
72,2009-03-14,0.97
73,2009-03-15,0.97
74,2009-03-16,0.97
75,2009-03-17,0.97
76,2009-03-18,0.97
77,2009-03-19,0.94
78,2009-03-20,0.94
79,2009-03-21,0.94
80,2009-03-22,0.94
81,2009-03-23,0.94
82,2009-03-24,0.94
83,2009-03-25,0.94
84,2009-03-26,0.94
85,2009-03-27,1.03
86,2009-03-28,1.22
87,2009-03-29,1.59
88,2009-03-30,1.97
89,2009-03-31,3.5
90,2009-04-01,2.03
91,2009-04-02,1.4
92,2009-04-03,2.5
93,2009-04-04,2.53
94,2009-04-05,1.81
95,2009-04-06,1.38
96,2009-04-07,1.19
97,2009-04-08,1.09
98,2009-04-09,1.09
99,2009-04-10,1.09
100,2009-04-11,1.03
101,2009-04-12,1.0
102,2009-04-13,0.97
103,2009-04-14,0.97
104,2009-04-15,0.94
105,2009-04-16,1.03
106,2009-04-17,1.47
107,2009-04-18,1.69
108,2009-04-19,1.72
109,2009-04-20,2.47
110,2009-04-21,2.87
111,2009-04-22,3.66
112,2009-04-23,2.66
113,2009-04-24,1.81
114,2009-04-25,1.5
115,2009-04-26,1.38
116,2009-04-27,1.31
117,2009-04-28,1.31
118,2009-04-29,1.38
119,2009-04-30,1.75
120,2009-05-01,4.28
121,2009-05-02,3.16
122,2009-05-03,2.13
123,2009-05-04,1.94
124,2009-05-05,1.78
125,2009-05-06,1.94
126,2009-05-07,1.88
127,2009-05-08,1.72
128,2009-05-09,2.06
129,2009-05-10,2.31
130,2009-05-11,1.9
131,2009-05-12,1.62
132,2009-05-13,3.03
133,2009-05-14,2.44
134,2009-05-15,2.28
135,2009-05-16,3.84
136,2009-05-17,4.0
137,2009-05-18,7.0
138,2009-05-19,3.56
139,2009-05-20,2.6
140,2009-05-21,2.25
141,2009-05-22,2.03
142,2009-05-23,2.03
143,2009-05-24,2.03
144,2009-05-25,3.29
145,2009-05-26,6.73
146,2009-05-27,3.88
147,2009-05-28,2.87
148,2009-05-29,2.72
149,2009-05-30,3.84
150,2009-05-31,3.41
151,2009-06-01,4.06
152,2009-06-02,3.38
153,2009-06-03,2.91
154,2009-06-04,2.94
155,2009-06-05,3.06
156,2009-06-06,2.69
157,2009-06-07,3.09
158,2009-06-08,4.9
159,2009-06-09,4.19
160,2009-06-10,3.81
161,2009-06-11,3.88
162,2009-06-12,4.69
163,2009-06-13,4.13
164,2009-06-14,4.13
165,2009-06-15,5.28
166,2009-06-16,4.97
167,2009-06-17,3.75
168,2009-06-18,3.5
169,2009-06-19,4.56
170,2009-06-20,4.71
171,2009-06-21,4.28
172,2009-06-22,3.88
173,2009-06-23,3.32
174,2009-06-24,3.41
175,2009-06-25,3.29
176,2009-06-26,3.75
177,2009-06-27,4.35
178,2009-06-28,4.25
179,2009-06-29,5.34
180,2009-06-30,6.69
181,2009-07-01,9.35
182,2009-07-02,10.53
183,2009-07-03,7.24
184,2009-07-04,6.24
185,2009-07-05,5.85
186,2009-07-06,6.01
187,2009-07-07,6.06
188,2009-07-08,5.37
189,2009-07-09,5.53
190,2009-07-10,5.22
191,2009-07-11,4.6
192,2009-07-12,4.33
193,2009-07-13,6.1
194,2009-07-14,5.55
195,2009-07-15,4.89
196,2009-07-16,5.01
197,2009-07-17,4.41
198,2009-07-18,5.21
199,2009-07-19,5.37
200,2009-07-20,5.1
201,2009-07-21,4.43
202,2009-07-22,4.56
203,2009-07-23,4.48
204,2009-07-24,4.24
205,2009-07-25,4.22
206,2009-07-26,3.92
207,2009-07-27,9.16
208,2009-07-28,11.25
209,2009-07-29,9.07
210,2009-07-30,7.53
211,2009-07-31,7.59
212,2009-08-01,6.6
213,2009-08-02,6.0
214,2009-08-03,5.81
215,2009-08-04,6.11
216,2009-08-05,13.32
217,2009-08-06,8.29
218,2009-08-07,6.94
219,2009-08-08,6.05
220,2009-08-09,5.7
221,2009-08-10,5.53
222,2009-08-11,6.05
223,2009-08-12,6.73
224,2009-08-13,7.65
225,2009-08-14,7.59
226,2009-08-15,7.02
227,2009-08-16,7.15
228,2009-08-17,6.8
229,2009-08-18,8.68
230,2009-08-19,8.86
231,2009-08-20,10.17
232,2009-08-21,10.89
233,2009-08-22,8.29
234,2009-08-23,6.57
235,2009-08-24,5.76
236,2009-08-25,6.87
237,2009-08-26,6.73
238,2009-08-27,6.16
239,2009-08-28,5.55
240,2009-08-29,5.49
241,2009-08-30,5.25
242,2009-08-31,5.35
243,2009-09-01,5.18
244,2009-09-02,4.89
245,2009-09-03,5.68
246,2009-09-04,7.05
247,2009-09-05,8.46
248,2009-09-06,7.89
249,2009-09-07,5.73
250,2009-09-08,5.78
251,2009-09-09,6.03
252,2009-09-10,5.75
253,2009-09-11,5.0
254,2009-09-12,4.66
255,2009-09-13,4.78
256,2009-09-14,5.27
257,2009-09-15,5.05
258,2009-09-16,4.96
259,2009-09-17,6.41
260,2009-09-18,6.98
261,2009-09-19,6.73
262,2009-09-20,6.73
263,2009-09-21,6.21
264,2009-09-22,5.97
265,2009-09-23,6.41
266,2009-09-24,5.71
267,2009-09-25,4.92
268,2009-09-26,4.47
269,2009-09-27,4.24
270,2009-09-28,4.33
271,2009-09-29,4.26
272,2009-09-30,4.04
273,2009-10-01,3.89
274,2009-10-02,3.81
275,2009-10-03,5.21
276,2009-10-04,5.19
277,2009-10-05,5.68
278,2009-10-06,5.46
279,2009-10-07,5.67
280,2009-10-08,7.45
281,2009-10-09,8.1
282,2009-10-10,5.76
283,2009-10-11,4.6
284,2009-10-12,4.15
285,2009-10-13,3.93
286,2009-10-14,3.79
287,2009-10-15,4.4
288,2009-10-16,4.33
289,2009-10-17,4.01
290,2009-10-18,3.86
291,2009-10-19,3.63
292,2009-10-20,3.49
293,2009-10-21,3.38
294,2009-10-22,3.29
295,2009-10-23,3.21
296,2009-10-24,3.14
297,2009-10-25,3.07
298,2009-10-26,3.02
299,2009-10-27,2.96
300,2009-10-28,2.91
301,2009-10-29,2.85
302,2009-10-30,2.79
303,2009-10-31,2.75
304,2009-11-01,2.7
305,2009-11-02,2.65
306,2009-11-03,2.6
307,2009-11-04,2.56
308,2009-11-05,2.51
309,2009-11-06,2.47
310,2009-11-07,2.42
311,2009-11-08,2.38
312,2009-11-09,2.34
313,2009-11-10,2.3
314,2009-11-11,2.27
315,2009-11-12,2.23
316,2009-11-13,2.18
317,2009-11-14,2.16
318,2009-11-15,2.17
319,2009-11-16,2.18
320,2009-11-17,2.16
321,2009-11-18,2.09
322,2009-11-19,2.04
323,2009-11-20,2.0
324,2009-11-21,1.96
325,2009-11-22,1.92
326,2009-11-23,1.89
327,2009-11-24,1.86
328,2009-11-25,1.82
329,2009-11-26,1.81
330,2009-11-27,1.77
331,2009-11-28,1.75
332,2009-11-29,1.73
333,2009-11-30,1.7
334,2009-12-01,1.67
335,2009-12-02,1.65
336,2009-12-03,1.62
337,2009-12-04,1.61
338,2009-12-05,1.59
339,2009-12-06,1.56
340,2009-12-07,1.55
341,2009-12-08,1.52
342,2009-12-09,1.51
343,2009-12-10,1.48
344,2009-12-11,1.47
345,2009-12-12,1.44
346,2009-12-13,1.43
347,2009-12-14,1.42
348,2009-12-15,1.39
349,2009-12-16,1.38
350,2009-12-17,1.36
351,2009-12-18,1.34
352,2009-12-19,1.33
353,2009-12-20,1.31
354,2009-12-21,1.3
355,2009-12-22,1.28
356,2009-12-23,1.26
357,2009-12-24,1.26
358,2009-12-25,1.25
359,2009-12-26,1.23
360,2009-12-27,1.22
361,2009-12-28,1.22
362,2009-12-29,1.2
363,2009-12-30,1.19
364,2009-12-31,1.17
365,2010-01-01,1.17
366,2010-01-02,1.16
367,2010-01-03,1.14
368,2010-01-04,1.12
369,2010-01-05,1.11
370,2010-01-06,1.11
371,2010-01-07,1.09
372,2010-01-08,1.09
373,2010-01-09,1.08
374,2010-01-10,1.06
375,2010-01-11,1.06
376,2010-01-12,1.05
377,2010-01-13,1.03
378,2010-01-14,1.03
379,2010-01-15,1.03
380,2010-01-16,1.03
381,2010-01-17,1.03
382,2010-01-18,1.03
383,2010-01-19,1.01
384,2010-01-20,1.01
385,2010-01-21,1.01
386,2010-01-22,1.01
387,2010-01-23,1.01
388,2010-01-24,1.01
389,2010-01-25,1.01
390,2010-01-26,1.0
391,2010-01-27,1.0
392,2010-01-28,1.0
393,2010-01-29,1.0
394,2010-01-30,1.0
395,2010-01-31,1.0
396,2010-02-01,1.0
397,2010-02-02,1.0
398,2010-02-03,1.0
399,2010-02-04,0.99
400,2010-02-05,0.99
401,2010-02-06,0.99
402,2010-02-07,1.0
403,2010-02-08,1.0
404,2010-02-09,0.97
405,2010-02-10,0.97
406,2010-02-11,0.97
407,2010-02-12,0.97
408,2010-02-13,0.97
409,2010-02-14,0.97
410,2010-02-15,0.97
411,2010-02-16,0.97
412,2010-02-17,1.09
413,2010-02-18,1.06
414,2010-02-19,1.03
415,2010-02-20,1.0
416,2010-02-21,1.0
417,2010-02-22,0.97
418,2010-02-23,0.97
419,2010-02-24,1.47
420,2010-02-25,1.22
421,2010-02-26,1.09
422,2010-02-27,1.03
423,2010-02-28,1.0
424,2010-03-01,1.0
425,2010-03-02,0.97
426,2010-03-03,0.97
427,2010-03-04,1.19
428,2010-03-05,2.4
429,2010-03-06,1.97
430,2010-03-07,1.47
431,2010-03-08,1.22
432,2010-03-09,1.09
433,2010-03-10,1.03
434,2010-03-11,1.0
435,2010-03-12,0.97
436,2010-03-13,0.97
437,2010-03-14,0.97
438,2010-03-15,1.62
439,2010-03-16,1.28
440,2010-03-17,1.12
441,2010-03-18,1.03
442,2010-03-19,1.0
443,2010-03-20,0.97
444,2010-03-21,0.97
445,2010-03-22,0.94
446,2010-03-23,1.0
447,2010-03-24,1.09
