name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Narayanganj, bangladesh",2021-03-01,33,23.8,27.6,36.8,23.8,28.8,20.5,66.5,0,0,0,,,,,18.4,203.5,1010.9,33,4,233.7,20.1,8,,2021-03-01T06:20:03,2021-03-01T18:01:01,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41933099999,41941099999,41923099999,41929099999,remote,41922099999,41939099999"
"Narayanganj, bangladesh",2021-03-02,31,20.6,26.9,31.4,20.6,27.3,18.8,63,0,0,0,,,,,18.4,260.9,1012,9.7,3.6,251.2,21.8,9,,2021-03-02T06:19:11,2021-03-02T18:01:29,0.6,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
"Narayanganj, bangladesh",2021-03-03,32.2,22,27.6,33.5,22,28.3,18.2,57.9,0,0,0,,,,,18.4,302.1,1011.1,16.7,3.7,241,20.8,8,,2021-03-03T06:18:18,2021-03-03T18:01:58,0.64,Clear,Clear conditions throughout the day.,clear-day,"VGHS,remote,41922099999"
"Narayanganj, bangladesh",2021-03-04,32,22,26.2,32.4,22,26.5,17.5,60.4,0,0,0,,,,,25.9,236.5,1011.4,0,3.6,249.5,21.5,9,,2021-03-04T06:17:24,2021-03-04T18:02:25,0.67,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Narayanganj, bangladesh",2021-03-05,32,22,26.8,34.9,22,27.5,18.7,63.1,0,0,0,,,,,22.3,202.1,1010.7,16.9,3.6,236.6,20.4,9,,2021-03-05T06:16:30,2021-03-05T18:02:53,0.71,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Narayanganj, bangladesh",2021-03-06,33,22,27.4,36.8,22,29.2,20.2,65.7,0,0,0,,,,,22.3,173.8,1010.2,34.9,3.8,233,20.2,8,,2021-03-06T06:15:35,2021-03-06T18:03:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
"Narayanganj, bangladesh",2021-03-07,31,23,27.3,32.4,23,28.3,20.3,66.6,0.2,100,8.33,rain,,,,18.4,164.8,1011.6,48.1,3.4,244.5,21.2,9,,2021-03-07T06:14:39,2021-03-07T18:03:47,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VGHS,41922099999"
"Narayanganj, bangladesh",2021-03-08,31,24,27.9,34.6,24,29.9,21.9,70.8,0,0,0,,,,,79.9,189.8,1012.5,68.1,3.5,230.5,19.7,8,,2021-03-08T06:13:44,2021-03-08T18:04:13,0.82,Partially cloudy,Partly cloudy throughout the day.,wind,"VGHS,41922099999"
"Narayanganj, bangladesh",2021-03-09,31,26,27.7,32.4,26,28.9,20.3,64.7,0,0,0,,,,,18.4,178.2,1011.9,62.3,3.8,227.9,19.7,8,,2021-03-09T06:12:47,2021-03-09T18:04:40,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
"Narayanganj, bangladesh",2021-03-10,31,24,27.5,35.5,24,28.8,20.5,66.7,0.1,100,4.17,rain,,,,18.4,161,1012.3,76.5,3.9,173.3,15,6,,2021-03-10T06:11:51,2021-03-10T18:05:05,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,41922099999"
