datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0_y,river_discharge,Unnamed: 0,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
2013-02-01,0,Bogra,21.1,11.1,15.0,21.1,11.1,15.0,8.1,64.3,0.0,0,0.0,,,,,14.0,315.8,1016.6,72.3,3.7,62.1,5.3,3,,2013-02-01T06:45:01,2013-02-01T17:47:30,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1492,0.41,1127,3,24.2,11.6,18.2,18.4,0.0,0.0,0.0,8.2,2.09
2013-02-02,1,Bogra,26.7,9.2,17.3,26.7,7.6,17.1,7.6,56.0,0.0,0,0.0,,,,,16.9,305.5,1014.5,40.8,4.0,178.5,15.5,7,,2013-02-02T06:44:33,2013-02-02T17:48:13,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1493,0.41,1128,3,26.1,10.6,19.5,19.3,0.0,0.0,0.0,9.3,3.64
2013-02-03,2,Bogra,27.2,12.1,18.3,26.8,12.1,18.2,6.1,47.2,0.0,0,0.0,,,,,18.4,304.2,1015.5,35.0,6.0,189.1,16.3,7,,2013-02-03T06:44:05,2013-02-03T17:48:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1494,0.41,1129,1,26.8,12.8,19.6,19.2,0.0,0.0,0.0,10.2,3.82
2013-02-04,3,Bogra,28.7,11.5,19.8,27.3,11.5,19.6,8.0,50.1,0.0,0,0.0,,,,,13.7,318.8,1015.7,28.3,5.0,200.6,17.3,7,,2013-02-04T06:43:35,2013-02-04T17:49:37,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,41883099999",1495,0.41,1130,1,27.1,12.6,20.0,20.4,0.0,0.0,0.0,8.4,3.44
2013-02-05,4,Bogra,30.5,13.0,21.1,28.8,13.0,20.7,9.2,49.9,0.0,0,0.0,,,,,13.7,338.9,1018.5,0.6,6.0,212.6,18.3,8,,2013-02-05T06:43:04,2013-02-05T17:50:18,0.82,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1496,0.41,1131,0,28.1,13.5,20.9,21.2,0.0,0.0,0.0,8.9,3.75
2013-02-06,5,Bogra,31.6,14.4,22.3,30.1,14.4,22.0,11.0,51.8,0.0,0,0.0,,,,,14.8,311.4,1015.2,4.0,4.0,214.2,18.5,8,,2013-02-06T06:42:32,2013-02-06T17:50:59,0.86,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1497,0.41,1132,1,28.7,14.0,21.8,21.6,0.0,0.0,0.0,11.0,4.15
2013-02-07,6,Bogra,31.8,17.4,23.6,30.5,17.4,23.3,12.5,51.7,0.0,0,0.0,,,,,21.6,303.1,1012.7,44.8,4.3,199.8,17.2,8,,2013-02-07T06:41:58,2013-02-07T17:51:40,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1498,0.41,1133,2,28.9,15.5,22.5,23.0,0.0,0.0,0.0,12.7,3.93
2013-02-08,7,Bogra,25.7,16.8,21.2,25.7,16.8,21.2,10.9,54.1,0.0,0,0.0,,,,,26.6,303.0,1013.4,52.4,4.5,132.3,11.4,5,,2013-02-08T06:41:24,2013-02-08T17:52:20,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1499,0.41,1134,51,25.8,13.4,19.9,19.1,0.1,0.1,1.0,13.3,3.03
2013-02-09,8,Bogra,27.4,11.8,18.8,26.2,11.8,18.6,4.4,42.7,0.0,0,0.0,,,,,18.7,307.5,1014.1,3.1,4.5,241.0,20.8,9,,2013-02-09T06:40:48,2013-02-09T17:53:00,0.96,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1500,0.41,1135,0,25.3,12.6,18.5,17.3,0.0,0.0,0.0,10.9,4.11
2013-02-10,9,Bogra,28.5,10.4,18.7,27.0,10.4,18.5,4.7,42.9,0.0,0,0.0,,,,,20.5,312.7,1014.1,1.5,4.3,233.8,20.4,8,,2013-02-10T06:40:11,2013-02-10T17:53:40,0.0,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1501,0.41,1136,0,26.8,12.6,19.5,18.3,0.0,0.0,0.0,13.2,4.27
