datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax_x,feelslikemin_x,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0_y,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,feelslikemax_y,feelslikemin_y,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours ,windspeed_y,et0_fao_evapotranspiration,river_discharge
2014-01-01,0,Chittagong,24.0,13.1,19.2,24.0,13.1,19.2,13.0,68.7,0.0,0,0.0,,,,,18.4,338.2,1014.3,7.3,3.5,202.2,17.5,7,,2014-01-01T06:32:28,2014-01-01T17:20:01,0.0,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1461,0,24.1,14.8,19.0,24.5,14.2,18.8,0.0,0.0,0,11.9,3.22,0.17
2014-01-02,1,Chittagong,27.0,13.9,19.9,27.1,13.9,19.9,14.8,75.0,0.0,0,0.0,,,,,22.3,11.5,1014.5,23.6,3.8,192.7,16.7,7,,2014-01-02T06:32:46,2014-01-02T17:20:39,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1462,0,25.0,15.7,19.9,24.8,15.0,19.5,0.0,0.0,0,13.7,3.53,0.16
2014-01-03,2,Chittagong,27.0,15.2,20.1,27.3,15.2,20.1,14.4,72.0,0.0,0,0.0,,,,,25.9,350.0,1014.5,12.9,3.7,193.1,16.7,7,,2014-01-03T06:33:03,2014-01-03T17:21:18,0.06,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41978099999,41964099999,VGEG,remote,41989099999",1463,0,23.8,16.0,19.4,23.1,15.6,18.7,0.0,0.0,0,14.3,3.57,0.16
2014-01-04,3,Chittagong,25.0,14.9,19.2,25.0,14.9,19.2,14.0,73.2,0.0,0,0.0,,,,,22.3,338.5,1013.0,0.0,3.2,188.2,16.4,7,,2014-01-04T06:33:19,2014-01-04T17:21:58,0.09,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1464,0,22.6,14.4,18.3,22.6,13.4,17.6,0.0,0.0,0,14.3,3.23,0.16
2014-01-05,4,Chittagong,24.0,11.6,18.1,24.0,11.6,18.1,13.4,75.0,0.0,0,0.0,,,,,18.4,340.2,1011.5,6.7,2.8,183.2,15.8,7,,2014-01-05T06:33:34,2014-01-05T17:22:37,0.13,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1465,1,22.1,14.2,18.1,23.0,13.4,17.9,0.0,0.0,0,12.3,2.99,0.16
2014-01-06,5,Chittagong,24.0,13.6,19.1,24.0,13.6,19.1,13.6,72.9,0.0,0,0.0,,,,,22.3,342.6,1012.4,4.0,2.9,179.0,15.5,7,,2014-01-06T06:33:47,2014-01-06T17:23:18,0.16,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1466,1,23.9,15.2,19.3,23.7,15.0,19.2,0.0,0.0,0,13.4,3.17,0.16
2014-01-07,6,Chittagong,26.0,15.4,20.1,26.0,15.4,20.1,14.4,72.6,0.0,0,0.0,,,,,18.4,5.6,1014.1,0.0,3.6,182.2,15.8,7,,2014-01-07T06:33:59,2014-01-07T17:23:58,0.2,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1467,0,24.3,15.5,19.4,24.4,15.4,19.0,0.0,0.0,0,14.2,3.42,0.16
2014-01-08,7,Chittagong,24.0,14.0,19.0,24.0,14.0,19.0,11.2,63.7,0.0,0,0.0,,,,,27.7,350.4,1014.9,12.0,3.6,199.5,17.1,7,,2014-01-08T06:34:10,2014-01-08T17:24:39,0.25,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1468,0,22.7,14.8,18.4,21.3,13.3,16.7,0.0,0.0,0,15.9,3.78,0.16
2014-01-09,8,Chittagong,23.0,13.0,17.9,23.0,13.0,17.9,12.2,72.4,0.0,0,0.0,,,,,18.4,348.9,1013.3,3.1,3.2,199.9,17.4,7,,2014-01-09T06:34:19,2014-01-09T17:25:20,0.26,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1469,0,22.7,13.6,18.0,22.5,12.3,16.9,0.0,0.0,0,15.4,3.47,0.16
2014-01-10,9,Chittagong,23.0,13.0,18.2,23.0,13.0,18.2,11.8,68.4,0.0,0,0.0,,,,,15.5,344.5,1013.9,7.4,2.9,199.6,17.2,7,,2014-01-10T06:34:28,2014-01-10T17:26:01,0.3,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1470,0,24.0,14.1,18.8,24.6,13.5,18.5,0.0,0.0,0,13.0,3.36,0.16
2014-01-11,10,Chittagong,25.0,14.0,19.3,25.0,14.0,19.3,14.1,74.1,0.0,0,0.0,,,,,11.2,151.7,1014.5,10.5,3.1,208.4,17.9,8,,2014-01-11T06:34:34,2014-01-11T17:26:43,0.33,Clear,Clear conditions throughout the day.,clear-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1471,2,24.5,13.9,18.5,26.1,13.8,19.1,0.0,0.0,0,9.0,3.05,0.16
2014-01-12,11,Chittagong,24.0,14.0,19.5,24.0,14.0,19.5,13.8,70.8,0.0,0,0.0,,,,,18.4,356.9,1016.3,29.8,3.1,180.4,15.7,7,,2014-01-12T06:34:40,2014-01-12T17:27:25,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1472,2,24.0,13.4,19.4,25.4,13.9,20.3,0.0,0.0,0,10.0,2.85,0.16
2014-01-13,12,Chittagong,26.0,14.8,20.3,26.0,14.8,20.3,14.6,73.3,0.0,0,0.0,,,,,25.9,344.8,1014.7,22.2,3.3,188.0,16.2,7,,2014-01-13T06:34:44,2014-01-13T17:28:07,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1473,0,25.4,16.2,20.3,25.9,15.9,20.4,0.0,0.0,0,14.0,3.45,0.16
2014-01-14,13,Chittagong,24.0,14.0,19.4,24.0,14.0,19.4,14.7,76.7,0.0,0,0.0,,,,,16.6,311.2,1014.4,1.6,2.8,185.1,15.9,7,,2014-01-14T06:34:47,2014-01-14T17:28:49,0.43,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1474,1,23.7,15.9,19.4,25.8,16.1,20.1,0.0,0.0,0,12.6,3.09,0.16
2014-01-15,14,Chittagong,22.0,14.5,18.1,22.0,14.5,18.1,15.4,85.0,0.0,0,0.0,,,,,16.6,320.9,1015.7,18.6,1.8,182.1,15.6,7,,2014-01-15T06:34:48,2014-01-15T17:29:31,0.47,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1475,3,22.8,14.8,18.1,25.6,15.4,19.2,0.0,0.0,0,9.6,2.77,0.16
2014-01-16,15,Chittagong,22.0,15.0,18.0,22.0,15.0,18.0,14.4,80.2,0.0,0,0.0,,,,,14.8,319.3,1016.4,10.9,2.1,194.9,16.7,7,,2014-01-16T06:34:48,2014-01-16T17:30:13,0.5,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1476,3,22.3,14.5,18.1,24.9,14.6,18.7,0.0,0.0,0,9.8,2.84,0.16
2014-01-17,16,Chittagong,22.1,14.9,18.0,22.1,14.9,18.0,14.9,82.9,0.0,0,0.0,,,,,18.4,341.3,1016.0,9.2,3.0,198.1,17.2,7,,2014-01-17T06:34:47,2014-01-17T17:30:56,0.54,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1477,0,24.5,15.5,19.6,26.7,15.2,20.1,0.0,0.0,0,14.5,3.28,0.16
2014-01-18,17,Chittagong,26.0,15.9,19.9,26.0,15.9,19.9,16.3,81.0,0.0,0,0.0,,,,,9.4,172.2,1016.9,29.4,2.2,188.6,16.3,7,,2014-01-18T06:34:44,2014-01-18T17:31:38,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1478,3,25.5,15.4,19.9,28.3,16.0,21.3,0.0,0.0,0,9.1,3.07,0.16
2014-01-19,18,Chittagong,25.0,12.9,20.5,25.0,12.9,20.5,15.7,76.2,0.0,0,0.0,,,,,13.0,297.8,1018.0,12.6,4.0,199.0,17.1,7,,2014-01-19T06:34:40,2014-01-19T17:32:20,0.6,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1479,3,24.5,14.8,19.4,25.8,16.2,20.6,0.0,0.0,0,9.9,3.07,0.16
2014-01-20,19,Chittagong,28.0,16.8,21.8,27.8,16.8,21.8,14.8,67.2,0.0,0,0.0,,,,,24.1,358.0,1018.0,22.6,4.1,205.0,17.7,8,,2014-01-20T06:34:35,2014-01-20T17:33:02,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1480,0,26.3,16.2,20.7,26.3,16.7,20.5,0.0,0.0,0,15.9,3.98,0.16
2014-01-21,20,Chittagong,25.0,15.5,19.7,25.0,15.5,19.7,15.4,77.3,0.0,0,0.0,,,,,22.3,329.6,1017.2,2.0,2.9,202.3,17.5,7,,2014-01-21T06:34:28,2014-01-21T17:33:44,0.67,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1481,0,24.9,15.9,20.0,26.6,15.3,20.3,0.0,0.0,0,12.7,3.48,0.16
2014-01-22,21,Chittagong,29.0,16.1,20.9,27.9,16.1,20.8,14.8,71.5,0.0,0,0.0,,,,,13.0,9.6,1016.5,21.5,3.3,212.0,18.4,8,,2014-01-22T06:34:20,2014-01-22T17:34:26,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1482,2,26.6,16.0,20.9,28.9,16.7,21.9,0.0,0.0,0,11.8,3.47,0.16
2014-01-23,22,Chittagong,29.0,16.0,22.0,28.6,16.0,21.9,15.0,67.6,0.0,0,0.0,,,,,14.8,305.4,1014.9,4.6,3.8,208.8,18.0,8,,2014-01-23T06:34:10,2014-01-23T17:35:07,0.74,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1483,0,26.4,16.8,21.3,28.6,17.4,22.2,0.0,0.0,0,11.2,3.56,0.16
2014-01-24,23,Chittagong,29.0,15.8,21.6,28.8,15.8,21.6,16.1,73.9,0.0,0,0.0,,,,,18.4,293.3,1014.1,3.3,3.4,210.7,18.1,8,,2014-01-24T06:33:59,2014-01-24T17:35:49,0.75,Clear,Clear conditions throughout the day.,clear-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1484,0,25.6,16.6,20.9,27.1,17.2,21.6,0.0,0.0,0,13.2,3.58,0.16
