datetime,Unnamed: 0.1,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0_x,river_discharge,Unnamed: 0_y,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
01-01-2014,0,"Mymensingh,Bangladesh",25.9,10.8,17.4,25.9,10.8,17.4,12.3,74.5,0.0,0.0,0.0,,,,,12.2,324.3,1016.1,69.6,3.5,185.3,16.0,7,,2014-01-01T06:42:55,2014-01-01T17:20:46,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41886099999,remote,41909099999",1826,58.98,1461,2,24.0,11.3,17.6,17.6,0.0,0.0,0.0,7.7,2.86
01-01-2015,365,"Mymensingh,Bangladesh",27.0,15.7,20.5,27.7,15.7,20.5,15.7,75.4,0.2,100.0,4.17,rain,,,,7.2,69.8,1015.4,81.5,3.3,95.6,8.1,4,,2015-01-01T06:42:51,2015-01-01T17:20:37,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41886099999,remote,41909099999",2191,57.34,1826,2,26.4,16.5,21.6,24.0,0.0,0.0,0.0,5.6,1.93
01-01-2016,730,"Mymensingh,Bangladesh",27.8,12.6,19.9,27.4,12.6,19.9,13.5,69.2,0.0,0.0,0.0,,,,,9.7,345.5,1019.2,0.3,2.6,172.1,14.8,7,,2016-01-01T06:42:46,2016-01-01T17:20:26,0.72,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",2556,62.39,2191,2,25.4,13.3,19.4,20.4,0.0,0.0,0.0,7.4,2.62
01-01-2017,1096,"Mymensingh,Bangladesh",26.1,14.4,20.0,26.1,14.4,20.0,14.9,74.0,0.0,0.0,0.0,,,,,7.2,332.8,1016.0,27.4,3.3,145.5,12.6,6,,2017-01-01T06:42:58,2017-01-01T17:20:55,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41886099999,remote,41909099999",2922,63.86,2557,2,25.6,14.8,20.1,20.8,0.0,0.0,0.0,8.0,2.62
01-01-2018,1461,"Mymensingh,Bangladesh",26.6,14.7,19.6,26.6,14.7,19.6,15.7,80.2,0.0,0.0,0.0,,,,,9.4,289.3,1011.7,69.1,5.4,176.9,15.2,7,,2018-01-01T06:42:55,2018-01-01T17:20:46,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41886099999,remote,41909099999",3287,80.28,2922,3,24.9,12.6,19.0,19.6,0.0,0.0,0.0,8.3,2.56
01-01-2019,2010,"Mymensingh,Bangladesh",26.5,11.2,18.4,26.5,11.2,18.4,11.4,67.0,0.0,0.0,0.0,,,,,9.7,26.3,1018.8,0.0,3.7,182.0,15.6,7,,2019-01-01T06:42:51,2019-01-01T17:20:37,0.83,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",3652,59.95,3287,0,24.8,10.8,17.4,17.1,0.0,0.0,0.0,9.9,2.9
01-01-2020,2375,"Mymensingh,Bangladesh",26.9,14.8,20.2,27.2,14.8,20.2,15.6,76.6,0.0,0.0,0.0,,,,,8.6,79.1,1018.5,53.8,4.5,163.6,14.2,6,,2020-01-01T06:42:47,2020-01-01T17:20:28,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41886099999,remote,41909099999",4017,68.02,3652,51,26.5,14.5,20.5,21.1,0.4,0.4,2.0,9.2,2.7
01-01-2021,2741,"Mymensingh,Bangladesh",26.0,11.6,17.6,26.0,11.6,17.6,13.5,79.2,0.0,0.0,0.0,,,,,10.1,325.4,1015.4,72.8,3.3,183.7,15.9,7,,2021-01-01T06:43:01,2021-01-01T17:20:58,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41886099999,remote,41909099999",4383,70.12,4018,2,25.0,12.1,18.2,18.3,0.0,0.0,0.0,10.1,2.92
01-01-2022,3106,"Mymensingh,Bangladesh",25.3,13.0,17.6,25.3,13.0,17.6,14.0,81.8,0.0,0.0,0.0,,,,,12.2,325.4,1018.4,46.3,4.4,143.7,12.5,7,,2022-01-01T06:42:57,2022-01-01T17:20:49,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41886099999,remote,41909099999",4748,61.23,4383,2,23.6,12.6,17.7,17.7,0.0,0.0,0.0,9.3,2.58
01-01-2023,3471,"Mymensingh,Bangladesh",24.8,12.1,17.9,24.8,12.1,17.9,9.0,59.8,0.0,0.0,0.0,,0.0,0.0,10.4,10.1,21.0,1018.9,0.3,17.8,189.5,16.3,7,10.0,2023-01-01T06:42:53,2023-01-01T17:20:40,0.3,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",5113,65.22,4748,3,22.6,11.3,17.0,17.4,0.0,0.0,0.0,7.7,2.5
01-02-2014,31,"Mymensingh,Bangladesh",29.0,12.4,19.3,27.7,12.4,19.1,10.7,62.3,0.0,0.0,0.0,,,,,15.1,322.7,1015.7,0.3,3.3,208.8,18.0,8,,2014-02-01T06:40:48,2014-02-01T17:43:18,0.04,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",1857,51.6,1492,2,26.3,13.4,19.4,19.9,0.0,0.0,0.0,9.2,3.45
01-02-2015,396,"Mymensingh,Bangladesh",25.2,10.1,16.9,25.2,10.1,16.9,7.0,56.3,0.0,0.0,0.0,,,,,15.1,313.9,1017.2,0.0,4.0,195.0,16.8,7,,2015-02-01T06:40:55,2015-02-01T17:43:08,0.41,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",2222,49.82,1857,0,23.1,10.5,16.9,16.3,0.0,0.0,0.0,8.8,3.28
01-02-2016,761,"Mymensingh,Bangladesh",28.4,14.9,20.4,27.7,14.9,20.3,14.7,74.0,0.0,0.0,0.0,,,,,10.4,177.1,1014.9,0.0,0.5,182.0,15.6,7,,2016-02-01T06:41:00,2016-02-01T17:42:57,0.75,Clear,Clear conditions throughout the day.,fog,"41886099999,remote,41909099999",2587,53.33,2222,51,25.9,14.8,19.8,20.8,0.1,0.1,1.0,9.5,2.79
01-02-2017,1127,"Mymensingh,Bangladesh",29.6,12.9,19.8,28.9,12.9,19.7,11.3,61.1,0.0,0.0,0.0,,,,,12.2,319.0,1015.9,0.0,2.3,195.0,16.7,7,,2017-02-01T06:40:40,2017-02-01T17:43:29,0.15,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",2953,53.33,2588,2,25.5,13.2,19.6,20.0,0.0,0.0,0.0,8.0,3.18
01-02-2018,1492,"Mymensingh,Bangladesh",24.1,11.7,18.1,24.1,11.7,18.1,12.7,73.1,0.0,0.0,0.0,,,,,10.4,118.9,1012.5,1.7,3.1,165.6,14.2,6,,2018-02-01T06:40:47,2018-02-01T17:43:19,0.52,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",3318,59.53,2953,3,24.2,12.4,18.9,18.7,0.0,0.0,0.0,7.6,2.93
01-02-2019,2041,"Mymensingh,Bangladesh",28.7,12.2,20.7,27.3,12.2,20.4,8.0,48.1,0.0,0.0,0.0,,,,,10.1,75.5,,15.6,,213.8,18.4,8,,2019-02-01T06:40:53,2019-02-01T17:43:09,0.88,Clear,Clear conditions throughout the day.,clear-day,remote,3683,51.48,3318,1,27.6,13.8,20.2,20.3,0.0,0.0,0.0,8.8,3.47
01-02-2020,2406,"Mymensingh,Bangladesh",23.4,11.2,16.8,23.4,11.2,16.8,11.0,70.7,0.0,0.0,0.0,,,,,10.8,338.4,,0.5,,196.1,16.9,7,,2020-02-01T06:41:00,2020-02-01T17:42:59,0.24,Clear,Clear conditions throughout the day.,clear-day,remote,4048,58.7,3683,1,23.5,12.0,17.6,16.9,0.0,0.0,0.0,9.4,3.28
01-02-2021,2772,"Mymensingh,Bangladesh",22.9,8.0,14.6,22.9,6.4,14.1,6.7,62.3,0.0,0.0,0.0,,,,,13.0,314.7,,0.2,,196.3,16.8,7,,2021-02-01T06:40:41,2021-02-01T17:43:31,0.62,Clear,Clear conditions throughout the day.,clear-day,remote,4414,56.81,4049,0,22.7,9.8,16.6,16.0,0.0,0.0,0.0,8.7,3.18
01-02-2022,3137,"Mymensingh,Bangladesh",26.1,13.0,18.9,26.1,13.0,18.9,7.9,50.9,0.0,0.0,0.0,,0.0,0.0,25.9,23.0,170.5,1010.5,1.7,24.1,204.4,17.6,8,10.0,2022-02-01T06:40:48,2022-02-01T17:43:22,0.0,Clear,Clear conditions throughout the day.,clear-day,remote,4779,56.15,4414,51,23.8,11.9,17.4,17.7,1.2,1.2,9.0,8.2,2.88
01-02-2023,3502,"Mymensingh,Bangladesh",30.7,18.2,22.9,28.8,18.2,22.5,9.8,47.8,0.0,0.0,0.0,,0.0,0.0,38.5,17.3,300.8,1012.1,40.4,20.0,217.5,18.8,8,10.0,2023-02-01T06:40:55,2023-02-01T17:43:12,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41886099999,remote,41909099999",5144,54.72,4779,3,26.2,15.1,21.0,21.7,0.0,0.0,0.0,12.8,2.94
01-03-2014,59,"Mymensingh,Bangladesh",32.0,16.8,23.1,31.1,16.8,22.9,15.6,67.2,0.0,0.0,0.0,,,,,16.9,343.5,1014.7,25.4,5.1,251.4,21.8,9,,2014-03-01T06:21:19,2014-03-01T18:00:32,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41886099999,remote,41909099999",1885,59.39,1520,53,25.4,15.8,20.1,21.1,1.3,1.3,4.0,13.0,3.19
01-03-2015,424,"Mymensingh,Bangladesh",34.5,21.1,26.7,34.3,21.1,27.2,18.8,65.7,0.0,0.0,0.0,,,,,8.6,241.1,1013.0,59.1,2.5,191.8,16.5,8,,2015-03-01T06:21:33,2015-03-01T18:00:25,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41886099999,remote,41909099999",2250,56.28,1885,3,30.0,20.5,25.3,29.2,0.0,0.0,0.0,8.0,3.58
01-03-2016,790,"Mymensingh,Bangladesh",33.7,18.7,26.0,32.2,18.7,25.8,14.7,53.6,0.0,0.0,0.0,,,,,8.6,239.5,1014.8,9.6,4.3,234.8,20.3,8,,2016-03-01T06:20:51,2016-03-01T18:00:48,0.74,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",2616,59.67,2251,1,30.1,16.2,23.6,24.9,0.0,0.0,0.0,8.4,4.05
01-03-2017,1155,"Mymensingh,Bangladesh",32.6,16.5,24.2,30.4,16.5,23.8,10.5,48.3,0.0,0.0,0.0,,,,,7.2,32.7,1012.6,0.4,4.4,248.7,21.5,9,,2017-03-01T06:21:04,2017-03-01T18:00:39,0.09,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",2981,59.26,2616,1,29.5,15.2,23.0,23.8,0.0,0.0,0.0,9.2,4.36
01-03-2018,1520,"Mymensingh,Bangladesh",30.6,19.2,24.4,30.6,19.2,24.5,17.1,66.2,0.0,0.0,0.0,,,,,9.7,333.4,1010.9,0.4,4.6,227.0,19.4,8,,2018-03-01T06:21:17,2018-03-01T18:00:32,0.47,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",3346,64.01,2981,2,29.4,17.9,23.8,25.5,0.0,0.0,0.0,8.1,3.74
01-03-2019,2069,"Mymensingh,Bangladesh",27.1,14.2,19.8,26.7,14.2,19.7,9.7,57.5,0.3,100.0,12.5,rain,,,,14.8,328.2,,0.1,,259.3,22.5,9,,2019-03-01T06:21:31,2019-03-01T18:00:25,0.82,Rain,Clear conditions throughout the day with rain clearing later.,rain,remote,3711,73.13,3346,3,24.0,11.1,17.3,17.0,0.0,0.0,0.0,9.2,3.83
01-03-2020,2435,"Mymensingh,Bangladesh",30.7,17.3,23.4,29.8,17.3,23.3,14.9,61.9,0.0,0.0,0.0,,,,,11.1,303.3,1011.5,0.4,5.0,246.8,21.4,9,,2020-03-01T06:20:50,2020-03-01T18:00:49,0.22,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",4077,62.24,3712,0,29.3,16.1,23.0,24.3,0.0,0.0,0.0,9.0,4.39
01-03-2021,2800,"Mymensingh,Bangladesh",34.4,19.3,26.0,33.5,19.3,26.2,18.6,68.9,0.0,0.0,0.0,,,,,13.7,198.4,1010.8,26.3,4.1,234.0,20.3,8,,2021-03-01T06:21:04,2021-03-01T18:00:42,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41886099999,remote,41909099999",4442,60.66,4077,1,31.6,17.9,25.0,27.1,0.0,0.0,0.0,7.4,4.29
01-03-2022,3165,"Mymensingh,Bangladesh",30.2,17.2,23.3,28.4,17.2,22.9,7.4,37.8,0.0,0.0,0.0,,0.0,0.0,23.8,20.9,323.7,1014.7,1.4,24.1,234.6,18.7,9,10.0,2022-03-01T06:21:18,2022-03-01T18:00:35,0.95,Clear,Clear conditions throughout the day.,clear-day,remote,4807,65.37,4442,3,27.8,14.9,20.9,21.4,0.0,0.0,0.0,10.2,4.33
01-03-2023,3530,"Mymensingh,Bangladesh",32.3,17.3,24.1,30.5,17.3,23.5,6.3,33.9,0.0,0.0,0.0,,0.0,0.0,23.4,18.4,7.9,1016.8,0.0,22.6,266.7,23.1,9,10.0,2023-03-01T06:21:31,2023-03-01T18:00:28,0.29,Clear,Clear conditions throughout the day.,clear-day,"remote,41909099999",5172,60.38,4807,0,30.5,16.0,23.9,24.5,0.0,0.0,0.0,8.9,4.67
01-04-2014,90,"Mymensingh,Bangladesh",39.3,21.1,29.7,38.3,21.1,29.8,17.1,53.3,0.0,0.0,0.0,,,,,18.4,216.3,1005.4,1.9,6.1,278.0,23.9,9,,2014-04-01T05:50:27,2014-04-01T18:14:32,0.05,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",1916,58.57,1551,0,34.6,19.6,27.1,27.7,0.0,0.0,0.0,13.2,6.12
01-04-2015,455,"Mymensingh,Bangladesh",35.5,20.4,27.2,36.1,20.4,27.8,19.7,67.8,3.1,100.0,66.67,rain,,,55.4,21.2,186.9,1008.6,17.6,4.3,272.8,23.6,9,,2015-04-01T05:50:42,2015-04-01T18:14:26,0.39,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",2281,70.45,1916,65,29.0,19.8,23.3,26.6,35.9,35.9,14.0,13.0,3.4
01-04-2016,821,"Mymensingh,Bangladesh",27.0,18.8,23.3,28.5,18.8,23.5,20.7,85.7,23.7,100.0,79.17,rain,,,,16.5,122.6,1010.1,77.8,4.4,94.8,8.1,4,,2016-04-01T05:49:55,2016-04-01T18:14:45,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",2647,89.78,2282,63,25.4,20.1,21.9,24.6,12.6,12.6,9.0,12.3,1.61
01-04-2017,1186,"Mymensingh,Bangladesh",33.5,23.6,27.6,40.0,23.6,30.3,23.9,81.8,8.3,100.0,100.0,rain,,,,25.2,176.4,1007.1,31.1,5.9,272.1,23.5,9,,2017-04-01T05:50:10,2017-04-01T18:14:38,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",3012,84.51,2647,63,28.7,20.4,23.2,26.4,19.5,19.5,20.0,18.8,2.2
01-04-2018,1551,"Mymensingh,Bangladesh",32.6,19.8,26.4,32.7,19.8,26.6,18.2,64.6,3.8,100.0,37.5,rain,,,,8.6,64.4,1009.8,49.5,5.4,204.9,17.6,8,,2018-04-01T05:50:25,2018-04-01T18:14:32,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41886099999,remote,41909099999",3377,78.43,3012,1,30.7,19.3,25.5,29.1,0.0,0.0,0.0,8.1,4.68
01-04-2019,2100,"Mymensingh,Bangladesh",31.2,23.9,27.0,34.7,23.9,28.4,23.1,80.8,40.6,100.0,75.0,rain,,,,22.7,156.1,,24.1,,230.7,20.0,7,,2019-04-01T05:50:40,2019-04-01T18:14:27,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote,3742,70.78,3377,63,27.3,19.5,23.0,25.7,17.0,17.0,9.0,14.6,2.56
01-04-2020,2466,"Mymensingh,Bangladesh",36.8,18.2,28.1,35.3,18.2,27.9,14.1,46.8,0.0,0.0,0.0,,,,,13.0,208.6,1008.6,1.7,5.3,295.3,25.4,10,,2020-04-01T05:49:54,2020-04-01T18:14:47,0.25,Clear,Clear conditions throughout the day.,clear-day,"41886099999,remote,41909099999",4108,63.71,3743,0,34.2,19.2,27.1,28.2,0.0,0.0,0.0,8.9,5.8
01-04-2021,2831,"Mymensingh,Bangladesh",38.1,24.6,30.0,37.3,24.6,30.4,19.9,63.7,4.9,100.0,41.67,rain,,,,23.8,180.6,,5.0,,288.0,24.8,10,,2021-04-01T05:50:10,2021-04-01T18:14:41,0.62,Rain,Clear conditions throughout the day with rain.,rain,remote,4473,65.07,4108,51,34.3,23.3,27.4,30.6,0.1,0.1,1.0,16.0,4.64
