datetime,Unnamed: 0.1,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration,river_discharge
01-01-2013,0,Naryanganj ,81.9,60.9,70.4,83.3,60.9,70.5,58.1,65.7,0.016,100,16.67,rain,,,,9.2,215.7,1011.7,31.0,2.3,115.9,9.9,5,,2013-01-01T06:49:46,2013-01-01T17:35:26,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42675099999,remote",1096,2,23.6,11.8,17.9,17.8,0.0,0.0,0.0,10.5,2.96,152.11
01-01-2014,365,Naryanganj ,80.0,56.0,66.0,80.0,56.0,66.0,54.2,69.5,0.0,0,0.0,,,,,6.9,66.9,1017.3,35.4,2.5,190.4,16.3,7,,2014-01-01T06:49:42,2014-01-01T17:35:17,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42675099999,remote",1461,0,24.0,12.9,18.4,18.5,0.0,0.0,0.0,9.9,2.97,137.36
01-01-2015,730,Naryanganj ,76.2,58.4,63.3,76.2,58.4,63.3,59.8,89.3,0.707,100,91.67,rain,,,,11.0,78.7,1014.1,65.9,1.4,116.8,10.2,5,,2015-01-01T06:49:37,2015-01-01T17:35:08,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42675099999,remote",1826,51,24.1,18.0,21.1,23.6,3.0,3.0,14.0,7.0,1.22,132.66
01-01-2016,1095,Naryanganj ,87.3,53.7,67.8,83.8,53.7,67.2,44.8,48.4,0.0,0,0.0,,,,,7.2,60.7,1019.8,4.3,3.1,200.2,17.5,7,,2016-01-01T06:49:32,2016-01-01T17:34:58,0.72,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2191,2,25.5,14.6,19.5,20.5,0.0,0.0,0.0,8.0,2.88,144.21
01-01-2017,1461,Naryanganj ,80.7,51.9,66.0,80.6,51.9,66.0,50.1,58.7,0.0,0,0.0,,,,,6.5,217.3,1015.3,11.1,2.9,190.7,16.4,7,,2017-01-01T06:49:46,2017-01-01T17:35:27,0.11,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2557,3,24.9,15.9,19.9,21.4,0.0,0.0,0.0,9.1,2.74,146.57
01-01-2018,1826,Naryanganj ,76.4,50.0,61.8,76.4,50.0,61.8,42.8,52.4,0.0,0,0.0,,,,,7.8,45.4,1013.4,0.0,2.5,177.8,15.3,7,,2018-01-01T06:49:42,2018-01-01T17:35:18,0.47,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",2922,3,24.1,15.2,19.6,20.9,0.0,0.0,0.0,8.9,2.29,194.88
01-01-2019,2191,Naryanganj ,80.3,46.5,59.9,78.4,45.5,59.4,32.5,39.0,0.0,0,0.0,,,,,6.3,45.8,1020.3,0.3,2.7,206.8,17.9,8,,2019-01-01T06:49:38,2019-01-01T17:35:09,0.83,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3287,0,24.8,12.2,18.5,18.7,0.0,0.0,0.0,8.6,2.93,139.28
01-01-2020,2556,Naryanganj ,69.0,51.8,57.8,69.0,51.8,57.8,53.7,86.7,0.151,100,45.83,rain,,,,9.8,110.0,1019.7,65.0,1.8,131.6,11.5,5,,2020-01-01T06:49:33,2020-01-01T17:35:00,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42675099999,42776099999,VAJB,remote",3652,1,25.5,15.0,19.7,20.9,0.0,0.0,0.0,8.8,2.73,153.88
01-01-2021,2922,Naryanganj ,77.6,50.6,63.9,77.6,50.6,63.9,51.5,66.1,0.0,0,0.0,,,,,5.1,79.0,1017.7,41.6,2.0,165.5,14.5,6,,2021-01-01T06:49:48,2021-01-01T17:35:29,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,42776099999,VAJB,remote",4018,0,24.5,12.4,18.5,18.6,0.0,0.0,0.0,9.7,3.0,159.32
01-01-2022,3314,Naryanganj,75.8,46.8,58.4,75.8,44.3,58.2,50.4,76.3,0.0,0,0.0,,,,,11.4,32.8,1021.6,36.5,2.0,188.8,16.4,7,,2022-01-01T06:49:44,2022-01-01T17:35:20,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,42776099999,VAJB,remote",4383,1,23.2,14.1,18.3,18.7,0.0,0.0,0.0,8.7,2.76,141.56
01-01-2023,3679,Naryanganj,77.0,51.2,61.3,77.0,51.2,61.3,47.0,60.9,0.0,0,0.0,,0.0,0.0,17.7,6.9,8.5,1019.1,2.1,6.4,197.8,17.1,7,10.0,2023-01-01T06:49:40,2023-01-01T17:35:11,0.3,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4748,2,23.5,13.2,18.3,18.8,0.0,0.0,0.0,9.1,2.72,147.59
01-02-2013,31,Naryanganj ,84.8,55.3,68.2,82.0,55.3,67.8,44.9,46.9,0.0,0,0.0,,,,,9.4,34.9,1016.7,27.9,2.5,192.2,16.5,7,,2013-02-01T06:48:34,2013-02-01T17:56:53,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,remote",1127,3,24.4,13.4,19.0,19.4,0.0,0.0,0.0,9.4,2.25,122.31
01-02-2014,396,Naryanganj ,81.2,46.3,62.1,79.8,43.4,61.5,41.1,52.6,0.0,0,0.0,,,,,7.2,54.5,1018.3,16.6,2.3,239.9,20.7,9,,2014-02-01T06:48:39,2014-02-01T17:56:44,0.05,Clear,Clear conditions throughout the day.,clear-day,"42675099999,remote",1492,0,25.5,14.5,19.6,20.0,0.0,0.0,0.0,10.0,3.45,116.49
01-02-2015,761,Naryanganj ,81.2,46.3,62.2,79.6,43.1,61.3,37.9,47.0,0.0,0,0.0,,,,,7.4,81.0,1017.5,0.0,2.5,239.6,20.7,9,,2015-02-01T06:48:45,2015-02-01T17:56:34,0.41,Clear,Clear conditions throughout the day.,clear-day,"42675099999,remote",1857,0,22.9,11.8,17.5,16.9,0.0,0.0,0.0,11.0,3.43,110.69
01-02-2016,1126,Naryanganj ,89.7,57.3,70.3,85.7,57.3,69.7,47.0,48.4,0.0,0,0.0,,,,,7.2,6.6,1016.3,0.8,3.6,234.3,20.2,8,,2016-02-01T06:48:50,2016-02-01T17:56:24,0.75,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2222,3,26.9,16.3,21.4,22.7,0.0,0.0,0.0,10.9,3.25,119.5
01-02-2017,1492,Naryanganj ,87.9,53.0,67.4,84.2,53.0,66.9,40.8,44.6,0.0,0,0.0,,,,,7.2,60.9,1016.1,0.0,3.3,239.3,20.7,8,,2017-02-01T06:48:32,2017-02-01T17:56:53,0.15,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2588,0,26.0,14.4,20.3,20.7,0.0,0.0,0.0,10.2,3.66,118.67
01-02-2018,1857,Naryanganj ,87.5,53.6,68.2,83.9,53.6,67.5,35.9,35.4,0.0,0,0.0,,,,,9.4,358.1,1016.3,14.0,3.2,240.1,20.7,9,,2018-02-01T06:48:38,2018-02-01T17:56:44,0.52,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",2953,2,24.1,13.6,19.4,20.2,0.0,0.0,0.0,6.9,2.95,136.4
01-02-2019,2222,Naryanganj ,82.1,48.1,64.6,79.7,44.7,64.2,38.2,41.8,0.0,0,0.0,,,,,9.2,171.1,1017.2,15.6,3.0,228.3,19.8,8,,2019-02-01T06:48:44,2019-02-01T17:56:35,0.88,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3318,1,27.2,14.0,21.0,21.3,0.0,0.0,0.0,10.4,3.75,114.35
01-02-2020,2587,Naryanganj ,75.5,45.0,59.3,75.5,41.5,58.5,42.3,56.0,0.0,0,0.0,,,,,11.4,35.9,1018.6,8.0,3.0,223.1,19.3,8,,2020-02-01T06:48:50,2020-02-01T17:56:25,0.24,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3683,0,23.5,12.8,18.2,17.8,0.0,0.0,0.0,10.5,3.44,133.28
01-02-2021,2960,Naryanganj ,75.2,45.8,59.7,75.2,42.6,58.8,32.7,37.3,0.0,0,0.0,,,,,6.9,53.1,1020.5,0.0,3.6,245.2,21.1,9,,2021-02-01T06:48:33,2021-02-01T17:56:56,0.62,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4049,0,21.9,11.2,16.8,16.2,0.0,0.0,0.0,9.1,3.27,127.23
01-02-2021,2961,Naryanganj,75.2,45.8,59.7,75.2,42.6,58.8,32.7,37.3,0.0,0,0.0,,,,,6.9,53.1,1020.5,0.0,3.6,245.2,21.1,9,,2021-02-01T06:48:33,2021-02-01T17:56:56,0.62,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4049,0,21.9,11.2,16.8,16.2,0.0,0.0,0.0,9.1,3.27,127.23
01-02-2022,3345,Naryanganj,80.5,53.3,65.6,79.4,53.3,65.6,41.4,44.0,0.0,0,0.0,,0.0,0.0,11.6,8.5,306.0,1012.4,0.7,7.1,217.6,18.7,8,10.0,2022-02-01T06:48:39,2022-02-01T17:56:47,0.0,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4414,51,24.0,13.6,18.3,18.6,1.2,1.2,6.0,14.9,2.91,128.42
01-02-2023,3710,Naryanganj,73.7,51.5,62.5,73.7,51.5,62.5,47.6,60.9,0.0,0,0.0,,0.0,0.0,18.3,8.1,358.7,1017.3,5.8,6.1,234.8,20.5,8,10.0,2023-02-01T06:48:45,2023-02-01T17:56:38,0.35,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4779,3,25.1,16.4,20.8,21.6,0.0,0.0,0.0,15.0,2.03,120.34
