datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0.1,Unnamed: 0_y,river_discharge,Unnamed: 0,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
01-01-2013,214,"24.8990,91.8711",73.8,47.4,60.8,73.8,45.3,60.4,50.9,72.2,0.0,0,0.0,,,,,6.0,208.4,1013.1,0.0,1.6,171.6,14.8,6,,2013-01-01T06:37:27,2013-01-01T17:14:45,0.63,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote",1461,1461,1.17,1096,3,22.0,11.0,16.3,16.8,0.0,0.0,0.0,6.5,2.25
01-01-2014,579,"24.8990,91.8711",74.9,51.0,63.8,74.9,51.0,63.8,54.3,73.1,0.0,0,0.0,,,,,5.1,132.5,1015.8,66.2,2.1,185.2,16.0,7,,2014-01-01T06:37:22,2014-01-01T17:14:36,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote",1826,1826,1.05,1461,1,23.5,9.9,16.7,17.1,0.0,0.0,0.0,6.3,2.72
01-01-2015,1917,"24.8990,91.8711",81.5,58.9,68.0,82.7,58.9,68.1,61.0,79.1,0.0,0,0.0,,,,,45.8,128.1,1014.8,80.8,1.9,98.1,8.6,4,,2015-01-01T06:37:18,2015-01-01T17:14:26,0.36,Partially cloudy,Partly cloudy throughout the day.,wind,"41915099999,41891099999,remote",2191,2191,1.05,1826,51,25.8,17.5,21.8,24.5,1.0,1.0,5.0,5.5,1.65
01-01-2016,2282,"24.8990,91.8711",79.6,49.4,65.2,79.6,49.4,65.2,56.4,76.0,0.0,0,0.0,,,,,7.6,129.1,1019.0,0.3,2.7,172.7,15.0,7,,2016-01-01T06:37:13,2016-01-01T17:14:16,0.72,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",2556,2556,1.12,2191,0,25.2,11.8,18.5,18.9,0.0,0.0,0.0,7.7,2.74
01-01-2017,2648,"24.8990,91.8711",76.6,57.5,66.2,76.6,57.5,66.2,60.0,81.7,0.0,0,0.0,,,,,5.1,166.9,1015.8,35.9,2.8,136.4,11.8,5,,2017-01-01T06:37:26,2017-01-01T17:14:45,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",2922,2922,1.28,2557,0,25.9,13.9,20.0,20.5,0.0,0.0,0.0,7.7,2.67
01-01-2018,1066,"24.8990,91.8711",77.5,55.8,66.3,77.5,55.8,66.3,59.9,81.2,0.0,0,0.0,,,,,5.6,182.2,1012.1,77.4,2.3,177.3,15.4,7,,2018-01-01T06:37:22,2018-01-01T17:14:36,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",3287,3287,1.47,2922,2,24.4,12.5,19.1,19.9,0.0,0.0,0.0,6.4,2.41
01-01-2019,1431,"24.8990,91.8711",78.7,46.5,62.3,78.7,46.5,62.3,50.6,68.2,0.0,0,0.0,,,,,6.7,66.8,1018.3,0.5,2.6,187.0,16.0,7,,2019-01-01T06:37:18,2019-01-01T17:14:27,0.83,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",3652,3652,1.03,3287,0,23.7,9.3,16.2,15.8,0.0,0.0,0.0,7.4,2.74
01-01-2020,1796,"24.8990,91.8711",75.6,58.9,66.7,75.6,58.9,66.7,58.0,74.6,0.0,0,0.0,,,,,9.0,79.8,1018.3,67.5,2.8,152.8,13.1,6,,2020-01-01T06:37:14,2020-01-01T17:14:17,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",4017,4017,1.11,3652,2,24.9,14.7,19.5,20.3,0.0,0.0,0.0,8.2,2.02
01-01-2021,3136,"24.8990,91.8711",81.1,51.5,65.4,80.0,51.5,65.3,56.4,75.0,0.0,0,0.0,,,,,6.0,117.3,1015.0,71.4,2.7,188.0,16.1,7,,2021-01-01T06:37:28,2021-01-01T17:14:48,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",4383,4383,1.17,4018,1,25.3,11.2,18.4,18.8,0.0,0.0,0.0,7.2,2.79
01-01-2022,3501,"24.8990,91.8711",78.7,53.9,63.6,78.7,53.9,63.6,56.6,79.7,0.0,0,0.0,,,,,8.7,123.8,1018.0,50.2,2.3,127.1,11.0,6,,2022-01-01T06:37:25,2022-01-01T17:14:38,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",4748,4748,0.94,4383,1,23.4,11.2,17.2,17.2,0.0,0.0,0.0,7.4,2.39
