date,Chittagong,Barisal,Bogra,Comilla,Khulna,Mymensigh,Narayanganj,Rajshahi,Dhaka,Sylhet
1981-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-05,0.0,4.932116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-06,12.086411,5.057361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-07,0.0,0.0,5.6865315,5.6199927,0.0,0.0,11.774115,12.560126,0.0,3.970742
1981-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6572626
1981-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-11,0.0,0.0,4.8539677,0.0,0.0,0.0,0.0,14.489321,0.0,0.0
1981-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8387313
1981-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-31,0.0,2.628722,4.384725,5.824595,14.8944845,13.428642,6.729011,10.575836,11.201356,9.452209
1981-02-01,0.28908688,0.0,11.990549,0.0,22.46236,12.136295,11.544573,14.788763,12.798445,10.91999
1981-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.60292
1981-02-10,5.1363883,21.310524,12.055414,12.296504,26.363852,15.933723,16.5362,14.231577,17.311728,11.73605
1981-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6424346
1981-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-07,0.0,0.0,0.0,0.0,0.0,9.619311,0.0,4.99022,0.0,0.0
1981-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-11,13.142117,19.207293,0.0,7.7369866,13.733485,16.202154,15.008223,5.3726664,16.326834,30.701458
1981-03-12,0.0,0.0,4.671074,8.842271,0.0,0.0,8.576127,6.140191,0.0,23.391588
1981-03-13,0.0,10.975597,4.671074,8.842271,15.695413,18.516748,17.152254,6.140191,27.988857,0.0
1981-03-14,0.0,0.0,0.0,0.0,13.733485,0.0,0.0,0.0,0.0,0.0
1981-03-15,0.0,0.0,0.0,7.7369866,0.0,8.101077,0.0,0.0,0.0,10.23382
1981-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-20,0.0,16.749325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.37599
1981-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-23,10.5661,1.6489654,0.0,25.013527,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-25,0.0,1.4938736,6.185388,0.0,19.496141,26.531534,26.962858,7.1611314,26.422243,0.0
1981-03-26,0.0,0.0,0.0,0.0,0.0,10.304437,0.0,0.0,10.725877,11.864313
1981-03-27,25.101748,24.310223,0.0,10.018011,23.682013,20.608873,25.779636,6.221917,21.451754,35.592937
1981-03-28,21.96403,21.271444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-29,7.3213425,14.1809635,0.0,8.765759,20.72176,9.016381,11.27859,0.0,9.385142,0.0
1981-03-30,7.3213425,0.0,0.0,0.0,0.0,0.0,0.0,5.444177,0.0,0.0
1981-03-31,7.3213425,0.0,5.5940084,8.765759,0.0,9.016381,11.27859,0.0,9.385142,0.0
1981-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-03,0.0,43.492416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-04,0.0,0.0,0.0,0.0,30.80793,46.406185,0.0,0.0,44.521893,0.0
1981-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.793167
1981-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
