name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chittagong,2018-01-01,26,19.1,22.5,26,19.1,22.5,19,81.3,10.1,100,54.17,rain,,,,11.2,1.7,1010.6,90.6,2.7,73.2,6.3,3,,2018-01-01T06:32:27,2018-01-01T17:20:01,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-02,27,20.1,22.7,28.2,20.1,22.8,18.8,79.9,7.4,100,54.17,rain,,,,22.3,209.1,1009.7,92,4.6,39,3.3,1,,2018-01-02T06:32:46,2018-01-02T17:20:40,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-03,24.1,18.7,21.2,24.1,18.7,21.2,16.8,77.5,0,0,0,,,,,27.7,330.8,1010.1,45.4,2.8,172.1,14.8,7,,2018-01-03T06:33:03,2018-01-03T17:21:19,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-04,24.1,16.9,19.9,24.1,16.9,19.9,12.7,65.4,1.7,100,29.17,rain,,,,22.3,340.6,1012.2,0.5,4,185.2,15.9,7,,2018-01-04T06:33:19,2018-01-04T17:21:58,0.57,Rain,Clear conditions throughout the day with rain clearing later.,rain,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-05,24.9,14,19.1,24.9,14,19.1,13.9,73.1,0,0,0,,,,,22.3,348.4,1010.7,0.4,3.4,188.3,16.2,7,,2018-01-05T06:33:33,2018-01-05T17:22:38,0.61,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-06,24.1,13.4,19.1,24.1,13.4,19.1,14,73.5,0,0,0,,,,,22.3,342.8,1010.3,0.9,3.1,188.2,16.3,7,,2018-01-06T06:33:47,2018-01-06T17:23:18,0.64,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-07,24,13.6,18.3,24,13.6,18.3,11,65.4,0,0,0,,,,,27.7,345.2,1012.2,6.3,3.5,198.5,17.1,7,,2018-01-07T06:33:59,2018-01-07T17:23:58,0.67,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-08,23,12,17.3,23,12,17.3,8.6,59.3,0,0,0,,,,,33.5,350.4,1013.9,3.6,3.6,204,17.5,8,,2018-01-08T06:34:09,2018-01-08T17:24:39,0.71,Clear,Clear conditions throughout the day.,clear-day,"41978099999,VGEG,remote"
Chittagong,2018-01-09,22,12,16.7,22,12,16.7,11.5,72.5,0,0,0,,,,,22.3,346.5,1014.2,29.5,3.1,211.6,18.2,8,,2018-01-09T06:34:19,2018-01-09T17:25:20,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41978099999,VGEG,remote"
Chittagong,2018-01-10,24,12,17.3,24,12,17.3,10.3,67,0,0,0,,,,,22.3,350.9,1014.6,27.4,3.5,201.7,17.3,8,,2018-01-10T06:34:27,2018-01-10T17:26:02,0.77,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-11,23,11.3,16.9,23,11.3,16.9,10.8,69.7,0,0,0,,,,,18.4,324.5,1014.1,17.1,2.6,174.8,14.9,7,,2018-01-11T06:34:34,2018-01-11T17:26:43,0.81,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-12,20.2,12.3,16,20.2,12.3,16,13.3,84.2,0,0,0,,,,,22.3,338.6,1013.6,18.3,1.3,162.5,14.1,6,,2018-01-12T06:34:39,2018-01-12T17:27:25,0.84,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-13,24,12.5,17.6,24,12.5,17.6,13.3,78.5,0,0,0,,,,,8.6,63.7,1013.2,5,1.6,150.1,12.8,6,,2018-01-13T06:34:43,2018-01-13T17:28:07,0.87,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-14,20.1,14,17.2,20.1,14,17.2,14.7,85.9,0,0,0,,,,,10.4,45.7,1012.9,17.5,1.5,147.6,12.8,6,,2018-01-14T06:34:46,2018-01-14T17:28:49,0.91,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-15,23,15,17.6,23,15,17.6,14.9,85.4,0,0,0,,,,,10.1,34.4,1012.8,1.2,1.9,161.3,14,6,,2018-01-15T06:34:48,2018-01-15T17:29:32,0.94,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-16,22,14.6,17.8,22,14.6,17.8,15.6,87,0,0,0,,,,,22.3,351.5,1012,0.8,1.9,175.8,15.1,7,,2018-01-16T06:34:48,2018-01-16T17:30:14,0.97,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2018-01-17,25,14.5,18.5,25,14.5,18.5,15.4,83.9,0,0,0,,,,,22.3,356,1012,5.1,2.3,189.6,16.2,7,,2018-01-17T06:34:46,2018-01-17T17:30:56,0,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
