datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2013-01-01,Narayanganj,25.0,11.5,17.9,25.0,11.5,17.9,12.3,73.2,0.0,0,0.0,,,,,13.0,301.4,1011.5,28.3,2.1,170.7,14.7,7,,2013-01-01T06:40:24,2013-01-01T17:22:49,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VGHS,41933099999,41941099999,41923099999,41929099999,remote,41922099999,41939099999"
2013-01-02,Narayanganj,25.0,12.7,18.7,25.0,12.7,18.7,13.1,71.7,0.0,0,0.0,,,,,14.8,329.5,1012.1,10.7,2.2,167.0,14.3,6,,2013-01-02T06:40:42,2013-01-02T17:23:28,0.67,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41933099999,41941099999,41923099999,41929099999,41922099999,41939099999"
2013-01-03,Narayanganj,25.0,16.0,19.1,25.0,16.0,19.1,14.0,73.5,0.2,100,8.33,rain,,,,9.4,188.9,1012.9,26.6,1.9,93.3,8.1,3,,2013-01-03T06:40:58,2013-01-03T17:24:08,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,41933099999,41941099999,41923099999,41929099999,remote,41922099999,41939099999"
2013-01-04,Narayanganj,25.0,15.7,20.0,25.0,15.7,20.0,15.7,77.6,0.0,0,0.0,,,,,9.4,338.9,1012.7,61.4,1.6,164.6,14.2,6,,2013-01-04T06:41:12,2013-01-04T17:24:48,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41933099999,41941099999,41923099999,41929099999,41922099999,41939099999"
2013-01-05,Narayanganj,25.0,15.0,19.1,25.0,15.0,19.1,14.0,73.8,0.0,0,0.0,,,,,9.4,330.7,1011.4,13.8,2.0,171.2,14.9,7,,2013-01-05T06:41:26,2013-01-05T17:25:29,0.75,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41933099999,41941099999,41923099999,41929099999,41922099999,41939099999"
2013-01-06,Narayanganj,23.5,14.2,17.8,23.5,14.2,17.8,11.6,69.2,0.0,0,0.0,,,,,14.8,338.3,1012.2,0.0,2.3,171.9,14.9,7,,2013-01-06T06:41:38,2013-01-06T17:26:10,0.81,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41933099999,41941099999,41923099999,41929099999,remote,41922099999,41939099999"
2013-01-07,Narayanganj,20.1,14.0,16.8,20.1,14.0,16.8,11.5,71.2,0.0,0,0.0,,,,,14.8,304.3,1012.8,50.5,2.2,157.9,13.6,6,,2013-01-07T06:41:49,2013-01-07T17:26:51,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41933099999,41941099999,41923099999,41929099999,41922099999,41939099999"
2013-01-08,Narayanganj,17.0,10.0,13.7,17.0,10.0,13.7,10.6,81.9,0.0,0,0.0,,,,,27.7,296.6,1014.2,43.2,1.5,173.7,14.9,7,,2013-01-08T06:41:58,2013-01-08T17:27:33,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41933099999,41941099999,41923099999,41929099999,41922099999,41939099999"
2013-01-09,Narayanganj,16.0,7.1,11.4,16.0,5.5,10.9,9.2,86.6,0.0,0,0.0,,,,,18.4,294.7,1014.6,39.8,1.2,183.9,15.9,7,,2013-01-09T06:42:06,2013-01-09T17:28:16,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41933099999,41941099999,41923099999,41929099999,41922099999,41939099999"
2013-01-10,Narayanganj,18.0,7.0,12.2,18.0,7.0,12.2,10.0,87.3,0.0,0,0.0,,,,,11.2,3.5,1013.5,47.9,1.0,172.7,14.9,7,,2013-01-10T06:42:13,2013-01-10T17:28:58,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41933099999,41941099999,41929099999,41923099999,41922099999,41939099999"
