datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2012-01-01,Rajshahi,80.1,58.4,67.9,79.8,58.4,67.9,54.1,63.7,0.0,0,0.0,,,,,6.7,3.1,1015.0,77.3,3.0,123.0,10.6,5,,2012-01-01T06:49:13,2012-01-01T17:28:23,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-01-02,Rajshahi,73.7,61.2,65.2,73.7,61.2,65.2,57.8,78.2,0.096,100,41.67,rain,,,,10.7,8.3,1015.4,56.8,3.4,121.2,10.5,5,,2012-01-02T06:49:31,2012-01-02T17:29:02,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41907099999,remote,41895099999"
2012-01-03,Rajshahi,77.3,58.6,66.2,77.3,58.6,66.2,57.5,75.8,0.032,100,29.17,rain,,,,6.7,321.9,1014.0,28.6,2.9,164.2,14.2,7,,2012-01-03T06:49:47,2012-01-03T17:29:42,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41907099999,remote,41895099999"
2012-01-04,Rajshahi,77.8,55.5,66.0,77.8,55.5,66.0,55.2,70.4,0.0,0,0.0,,,,,5.8,320.0,1014.7,6.1,2.9,153.2,13.3,6,,2012-01-04T06:50:03,2012-01-04T17:30:22,0.34,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-05,Rajshahi,79.1,53.0,67.0,79.1,53.0,67.0,56.2,69.9,0.008,100,8.33,rain,,,,5.8,359.3,1015.6,10.0,3.4,153.8,13.3,6,,2012-01-05T06:50:17,2012-01-05T17:31:03,0.37,Rain,Clear conditions throughout the day with afternoon rain.,rain,"41907099999,remote,41895099999"
2012-01-06,Rajshahi,76.0,58.6,67.1,76.0,58.6,67.1,58.3,74.5,0.108,100,50.0,rain,,,,6.3,68.7,1016.2,30.9,3.1,120.0,10.4,6,,2012-01-06T06:50:29,2012-01-06T17:31:45,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41907099999,remote,41895099999"
2012-01-07,Rajshahi,78.2,59.1,67.1,78.2,59.1,67.1,58.2,74.7,0.115,100,29.17,rain,,,,6.5,47.3,1018.3,15.1,3.6,152.5,13.1,6,,2012-01-07T06:50:41,2012-01-07T17:32:26,0.43,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"41907099999,remote,41895099999"
2012-01-08,Rajshahi,79.1,58.6,67.9,79.1,58.6,67.9,57.3,70.7,0.088,100,20.83,rain,,,,6.3,46.1,1018.0,39.0,2.8,160.2,13.7,6,,2012-01-08T06:50:50,2012-01-08T17:33:09,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41907099999,remote,41895099999"
2012-01-09,Rajshahi,77.8,58.6,67.2,77.8,58.6,67.2,59.5,77.7,0.244,100,25.0,rain,,,,8.9,71.5,1016.3,45.4,3.4,134.0,11.6,6,,2012-01-09T06:50:59,2012-01-09T17:33:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41907099999,remote,41895099999"
2012-01-10,Rajshahi,76.9,59.1,66.8,76.9,59.1,66.8,59.1,78.1,0.06,100,50.0,rain,,,,6.5,320.4,1016.6,42.0,3.4,169.0,14.5,6,,2012-01-10T06:51:06,2012-01-10T17:34:34,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41907099999,remote,41895099999"
2012-01-11,Rajshahi,76.4,57.1,65.4,76.4,57.1,65.4,54.8,70.6,0.0,0,0.0,,,,,8.9,330.9,1016.8,20.2,3.4,163.7,14.2,6,,2012-01-11T06:51:12,2012-01-11T17:35:18,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-01-12,Rajshahi,73.3,49.7,59.4,73.3,46.8,59.3,43.9,60.5,0.0,0,0.0,,,,,9.2,305.1,1016.7,0.4,3.7,188.0,16.4,7,,2012-01-12T06:51:16,2012-01-12T17:36:01,0.6,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-13,Rajshahi,70.6,47.2,57.3,70.6,43.5,56.6,45.1,66.6,0.0,0,0.0,,,,,11.9,300.5,1016.0,0.0,3.1,171.0,14.6,7,,2012-01-13T06:51:19,2012-01-13T17:36:45,0.64,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-14,Rajshahi,71.3,45.0,56.7,71.3,41.6,55.9,41.4,60.7,0.0,0,0.0,,,,,8.7,307.6,1015.3,0.0,3.7,179.4,15.6,7,,2012-01-14T06:51:20,2012-01-14T17:37:30,0.68,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
