datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2012-01-01,Rajshahi,26.8,14.7,20.0,26.6,14.7,20.0,12.3,63.7,0.0,0,0.0,,,,,10.8,3.1,1015.0,77.3,4.7,123.0,10.6,5,,2012-01-01T06:49:13,2012-01-01T17:28:23,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-01-02,Rajshahi,23.2,16.3,18.5,23.2,16.3,18.5,14.4,78.2,2.4,100,41.67,rain,,,,17.3,8.2,1015.4,56.8,5.5,121.2,10.5,5,,2012-01-02T06:49:31,2012-01-02T17:29:02,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41907099999,remote,41895099999"
2012-01-03,Rajshahi,25.2,14.8,19.1,25.2,14.8,19.1,14.2,75.8,0.8,100,29.17,rain,,,,10.8,321.9,1014.0,28.6,4.7,164.2,14.2,7,,2012-01-03T06:49:47,2012-01-03T17:29:42,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41907099999,remote,41895099999"
2012-01-04,Rajshahi,25.5,13.1,18.9,25.5,13.1,18.9,12.9,70.4,0.0,0,0.0,,,,,9.4,320.0,1014.7,6.1,4.7,153.2,13.3,6,,2012-01-04T06:50:03,2012-01-04T17:30:22,0.34,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-05,Rajshahi,26.2,11.7,19.5,26.2,11.7,19.5,13.5,69.9,0.2,100,8.33,rain,,,,9.4,359.4,1015.6,10.0,5.5,153.8,13.3,6,,2012-01-05T06:50:17,2012-01-05T17:31:03,0.37,Rain,Clear conditions throughout the day with afternoon rain.,rain,"41907099999,remote,41895099999"
2012-01-06,Rajshahi,24.5,14.8,19.6,24.5,14.8,19.6,14.7,74.5,2.7,100,50.0,rain,,,,10.1,68.7,1016.2,30.9,5.0,120.0,10.4,6,,2012-01-06T06:50:29,2012-01-06T17:31:45,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41907099999,remote,41895099999"
2012-01-07,Rajshahi,25.7,15.1,19.5,25.7,15.1,19.5,14.6,74.7,2.9,100,29.17,rain,,,,10.4,47.3,1018.3,15.1,5.7,152.5,13.1,6,,2012-01-07T06:50:41,2012-01-07T17:32:26,0.43,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"41907099999,remote,41895099999"
2012-01-08,Rajshahi,26.2,14.8,20.0,26.2,14.8,20.0,14.1,70.7,2.2,100,20.83,rain,,,,10.1,46.1,1018.0,39.0,4.5,160.2,13.7,6,,2012-01-08T06:50:50,2012-01-08T17:33:09,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41907099999,remote,41895099999"
2012-01-09,Rajshahi,25.5,14.8,19.6,25.5,14.8,19.6,15.4,77.7,6.2,100,25.0,rain,,,,14.4,71.6,1016.3,45.4,5.5,134.0,11.6,6,,2012-01-09T06:50:59,2012-01-09T17:33:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41907099999,remote,41895099999"
2012-01-10,Rajshahi,25.0,15.1,19.4,25.0,15.1,19.4,15.1,78.1,1.5,100,50.0,rain,,,,10.4,320.4,1016.6,42.0,5.5,169.0,14.5,6,,2012-01-10T06:51:06,2012-01-10T17:34:34,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41907099999,remote,41895099999"
2012-01-11,Rajshahi,24.7,14.0,18.6,24.7,14.0,18.6,12.7,70.6,0.0,0,0.0,,,,,14.4,330.9,1016.8,20.2,5.5,163.7,14.2,6,,2012-01-11T06:51:12,2012-01-11T17:35:18,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-01-12,Rajshahi,23.0,9.9,15.3,23.0,8.2,15.2,6.7,60.5,0.0,0,0.0,,,,,14.8,305.1,1016.7,0.4,6.0,188.0,16.4,7,,2012-01-12T06:51:16,2012-01-12T17:36:01,0.6,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-13,Rajshahi,21.5,8.5,14.1,21.5,6.4,13.7,7.3,66.6,0.0,0,0.0,,,,,19.1,300.5,1016.0,0.0,5.0,171.0,14.6,7,,2012-01-13T06:51:19,2012-01-13T17:36:45,0.64,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-14,Rajshahi,21.9,7.3,13.8,21.9,5.3,13.3,5.3,60.7,0.0,0,0.0,,,,,14.0,307.6,1015.3,0.0,5.9,179.4,15.6,7,,2012-01-14T06:51:20,2012-01-14T17:37:30,0.68,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-15,Rajshahi,22.3,8.1,14.5,22.3,7.5,14.2,5.2,57.0,0.0,0,0.0,,,,,9.4,329.6,1013.7,0.0,6.0,160.8,14.0,7,,2012-01-15T06:51:20,2012-01-15T17:38:14,0.71,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-16,Rajshahi,23.9,7.7,16.3,23.9,7.7,16.2,5.7,52.1,0.0,0,0.0,,,,,10.8,328.3,1011.5,5.0,6.0,160.6,13.8,6,,2012-01-16T06:51:19,2012-01-16T17:38:58,0.75,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-17,Rajshahi,26.4,10.3,18.8,26.4,10.3,18.8,9.8,57.7,0.0,0,0.0,,,,,12.6,212.3,1009.6,40.1,5.6,175.2,15.0,7,,2012-01-17T06:51:16,2012-01-17T17:39:43,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-01-18,Rajshahi,27.7,13.3,19.3,26.9,13.3,19.2,11.7,65.8,0.0,0,0.0,,,,,10.4,309.9,1009.6,4.4,5.2,176.1,15.3,7,,2012-01-18T06:51:12,2012-01-18T17:40:27,0.82,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-19,Rajshahi,27.2,12.9,19.2,26.8,12.9,19.2,11.4,63.2,0.8,100,20.83,rain,,,,11.9,74.1,1011.4,12.9,4.3,169.2,14.6,7,,2012-01-19T06:51:06,2012-01-19T17:41:12,0.85,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"41907099999,remote,41895099999"
2012-01-20,Rajshahi,25.6,12.4,18.4,25.6,12.4,18.4,13.3,73.7,0.8,100,33.33,rain,,,,11.2,20.0,1012.5,24.4,5.6,163.9,14.1,6,,2012-01-20T06:50:58,2012-01-20T17:41:57,0.89,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain clearing later.,rain,"41907099999,remote,41895099999"
2012-01-21,Rajshahi,25.3,13.2,17.9,25.3,13.2,17.9,11.0,67.6,0.0,0,0.0,,,,,16.2,297.3,1013.3,6.8,5.0,183.3,16.0,7,,2012-01-21T06:50:50,2012-01-21T17:42:41,0.93,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-22,Rajshahi,22.9,7.8,15.1,22.9,7.1,15.0,4.9,54.4,0.0,0,0.0,,,,,14.4,325.7,1016.0,1.1,5.7,190.8,16.5,7,,2012-01-22T06:50:40,2012-01-22T17:43:26,0.96,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
