name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chittagong,2019-01-01,28,16.5,21.4,27.8,16.5,21.4,14.2,66.5,0,0,0,,,,,18.4,356.5,1017.4,0,4.2,202.7,17.3,8,,2019-01-01T06:32:23,2019-01-01T17:19:53,0.83,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2019-01-02,28,14.6,21.2,27.6,14.6,21.2,14.8,70,0,0,0,,,,,22.3,359.7,1017.2,5.6,4.2,201.8,17.4,7,,2019-01-02T06:32:42,2019-01-02T17:20:31,0.87,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2019-01-03,27,15.1,20.1,27.1,15.1,20.1,14.4,73.5,0,0,0,,,,,22.3,347.9,1018.1,2.1,3.7,199.1,17,7,,2019-01-03T06:32:59,2019-01-03T17:21:09,0.9,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2019-01-04,25.1,12.2,19.8,25.1,12.2,19.8,13.1,68.6,0,0,0,,,,,18.4,342.3,1018.5,0.3,3.4,192.6,16.6,7,,2019-01-04T06:33:15,2019-01-04T17:21:49,0.94,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2019-01-05,26,14,19.5,26,14,19.5,13,69.5,0,0,0,,,,,22.3,359.1,1016.6,0.2,3.7,199.8,17.1,7,,2019-01-05T06:33:30,2019-01-05T17:22:28,0.97,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2019-01-06,26.1,12.6,19.6,26.1,12.6,19.6,13.1,69.2,0,0,0,,,,,20.4,354.8,1014.9,3,4,211.7,18.2,8,,2019-01-06T06:33:44,2019-01-06T17:23:08,0,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2019-01-07,26.2,13.4,20.1,26.2,13.4,20.1,14.2,71.4,0,0,0,,,,,14.8,5.8,1013.2,23.8,3.8,206,17.8,8,,2019-01-07T06:33:56,2019-01-07T17:23:49,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2019-01-08,25.2,15.2,20.5,25.2,15.2,20.5,15.7,75.8,0,0,0,,,,,14.8,328.4,1012.9,26.2,3.3,187.2,16.2,7,,2019-01-08T06:34:07,2019-01-08T17:24:30,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2019-01-09,26,13.4,20.3,26,13.4,20.3,14.3,70.7,0,0,0,,,,,14.8,333.9,1014.5,0.1,3.5,187.3,16.1,7,,2019-01-09T06:34:17,2019-01-09T17:25:11,0.11,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2019-01-10,25,14.5,19.8,25,14.5,19.8,13.9,71.4,0,0,0,,,,,25.9,357.3,1015.1,0,3.1,179.5,15.4,7,,2019-01-10T06:34:26,2019-01-10T17:25:52,0.14,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
