name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Comilla,1/1/13,23.2,9.7,15.9,23.2,9.7,15.9,10.7,72.9,0,0,0,,,,,10.8,327.8,1013.1,6.1,1.4,177,15.3,7,,2013-01-01T06:37:15,2013-01-01T17:20:24,0.63,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41953099999,41933099999,41943099999,41941099999,remote"
Comilla,2/1/13,26.1,10.5,17,26.1,10.5,17,12,74.5,0,0,0,,,,,9,295.6,1013.3,3.4,2.2,182.6,15.9,7,,2013-01-02T06:37:32,2013-01-02T17:21:03,0.67,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41953099999,41933099999,41943099999,41941099999,remote"
Comilla,3/1/13,26.2,11.4,17.9,26.2,11.4,17.9,14,79.2,0,0,0,,,,,8.3,225.5,1014.3,26.9,2.3,116,9.9,5,,2013-01-03T06:37:48,2013-01-03T17:21:43,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41953099999,41943099999,41933099999,41941099999,remote"
Comilla,4/1/13,25.7,12.4,18.3,25.7,12.4,18.3,14.7,81.3,0,0,0,,,,,12.2,341.2,1013.9,34.8,2,172.2,14.7,7,,2013-01-04T06:38:03,2013-01-04T17:22:23,0.74,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42724099999,41953099999,41933099999,41943099999,41941099999,remote"
Comilla,5/1/13,24.7,10.8,16.4,24.7,10.8,16.4,11.1,74,0,0,0,,,,,13.3,348.1,1012.6,0.9,2.2,174,15.1,7,,2013-01-05T06:38:17,2013-01-05T17:23:03,0.75,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41953099999,41933099999,41943099999,41941099999,remote"
Comilla,6/1/13,23.4,8.6,15,23.4,6.6,14.7,8.9,70.1,0,0,0,,,,,14.8,346.4,1013.6,0.4,1.9,175,15.2,7,,2013-01-06T06:38:29,2013-01-06T17:23:45,0.81,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41953099999,41933099999,41943099999,41941099999,remote"
Comilla,7/1/13,22.1,8.8,15.5,22.1,6.9,15.2,10.8,75.3,0,0,0,,,,,12.6,341.2,1013.9,32,2.1,161.4,13.9,6,,2013-01-07T06:38:40,2013-01-07T17:24:26,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41953099999,41933099999,41943099999,41941099999,remote"
Comilla,8/1/13,21.1,8.3,13.9,21.1,6,13.6,7.3,66.4,0,0,0,,,,,16.6,337.2,1015.2,23.2,2.3,170.2,14.6,7,,2013-01-08T06:38:50,2013-01-08T17:25:08,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41953099999,41933099999,41943099999,41941099999,remote"
Comilla,9/1/13,18.3,4.6,10.4,18.3,1.8,9.5,5.4,73.6,0,0,0,,,,,14,334.3,1016.1,5.8,1.2,184.8,16,7,,2013-01-09T06:38:58,2013-01-09T17:25:50,0.91,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41953099999,41943099999,41933099999,41941099999,remote"
Comilla,10/1/13,18.8,4.2,11.4,18.8,4.2,11.2,6.1,72.1,0,0,0,,,,,11.9,328.7,1014.9,4.7,0.9,166.9,14.4,7,,2013-01-10T06:39:05,2013-01-10T17:26:32,0.95,Clear,Clear conditions throughout the day.,fog,"42724099999,41953099999,41933099999,41943099999,41941099999,remote"
