datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions
2012-01-01,"khulna,Bangladesh",31.0,15.7,22.2,29.6,15.7,22.0,12.7,58.3,0.0,0.0,0.0,,,,,13.0,356.8,1014.3,21.0,4.2,182.8,15.6,7.0,,2012-01-01T06:42:23,2012-01-01T17:27:46,0.25,Partially cloudy
2012-01-02,"khulna,Bangladesh",30.2,17.0,22.3,29.4,17.0,22.1,14.6,64.8,1.0,100.0,25.0,rain,,,,13.3,2.1,1014.3,32.3,5.2,176.0,15.1,7.0,,2012-01-02T06:42:42,2012-01-02T17:28:25,0.27,"Rain, Partially cloudy"
2012-01-03,"khulna,Bangladesh",28.2,16.9,21.3,28.1,16.9,21.3,15.7,72.7,0.2,100.0,8.33,rain,,,,10.1,340.7,1013.9,29.1,3.0,166.4,14.3,6.0,,2012-01-03T06:42:59,2012-01-03T17:29:03,0.31,"Rain, Partially cloudy"
2012-01-04,"khulna,Bangladesh",26.6,16.1,21.0,26.6,16.1,21.0,14.5,68.0,0.0,0.0,0.0,,,,,8.6,3.9,1013.7,23.7,4.9,131.8,11.4,6.0,,2012-01-04T06:43:16,2012-01-04T17:29:43,0.34,Partially cloudy
2012-01-05,"khulna,Bangladesh",28.5,15.9,21.6,28.1,15.9,21.6,14.9,68.5,0.4,100.0,16.67,rain,,,,7.2,8.9,1014.6,20.7,3.8,159.4,13.7,6.0,,2012-01-05T06:43:31,2012-01-05T17:30:23,0.37,"Rain, Partially cloudy"
2012-01-06,"khulna,Bangladesh",27.5,17.3,21.7,27.7,17.3,21.8,16.8,75.5,5.7,100.0,79.17,rain,,,,18.0,102.4,1014.9,32.5,4.3,154.6,13.2,6.0,,2012-01-06T06:43:44,2012-01-06T17:31:03,0.4,"Rain, Partially cloudy"
2012-01-07,"khulna,Bangladesh",26.9,17.6,21.4,27.3,17.6,21.4,17.2,78.7,10.4,100.0,58.33,rain,,,,6.1,49.3,1017.4,31.2,3.5,161.1,13.9,6.0,,2012-01-07T06:43:57,2012-01-07T17:31:44,0.43,"Rain, Partially cloudy"
2012-01-08,"khulna,Bangladesh",28.6,16.1,21.6,28.2,16.1,21.5,15.7,72.0,6.0,100.0,25.0,rain,,,,8.3,24.5,1017.3,29.7,3.2,167.4,14.4,7.0,,2012-01-08T06:44:08,2012-01-08T17:32:25,0.47,"Rain, Partially cloudy"
2012-01-09,"khulna,Bangladesh",27.7,16.5,21.4,28.1,16.5,21.5,16.9,77.3,8.8,100.0,33.33,rain,,,,7.9,92.6,1015.8,28.0,4.2,173.0,15.0,7.0,,2012-01-09T06:44:18,2012-01-09T17:33:06,0.5,"Rain, Partially cloudy"
2012-01-10,"khulna,Bangladesh",26.6,17.3,20.9,26.6,17.3,20.9,16.9,79.8,1.5,100.0,37.5,rain,,,,10.4,349.2,1015.6,45.4,4.8,160.1,13.7,6.0,,2012-01-10T06:44:26,2012-01-10T17:33:48,0.53,"Rain, Partially cloudy"
