,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,Bogra,2013-02-01,21.1,11.1,15.0,21.1,11.1,15.0,8.1,64.3,0.0,0,0.0,,,,,14.0,315.8,1016.6,72.3,3.7,62.1,5.3,3,,2013-02-01T06:45:01,2013-02-01T17:47:30,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999"
1,Bogra,2013-02-02,26.7,9.2,17.3,26.7,7.6,17.1,7.6,56.0,0.0,0,0.0,,,,,16.9,305.5,1014.5,40.8,4.0,178.5,15.5,7,,2013-02-02T06:44:33,2013-02-02T17:48:13,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999"
2,Bogra,2013-02-03,27.2,12.1,18.3,26.8,12.1,18.2,6.1,47.2,0.0,0,0.0,,,,,18.4,304.2,1015.5,35.0,6.0,189.1,16.3,7,,2013-02-03T06:44:05,2013-02-03T17:48:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999"
3,Bogra,2013-02-04,28.7,11.5,19.8,27.3,11.5,19.6,8.0,50.1,0.0,0,0.0,,,,,13.7,318.8,1015.7,28.3,5.0,200.6,17.3,7,,2013-02-04T06:43:35,2013-02-04T17:49:37,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,41883099999"
4,Bogra,2013-02-05,30.5,13.0,21.1,28.8,13.0,20.7,9.2,49.9,0.0,0,0.0,,,,,13.7,338.9,1018.5,0.6,6.0,212.6,18.3,8,,2013-02-05T06:43:04,2013-02-05T17:50:18,0.82,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
5,Bogra,2013-02-06,31.6,14.4,22.3,30.1,14.4,22.0,11.0,51.8,0.0,0,0.0,,,,,14.8,311.4,1015.2,4.0,4.0,214.2,18.5,8,,2013-02-06T06:42:32,2013-02-06T17:50:59,0.86,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
6,Bogra,2013-02-07,31.8,17.4,23.6,30.5,17.4,23.3,12.5,51.7,0.0,0,0.0,,,,,21.6,303.1,1012.7,44.8,4.3,199.8,17.2,8,,2013-02-07T06:41:58,2013-02-07T17:51:40,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999"
7,Bogra,2013-02-08,25.7,16.8,21.2,25.7,16.8,21.2,10.9,54.1,0.0,0,0.0,,,,,26.6,303.0,1013.4,52.4,4.5,132.3,11.4,5,,2013-02-08T06:41:24,2013-02-08T17:52:20,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999"
8,Bogra,2013-02-09,27.4,11.8,18.8,26.2,11.8,18.6,4.4,42.7,0.0,0,0.0,,,,,18.7,307.5,1014.1,3.1,4.5,241.0,20.8,9,,2013-02-09T06:40:48,2013-02-09T17:53:00,0.96,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
9,Bogra,2013-02-10,28.5,10.4,18.7,27.0,10.4,18.5,4.7,42.9,0.0,0,0.0,,,,,20.5,312.7,1014.1,1.5,4.3,233.8,20.4,8,,2013-02-10T06:40:11,2013-02-10T17:53:40,0.0,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
10,Bogra,2013-02-11,29.1,10.1,19.1,27.4,10.1,18.9,3.6,39.5,0.0,0,0.0,,,,,18.0,305.7,1013.4,32.7,5.0,235.5,20.3,8,,2013-02-11T06:39:33,2013-02-11T17:54:19,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,41883099999"
11,Bogra,2013-02-12,29.0,10.4,19.3,27.4,10.4,19.0,4.1,39.9,0.0,0,0.0,,,,,17.6,311.6,1011.6,90.4,6.0,210.3,18.2,8,,2013-02-12T06:38:53,2013-02-12T17:54:57,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"remote,41883099999"
12,Bogra,2013-02-13,31.2,13.5,21.2,29.1,13.5,20.8,6.4,41.6,0.0,0,0.0,,,,,21.6,296.3,1012.5,31.4,4.7,232.4,20.2,8,,2013-02-13T06:38:13,2013-02-13T17:55:36,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,41883099999"
13,Bogra,2013-02-14,31.4,14.5,21.7,29.3,14.5,21.3,6.7,42.1,0.0,0,0.0,,,,,24.8,297.1,1012.4,0.0,4.3,229.5,20.0,8,,2013-02-14T06:37:32,2013-02-14T17:56:13,0.13,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
14,Bogra,2013-02-15,31.4,13.2,21.4,29.3,13.2,21.0,6.1,40.6,0.0,0,0.0,,,,,17.3,314.0,1013.7,4.2,5.0,236.0,20.4,8,,2013-02-15T06:36:49,2013-02-15T17:56:50,0.16,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
15,Bogra,2013-02-16,30.8,14.2,21.7,29.2,14.2,21.4,10.1,50.1,0.2,100,4.17,rain,,,,21.6,333.8,1012.2,40.6,5.0,195.9,16.8,8,,2013-02-16T06:36:06,2013-02-16T17:57:27,0.19,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"remote,41883099999"
16,Bogra,2013-02-17,23.8,16.1,19.1,23.8,16.1,19.1,14.7,76.9,12.7,100,91.67,rain,,,,29.5,341.8,1011.9,66.2,4.0,123.1,10.5,4,,2013-02-17T06:35:21,2013-02-17T17:58:04,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,41883099999"
17,Bogra,2013-02-18,26.4,14.7,19.1,26.4,14.7,19.1,11.0,65.0,0.6,100,12.5,rain,,,,21.2,289.6,1012.8,10.0,3.0,236.9,20.6,8,,2013-02-18T06:34:36,2013-02-18T17:58:40,0.25,Rain,Clear conditions throughout the day with early morning rain.,rain,"remote,41883099999"
18,Bogra,2013-02-19,26.9,12.0,19.2,26.5,12.0,19.2,9.5,56.7,0.0,0,0.0,,,,,15.8,310.1,1013.7,1.7,3.8,240.9,20.9,8,,2013-02-19T06:33:49,2013-02-19T17:59:15,0.29,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
19,Bogra,2013-02-20,28.5,12.9,20.3,27.2,12.9,20.2,9.1,52.4,0.0,0,0.0,,,,,22.0,308.5,1013.1,0.4,5.0,241.3,20.7,9,,2013-02-20T06:33:02,2013-02-20T17:59:50,0.32,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
20,Bogra,2013-02-21,29.4,14.6,21.2,27.9,14.6,21.0,9.5,50.2,0.0,0,0.0,,,,,21.6,309.5,1013.6,0.0,5.0,234.4,20.2,8,,2013-02-21T06:32:14,2013-02-21T18:00:25,0.35,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
21,Bogra,2013-02-22,31.2,13.6,21.6,29.4,13.6,21.2,9.5,49.5,0.0,0,0.0,,,,,22.0,317.5,1014.7,0.0,5.0,244.6,21.3,9,,2013-02-22T06:31:25,2013-02-22T18:00:59,0.38,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
22,Bogra,2013-02-23,33.0,13.8,22.9,31.2,13.8,22.5,10.1,47.7,0.0,0,0.0,,,,,17.3,314.7,1013.3,1.6,4.5,239.4,20.5,8,,2013-02-23T06:30:35,2013-02-23T18:01:32,0.42,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
23,Bogra,2013-02-24,32.7,14.5,23.6,30.8,14.5,23.2,9.7,44.4,0.0,0,0.0,,,,,28.8,310.8,1013.2,1.7,5.0,245.2,21.3,9,,2013-02-24T06:29:44,2013-02-24T18:02:06,0.45,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
24,Bogra,2013-02-25,32.6,17.2,24.2,31.2,17.2,23.8,11.8,48.4,0.0,0,0.0,,,,,23.8,306.5,1013.3,0.0,4.7,235.7,20.2,8,,2013-02-25T06:28:53,2013-02-25T18:02:39,0.48,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
25,Bogra,2013-02-26,31.8,15.9,23.4,30.0,15.9,23.0,11.0,48.9,0.0,0,0.0,,,,,20.2,310.0,1014.7,0.0,4.3,252.6,21.7,9,,2013-02-26T06:28:01,2013-02-26T18:03:11,0.5,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
26,Bogra,2013-02-27,32.5,15.5,23.3,30.5,15.5,22.8,9.7,45.9,0.0,0,0.0,,,,,16.6,311.4,1013.5,0.9,4.5,252.7,21.9,9,,2013-02-27T06:27:08,2013-02-27T18:03:43,0.55,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
27,Bogra,2013-02-28,33.9,15.1,24.1,31.9,15.1,23.5,9.0,41.1,0.0,0,0.0,,,,,21.2,292.9,1010.9,0.0,4.5,250.2,21.6,9,,2013-02-28T06:26:14,2013-02-28T18:04:15,0.59,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
28,Bogra,2013-03-01,32.1,16.1,23.4,29.8,16.1,22.8,5.7,35.1,0.0,0,0.0,,,,,55.4,293.9,1011.5,6.6,15.0,272.8,23.6,9,,2013-03-01T06:25:20,2013-03-01T18:04:46,0.62,Clear,Clear conditions throughout the day.,wind,"remote,41883099999"
29,Bogra,2013-03-02,32.0,13.5,22.5,29.9,13.5,22.0,7.4,41.3,0.0,0,0.0,,,,,17.6,310.6,1013.0,0.0,4.5,258.6,22.4,9,,2013-03-02T06:24:25,2013-03-02T18:05:17,0.66,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
30,Bogra,2013-03-03,32.3,14.3,23.1,30.2,14.3,22.7,8.8,43.2,0.0,0,0.0,,,,,15.1,309.2,1012.5,0.0,5.0,256.5,22.0,9,,2013-03-03T06:23:29,2013-03-03T18:05:48,0.69,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
31,Bogra,2013-03-04,32.8,14.9,23.8,30.7,14.9,23.3,7.5,37.1,0.0,0,0.0,,,,,15.5,305.9,1013.9,0.0,6.0,236.9,20.4,8,,2013-03-04T06:22:33,2013-03-04T18:06:18,0.73,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
32,Bogra,2013-03-05,33.6,16.0,24.4,31.3,16.0,23.7,8.1,39.0,0.0,0,0.0,,,,,12.2,298.0,1013.9,1.3,5.0,244.6,21.2,9,,2013-03-05T06:21:37,2013-03-05T18:06:48,0.75,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
