system:index,district,month,upa_mean,wth_mean,year,.geo
0_00000000000000000000,Bandarban,1,"[0.6547139412817297, 0.5524525143742233]","[0.6547139412817297, 0.5524525143742233]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,Brahmanbaria,1,"[11.934451558500172, 1.9473817946351615]","[11.934451558500172, 1.9473817946351615]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,Chandpur,1,"[378.6688403200911, 9.294703081152653]","[378.6688403200911, 9.294703081152653]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,Chattogram,1,"[2.734948545918938, 1.6961112631430801]","[2.734948545918938, 1.6961112631430801]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,Cox's Bazar,1,"[0.5762237059290042, 1.4018906989039959]","[0.5762237059290042, 1.4018906989039959]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,Cumilla,1,"[2.3743347577848506, 1.9815184839385813]","[2.3743347577848506, 1.9815184839385813]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,Feni,1,"[1.6987548827434709, 0.7283436506482301]","[1.6987548827434709, 0.7283436506482301]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,Khagrachhari,1,"[0.5448207745704351, 0.5404616583591941]","[0.5448207745704351, 0.5404616583591941]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,Lakshmipur,1,"[71.2236101450563, 12.384231824328088]","[71.2236101450563, 12.384231824328088]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,Noakhali,1,"[0.31951504892347815, 0.9211616184703376]","[0.31951504892347815, 0.9211616184703376]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,Rangamati,1,"[2.768894999763584, 3.7991325331380263]","[2.768894999763584, 3.7991325331380263]",1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
