name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"khulna,Bangladesh",1/1/2014,26,10.4,17.9,26,10.4,17.9,11.5,69.4,0,0,0,,,,,13,340.8,1016.2,62,3.2,190.3,16.3,7,,2014-01-01T06:42:32,2014-01-01T17:28:06,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41947099999,41946099999,41958099999,41936099999,remote,41939099999"
"khulna,Bangladesh",1/2/2014,27.2,12.3,18.7,27.1,12.3,18.7,13.8,76.1,0,0,0,,,,,14.8,339.2,1015.8,55.3,3,177.7,15.3,7,,2014-01-02T06:42:50,2014-01-02T17:28:44,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41947099999,41946099999,41958099999,41936099999,remote,41939099999"
"khulna,Bangladesh",1/3/2014,24.2,12.2,17.1,24.2,12.2,17.1,11.7,74.4,0,0,0,,,,,14,342.1,1017,12.6,2.5,176.4,15.2,7,,2014-01-03T06:43:07,2014-01-03T17:29:23,0.06,Clear,Clear conditions throughout the day.,clear-day,"41947099999,41946099999,41958099999,41936099999,remote"
"khulna,Bangladesh",1/4/2014,24,8.9,15.2,24,8.2,15.1,7.9,66.8,0,0,0,,,,,15.8,326.4,1015.1,0,2.8,180.4,15.6,7,,2014-01-04T06:43:23,2014-01-04T17:30:03,0.09,Clear,Clear conditions throughout the day.,clear-day,"41947099999,41946099999,41958099999,41936099999,remote,41939099999"
"khulna,Bangladesh",1/5/2014,24.9,8.7,16.2,24.9,7.5,15.9,9,66.4,0,0,0,,,,,10.4,333.9,1013.4,16.2,3.6,175,15,7,,2014-01-05T06:43:37,2014-01-05T17:30:43,0.13,Clear,Clear conditions throughout the day.,clear-day,"41947099999,41946099999,41958099999,41936099999,remote,41939099999"
"khulna,Bangladesh",1/6/2014,24.7,12.7,17.7,24.7,12.7,17.7,12.3,72.8,0,0,0,,,,,12.2,336.3,1013.7,14.8,2.6,135.1,11.7,6,,2014-01-06T06:43:50,2014-01-06T17:31:23,0.16,Clear,Clear conditions throughout the day.,clear-day,"41947099999,41946099999,41958099999,41936099999,remote,41939099999"
"khulna,Bangladesh",1/7/2014,25.5,12.9,17.7,25.5,12.9,17.7,13.1,77.3,0,0,0,,,,,12.2,340.6,1015.4,7.1,1.3,170.4,14.7,6,,2014-01-07T06:44:02,2014-01-07T17:32:04,0.2,Clear,Clear conditions throughout the day.,clear-day,"41947099999,41946099999,41958099999,41936099999,remote,41939099999"
"khulna,Bangladesh",1/8/2014,24.9,9.8,16,24.9,8.6,16,7.7,63.5,0,0,0,,,,,11.2,351.1,1017,17.7,3.2,196.6,16.9,7,,2014-01-08T06:44:12,2014-01-08T17:32:46,0.25,Clear,Clear conditions throughout the day.,clear-day,"41947099999,41946099999,41958099999,41936099999,remote,41939099999"
"khulna,Bangladesh",1/9/2014,24.2,8.4,15.3,24.2,7,15,6.1,60.2,0,0,0,,,,,13,339.3,1016,1.2,2.4,185.1,15.8,7,,2014-01-09T06:44:21,2014-01-09T17:33:27,0.26,Clear,Clear conditions throughout the day.,clear-day,"41947099999,41946099999,41958099999,41936099999,remote,41939099999"
"khulna,Bangladesh",1/10/2014,25.7,8.7,15.8,25.7,7.2,15.6,8.2,64.8,0,0,0,,,,,11.5,355.3,1016.2,0,1.2,188.7,16.2,7,,2014-01-10T06:44:29,2014-01-10T17:34:09,0.3,Clear,Clear conditions throughout the day.,clear-day,"41947099999,41946099999,41958099999,41936099999,remote,41939099999"
