name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Chittagong,2023-01-01T00:00:00,17.1,17.1,15.1,87.48,0,0,,,,17.6,0.1,320,1018.1,0,3,0,0,0,10,Clear,clear-night,"41978099999,41989099999"
Chittagong,2023-01-01T01:00:00,18.2,18.2,10.9,62.4,0,0,,0,,16.6,14.4,30.8,1018,0,24.1,0,0,0,10,Clear,clear-night,remote
Chittagong,2023-01-01T02:00:00,17.6,17.6,10.6,63.52,0,0,,0,,14.8,13.3,39.6,1018,0,24.1,0,0,0,10,Clear,clear-night,remote
Chittagong,2023-01-01T03:00:00,15.8,15.8,14,89.11,0,0,,0,,14.8,0,32.7,1017.5,0,2.9,0,0,0,10,Clear,clear-night,"41963099999,41966099999,41978099999,41964099999"
Chittagong,2023-01-01T04:00:00,17.2,17.2,10.4,64.29,0,0,,0,,14.4,13,25.7,1017,0,24.1,0,0,0,10,Clear,clear-night,remote
Chittagong,2023-01-01T05:00:00,17.2,17.2,10.6,65.15,0,0,,0,,16.2,14.8,26.6,1017,0,24.1,0,0,0,10,Clear,clear-night,remote
Chittagong,2023-01-01T06:00:00,14.6,14.6,12.8,89.43,0,0,,,,15.5,6,20,1018,0,2.7,0,0,0,10,Clear,clear-night,"41963099999,41966099999,41965099999,41978099999,41964099999"
Chittagong,2023-01-01T07:00:00,15,15,14,93.75,0,0,,0,,13.3,7.6,340,1018,0,2,8,0,0,10,Clear,clear-day,"41978099999,VGEG"
Chittagong,2023-01-01T08:00:00,16,16,14,87.93,0,0,,0,,10.4,0,0,1019,0,3,154,0.6,2,10,Clear,clear-day,"41978099999,VGEG"
Chittagong,2023-01-01T09:00:00,18,18,13.1,73.09,0,0,,0,,9.7,4.9,90,1020,0,3,366,1.3,4,10,Clear,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG"
Chittagong,2023-01-01T10:00:00,19,19,12,63.84,0,0,,0,,11.5,7.6,30,1020,0,3,550,2,6,10,Clear,clear-day,"41978099999,VGEG"
Chittagong,2023-01-01T11:00:00,21,21,12,56.41,0,0,,0,,13.3,7.6,280,1019,0,3,681,2.5,7,10,Clear,clear-day,"41978099999,VGEG"
Chittagong,2023-01-01T12:00:00,25,25,9.8,38.38,0,0,,,,14.4,10.2,301,1019,0,3.2,748,2.7,7,10,Clear,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG"
Chittagong,2023-01-01T13:00:00,25,25,10,38.77,0,0,,0,,15.8,14.8,330,1017,0,3,744,2.7,7,10,Clear,clear-day,"41978099999,VGEG"
Chittagong,2023-01-01T14:00:00,25,25,10,38.77,0,0,,0,,16.9,11.2,350,1017,0,3,669,2.4,7,10,Clear,clear-day,"41978099999,VGEG"
Chittagong,2023-01-01T15:00:00,26.8,26.5,10,34.94,0,0,,0,,17.6,13.1,29,1016.1,0,4.1,531,1.9,5,10,Clear,clear-day,"41963099999,41966099999,41978099999,41964099999,VGEG,41989099999"
