name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chittagong,2016-01-01,26.1,14.4,19.8,26.1,14.4,19.8,16.1,80.9,0,0,0,,,,,14.8,345.2,1017.9,2.6,3,186.2,16,7,,2016-01-01T06:32:18,2016-01-01T17:19:42,0.72,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2016-01-02,26.2,14.1,20.2,26.2,14.1,20.2,16,78.7,0,0,0,,,,,18.4,331.1,1016.7,0.3,3.3,200.5,17.3,7,,2016-01-02T06:32:37,2016-01-02T17:20:20,0.75,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2016-01-03,25.2,13.6,19.5,25.2,13.6,19.5,15.7,80.2,0,0,0,,,,,14.8,339.3,1016.2,6.7,3.1,178.5,15.5,7,,2016-01-03T06:32:54,2016-01-03T17:20:59,0.78,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2016-01-04,26,14.8,19.8,26,14.8,19.8,15.8,79.8,0,0,0,,,,,14.8,328.2,1016.5,2.4,2.7,177.9,15.3,7,,2016-01-04T06:33:11,2016-01-04T17:21:38,0.81,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2016-01-05,25.1,13.5,19.5,25.1,13.5,19.5,15.1,78,0,0,0,,,,,14.8,319.1,1015.8,0.2,3.5,187.4,16.1,7,,2016-01-05T06:33:26,2016-01-05T17:22:18,0.85,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2016-01-06,25.2,15.1,19.7,25.2,15.1,19.7,15.7,79.9,0,0,0,,,,,16.7,357,1015.6,0.3,2.8,181.4,15.6,7,,2016-01-06T06:33:40,2016-01-06T17:22:58,0.88,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2016-01-07,26,15,19.9,26,15,19.9,15.7,78.8,0.2,100,4.17,rain,,,,16.6,330.5,1016.2,32.4,3,184.8,15.8,7,,2016-01-07T06:33:53,2016-01-07T17:23:38,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2016-01-08,26,13.5,19.9,26,13.5,19.9,16.2,81.6,0.6,100,8.33,rain,,,,10.4,357.8,1015.2,30.9,2.7,173.5,15,7,,2016-01-08T06:34:04,2016-01-08T17:24:19,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2016-01-09,27,14.7,21,30.1,14.7,21.2,18,83.7,0,0,0,,,,,12,141,1013.3,60.8,3.3,163.3,13.9,7,,2016-01-09T06:34:14,2016-01-09T17:25:00,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,2016-01-10,27,16,21.5,28.2,16,21.7,18.2,82.8,0.4,100,12.5,rain,,,,14.8,131.5,1015.1,20.4,3.2,177.4,15.3,7,,2016-01-10T06:34:23,2016-01-10T17:25:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
