name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chittagong,2013-01-01,23,12,18.4,23,12,18.4,12.6,70.3,0,0,0,,,,,18.4,346.2,1011.4,1,4.1,186.9,16.1,7,,2013-01-01T06:32:32,2013-01-01T17:20:10,0.63,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-02,24,11.9,18.3,24,11.9,18.3,13.6,77.7,0,0,0,,,,,18.4,323.1,1012.1,0,4.2,186,16,7,,2013-01-02T06:32:50,2013-01-02T17:20:49,0.67,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-03,23.1,14,18.4,23.1,14,18.4,14.9,81.5,0,0,0,,,,,14.8,22,1013,39.8,3.6,130.8,11.2,6,,2013-01-03T06:33:07,2013-01-03T17:21:28,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-04,26,14,19.6,26,14,19.6,15.5,79,0,0,0,,,,,12.1,10.2,1012.1,9.7,3.3,182.7,15.7,7,,2013-01-04T06:33:22,2013-01-04T17:22:07,0.74,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-05,26,13.8,19.7,26,13.8,19.7,14.9,76,0,0,0,,,,,22.3,344.2,1010.7,0,4,187.7,16.2,7,,2013-01-05T06:33:37,2013-01-05T17:22:47,0.75,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-06,25.1,13.9,18.9,25.1,13.9,18.9,13,70.8,0,0,0,,,,,22.3,356.5,1011.6,0,4.3,191.4,16.7,7,,2013-01-06T06:33:50,2013-01-06T17:23:27,0.81,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-07,26,13.9,19.1,26,13.9,19.1,13.1,71,0,0,0,,,,,16.6,11.6,1012,37.3,4.4,170,14.8,7,,2013-01-07T06:34:02,2013-01-07T17:24:08,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-08,22,13,18.1,22,13,18.1,12.7,72.4,0,0,0,,,,,22.3,342.6,1013.6,57,3.3,169.8,14.5,6,,2013-01-08T06:34:12,2013-01-08T17:24:49,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-09,18,9,14.6,18,7.6,14.5,8.5,67.5,0,0,0,,,,,18.4,328.8,1013.9,0.9,3.1,193.7,16.9,7,,2013-01-09T06:34:21,2013-01-09T17:25:30,0.91,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-10,19.3,9,14.6,19.3,9,14.6,8.9,70.6,0,0,0,,,,,18.4,343,1013.4,4.2,2.3,173.7,15,7,,2013-01-10T06:34:29,2013-01-10T17:26:11,0.95,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-11,21,8.9,15.3,21,8.9,15.3,9.4,70.5,0,0,0,,,,,18.4,321.5,1013.4,2.6,2.9,162.9,14.1,6,,2013-01-11T06:34:36,2013-01-11T17:26:53,0.98,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-12,20,8,14.8,20,8,14.8,11.1,80,0,0,0,,,,,13.7,339.1,1013.6,8.3,2.6,172.7,15,7,,2013-01-12T06:34:41,2013-01-12T17:27:35,0,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-13,23,11,17.3,23,11,17.3,10.8,68.7,0,0,0,,,,,18.4,324.9,1011.9,2.2,3.5,176.7,15.3,7,,2013-01-13T06:34:45,2013-01-13T17:28:17,0.05,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-14,25,11,18.1,25,11,18.1,12.7,73.3,0,0,0,,,,,14.8,336.6,1012.2,8,2.4,181.6,15.6,7,,2013-01-14T06:34:47,2013-01-14T17:28:59,0.08,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-15,25,11.7,18.5,25,11.7,18.5,13.7,75.3,0,0,0,,,,,14.8,340.3,1014.3,0,3.4,201,17.3,7,,2013-01-15T06:34:48,2013-01-15T17:29:41,0.11,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-16,26,12.7,18.7,26,12.7,18.7,13.3,73.4,0,0,0,,,,,22.3,1.7,1014.9,0,4.1,199.8,17.1,8,,2013-01-16T06:34:48,2013-01-16T17:30:23,0.14,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
chittagong,2013-01-17,28,13,20.3,27.6,13,20.2,13.8,69.4,0,0,0,,,,,18.4,12.8,1015.3,8.3,4.3,191.6,16.6,7,,2013-01-17T06:34:46,2013-01-17T17:31:06,0.18,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
