Division,river_discharge,Year,Quarter,Month,Day
Barisal,0.06,2010,Qtr 1,March,24
Barisal,0.06,2010,Qtr 1,March,25
Barisal,0.06,2010,Qtr 1,March,26
Barisal,0.06,2010,Qtr 1,March,27
Barisal,0.06,2010,Qtr 1,March,28
Barisal,0.06,2010,Qtr 1,March,29
Barisal,0.06,2010,Qtr 1,March,30
Barisal,0.06,2010,Qtr 1,March,31
Barisal,0.06,2010,Qtr 2,April,1
Barisal,0.06,2010,Qtr 2,April,2
Barisal,0.06,2010,Qtr 2,April,3
Barisal,0.06,2010,Qtr 2,April,4
Barisal,0.06,2010,Qtr 2,April,5
Barisal,0.06,2010,Qtr 2,April,6
Barisal,0.06,2010,Qtr 2,April,7
Barisal,0.06,2010,Qtr 2,April,8
Barisal,0.06,2010,Qtr 2,April,9
Barisal,0.06,2010,Qtr 2,April,10
Barisal,0.06,2010,Qtr 2,April,11
Barisal,0.06,2010,Qtr 2,April,12
Barisal,0.06,2010,Qtr 2,April,13
Barisal,0.06,2010,Qtr 2,April,14
Barisal,0.06,2010,Qtr 2,April,15
Barisal,0.06,2010,Qtr 2,April,16
Barisal,0.06,2010,Qtr 2,April,17
Barisal,0.06,2010,Qtr 2,April,18
Barisal,0.06,2012,Qtr 1,March,29
Barisal,0.06,2012,Qtr 1,March,30
Barisal,0.06,2012,Qtr 1,March,31
Barisal,0.06,2012,Qtr 2,April,1
Barisal,0.06,2012,Qtr 2,April,2
Barisal,0.06,2012,Qtr 2,April,3
Barisal,0.06,2012,Qtr 2,April,4
Barisal,0.06,2012,Qtr 2,April,5
Barisal,0.06,2013,Qtr 2,April,5
Barisal,0.06,2013,Qtr 2,April,6
Barisal,0.06,2013,Qtr 2,April,7
Barisal,0.06,2013,Qtr 2,April,8
Barisal,0.06,2013,Qtr 2,April,9
Barisal,0.06,2013,Qtr 2,April,10
Barisal,0.06,2013,Qtr 2,April,11
Barisal,0.06,2013,Qtr 2,April,12
Barisal,0.06,2013,Qtr 2,April,13
Barisal,0.06,2013,Qtr 2,April,14
Barisal,0.06,2014,Qtr 2,April,21
Barisal,0.06,2014,Qtr 2,April,22
Barisal,0.06,2014,Qtr 2,April,23
Barisal,0.06,2014,Qtr 2,April,24
Barisal,0.06,2015,Qtr 1,March,19
Barisal,0.06,2015,Qtr 1,March,20
Barisal,0.06,2015,Qtr 1,March,21
Barisal,0.06,2015,Qtr 1,March,22
Barisal,0.06,2015,Qtr 1,March,23
Barisal,0.06,2015,Qtr 1,March,24
Barisal,0.06,2015,Qtr 1,March,25
Barisal,0.06,2015,Qtr 1,March,26
Barisal,0.06,2015,Qtr 1,March,27
Barisal,0.06,2015,Qtr 2,June,1
Barisal,0.06,2015,Qtr 2,June,2
Barisal,0.06,2015,Qtr 2,June,3
Barisal,0.06,2015,Qtr 2,June,4
Barisal,0.06,2016,Qtr 2,April,30
Barisal,0.06,2016,Qtr 2,May,1
Barisal,0.06,2020,Qtr 2,April,1
Barisal,0.06,2020,Qtr 2,April,2
Barisal,0.06,2021,Qtr 2,April,1
Barisal,0.06,2021,Qtr 2,April,30
Barisal,0.06,2021,Qtr 2,May,1
Barisal,0.06,2021,Qtr 2,May,2
Barisal,0.09,2009,Qtr 1,March,23
Barisal,0.09,2009,Qtr 1,March,24
Barisal,0.09,2009,Qtr 1,March,25
Barisal,0.09,2009,Qtr 1,March,26
Barisal,0.09,2009,Qtr 1,March,27
Barisal,0.09,2009,Qtr 2,April,28
Barisal,0.09,2009,Qtr 2,April,29
Barisal,0.09,2009,Qtr 2,April,30
Barisal,0.09,2009,Qtr 2,May,1
Barisal,0.09,2009,Qtr 2,May,2
Barisal,0.09,2009,Qtr 2,May,9
Barisal,0.09,2009,Qtr 2,May,10
Barisal,0.09,2009,Qtr 2,May,11
Barisal,0.09,2010,Qtr 1,March,18
Barisal,0.09,2010,Qtr 1,March,19
Barisal,0.09,2010,Qtr 1,March,20
Barisal,0.09,2010,Qtr 1,March,21
Barisal,0.09,2010,Qtr 1,March,22
Barisal,0.09,2010,Qtr 1,March,23
Barisal,0.09,2010,Qtr 2,April,19
Barisal,0.09,2010,Qtr 2,April,20
Barisal,0.09,2010,Qtr 2,April,21
Barisal,0.09,2010,Qtr 2,April,22
Barisal,0.09,2010,Qtr 2,April,23
Barisal,0.09,2011,Qtr 1,March,2
Barisal,0.09,2011,Qtr 1,March,3
Barisal,0.09,2011,Qtr 1,March,4
Barisal,0.09,2011,Qtr 1,March,5
Barisal,0.09,2011,Qtr 1,March,6
Barisal,0.09,2011,Qtr 1,March,7
Barisal,0.09,2011,Qtr 1,March,8
Barisal,0.09,2011,Qtr 1,March,9
Barisal,0.09,2011,Qtr 1,March,10
Barisal,0.09,2011,Qtr 1,March,11
Barisal,0.09,2011,Qtr 1,March,19
Barisal,0.09,2011,Qtr 1,March,20
Barisal,0.09,2011,Qtr 1,March,21
Barisal,0.09,2011,Qtr 1,March,22
Barisal,0.09,2011,Qtr 1,March,23
Barisal,0.09,2011,Qtr 1,March,24
Barisal,0.09,2011,Qtr 2,April,11
Barisal,0.09,2011,Qtr 2,April,12
Barisal,0.09,2011,Qtr 2,April,13
Barisal,0.09,2011,Qtr 2,April,14
Barisal,0.09,2011,Qtr 2,April,15
Barisal,0.09,2011,Qtr 2,April,16
Barisal,0.09,2011,Qtr 2,April,17
Barisal,0.09,2011,Qtr 2,April,18
Barisal,0.09,2012,Qtr 1,March,26
Barisal,0.09,2012,Qtr 1,March,27
Barisal,0.09,2012,Qtr 1,March,28
Barisal,0.09,2012,Qtr 2,May,17
Barisal,0.09,2012,Qtr 2,May,18
Barisal,0.09,2012,Qtr 2,May,27
Barisal,0.09,2013,Qtr 1,March,11
Barisal,0.09,2013,Qtr 1,March,12
Barisal,0.09,2013,Qtr 1,March,13
Barisal,0.09,2013,Qtr 1,March,14
Barisal,0.09,2013,Qtr 1,March,15
Barisal,0.09,2013,Qtr 1,March,16
Barisal,0.09,2013,Qtr 1,March,26
Barisal,0.09,2013,Qtr 1,March,27
Barisal,0.09,2013,Qtr 1,March,28
Barisal,0.09,2013,Qtr 1,March,29
Barisal,0.09,2013,Qtr 1,March,30
Barisal,0.09,2013,Qtr 1,March,31
Barisal,0.09,2013,Qtr 2,April,1
Barisal,0.09,2013,Qtr 2,April,2
Barisal,0.09,2013,Qtr 2,April,3
Barisal,0.09,2013,Qtr 2,April,4
Barisal,0.09,2013,Qtr 2,April,15
Barisal,0.09,2013,Qtr 2,May,2
Barisal,0.09,2013,Qtr 2,May,3
Barisal,0.09,2014,Qtr 1,March,15
Barisal,0.09,2014,Qtr 1,March,16
Barisal,0.09,2014,Qtr 1,March,17
Barisal,0.09,2014,Qtr 1,March,18
Barisal,0.09,2014,Qtr 1,March,19
Barisal,0.09,2014,Qtr 1,March,20
Barisal,0.09,2014,Qtr 1,March,21
Barisal,0.09,2014,Qtr 2,April,3
Barisal,0.09,2014,Qtr 2,April,4
Barisal,0.09,2014,Qtr 2,April,8
Barisal,0.09,2014,Qtr 2,April,9
Barisal,0.09,2014,Qtr 2,April,10
Barisal,0.09,2014,Qtr 2,April,11
Barisal,0.09,2014,Qtr 2,April,12
Barisal,0.09,2014,Qtr 2,April,13
Barisal,0.09,2014,Qtr 2,April,14
Barisal,0.09,2014,Qtr 2,April,15
Barisal,0.09,2014,Qtr 2,April,16
Barisal,0.09,2014,Qtr 2,April,17
Barisal,0.09,2014,Qtr 2,April,18
Barisal,0.09,2014,Qtr 2,April,19
Barisal,0.09,2014,Qtr 2,April,20
Barisal,0.09,2014,Qtr 2,April,25
Barisal,0.09,2014,Qtr 2,April,26
Barisal,0.09,2014,Qtr 2,April,27
Barisal,0.09,2014,Qtr 2,April,28
Barisal,0.09,2014,Qtr 2,April,29
Barisal,0.09,2014,Qtr 2,April,30
Barisal,0.09,2014,Qtr 2,May,1
