humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,conditions
58.3,0.0,13.0,356.8,1014.3,21.0,4.2,0.25,0
64.8,1.0,13.3,2.1,1014.3,32.3,5.2,0.27,1
72.7,0.2,10.1,340.7,1013.9,29.1,3.0,0.31,1
68.0,0.0,8.6,3.9,1013.7,23.7,4.9,0.34,0
68.5,0.4,7.2,8.9,1014.6,20.7,3.8,0.37,1
75.5,5.7,18.0,102.4,1014.9,32.5,4.3,0.4,1
78.7,10.4,6.1,49.3,1017.4,31.2,3.5,0.43,1
72.0,6.0,8.3,24.5,1017.3,29.7,3.2,0.47,1
77.3,8.8,7.9,92.6,1015.8,28.0,4.2,0.5,1
79.8,1.5,10.4,349.2,1015.6,45.4,4.8,0.53,1
73.5,0.0,13.7,338.6,1015.9,20.7,4.0,0.57,0
65.6,0.0,13.0,329.2,1015.9,4.1,4.7,0.6,2
66.3,0.0,16.2,315.7,1015.7,0.0,4.2,0.64,2
65.2,0.0,14.4,328.1,1014.6,0.0,3.5,0.68,2
60.4,0.0,11.5,338.5,1013.3,4.4,4.9,0.71,2
62.3,0.0,11.9,326.7,1010.8,1.8,3.6,0.75,2
64.3,0.0,10.1,226.4,1009.3,11.1,3.7,0.78,2
70.1,0.0,11.5,238.5,1009.1,2.7,3.8,0.82,2
68.5,0.0,9.0,252.0,1010.5,6.0,3.9,0.85,2
75.7,0.0,9.4,263.8,1011.4,8.2,4.1,0.89,2
70.4,0.0,11.9,325.8,1012.4,15.2,5.3,0.93,2
60.2,0.0,15.8,345.1,1015.4,7.3,3.8,0.96,2
55.2,0.0,12.2,339.0,1014.9,26.8,5.0,0.0,0
60.6,0.0,11.9,337.2,1014.3,1.6,4.0,0.03,2
60.6,0.0,10.1,356.1,1013.6,1.3,4.0,0.06,2
60.8,0.0,10.4,346.9,1013.4,7.6,3.8,0.09,2
61.7,0.0,15.1,338.2,1013.4,7.7,4.4,0.13,2
57.1,0.0,13.0,11.5,1014.1,23.3,5.3,0.16,0
58.1,0.0,14.8,4.4,1014.2,8.3,4.2,0.19,2
56.0,0.0,18.4,355.0,1015.2,0.7,4.7,0.22,2
45.3,0.0,18.7,349.3,1015.9,2.2,5.4,0.25,2
46.6,0.0,17.3,347.1,1015.6,2.8,5.2,0.29,2
46.8,0.0,16.9,343.3,1016.5,6.7,5.7,0.32,2
45.8,0.0,16.6,341.2,1015.8,0.3,4.7,0.35,2
44.7,0.0,14.4,341.5,1014.3,0.0,4.2,0.38,2
44.5,0.0,13.0,325.2,1014.2,14.3,4.5,0.41,2
52.8,0.0,13.3,300.5,1012.5,0.3,4.0,0.45,2
52.9,0.0,15.8,336.2,1011.9,11.4,5.0,0.48,2
55.8,0.0,9.4,239.6,1010.6,55.6,4.3,0.5,0
66.7,0.0,21.6,316.8,1010.0,32.8,4.8,0.55,0
44.1,0.0,14.0,344.5,1014.2,2.0,6.7,0.58,2
39.3,0.0,12.2,331.7,1014.3,0.0,5.5,0.62,2
37.4,0.0,13.0,336.9,1014.5,0.7,6.9,0.65,2
38.4,0.0,9.7,14.9,1014.6,0.0,4.5,0.69,2
41.8,0.0,9.4,4.5,1013.6,0.4,4.7,0.75,2
49.8,0.6,9.4,358.6,1011.6,4.1,4.4,0.76,1
64.9,7.4,11.9,346.0,1011.7,16.4,5.0,0.8,1
65.6,0.0,17.3,345.4,1011.3,13.7,4.5,0.83,2
58.7,0.0,18.0,324.0,1012.4,0.0,5.0,0.87,2
48.0,0.0,15.8,313.2,1012.5,0.0,4.8,0.9,2
44.7,0.0,13.3,306.4,1010.8,1.2,5.1,0.94,2
47.3,0.0,15.5,288.7,1009.3,68.8,5.5,0.98,0
48.8,0.0,10.4,309.1,1008.7,42.4,5.9,0.0,0
47.5,0.0,14.4,311.3,1007.9,35.2,4.0,0.04,0
42.4,0.0,19.4,317.6,1008.3,5.7,5.3,0.07,2
38.9,0.0,15.1,311.4,1007.6,0.5,5.7,0.11,2
40.6,0.0,16.6,310.6,1006.4,0.1,5.7,0.14,2
35.4,0.0,14.0,308.7,1007.3,18.0,6.2,0.17,2
37.6,0.0,12.6,250.8,1005.9,0.0,5.5,0.2,2
65.9,1.6,16.2,208.4,1004.7,8.9,5.7,0.24,1
47.2,0.0,9.4,278.0,1007.1,39.4,4.0,0.25,0
52.0,2.7,13.3,245.4,1006.0,17.4,5.5,0.3,1
51.8,1.4,10.4,321.6,1004.7,5.6,4.9,0.33,1
38.0,0.0,13.7,302.1,1007.1,51.7,5.9,0.37,0
50.4,0.0,17.6,249.2,1007.1,41.8,6.2,0.4,0
55.3,0.0,16.9,242.2,1005.2,28.3,6.2,0.43,0
57.5,0.0,13.0,232.1,1003.0,60.0,5.4,0.46,0
51.9,0.0,13.3,282.4,1004.3,4.8,6.4,0.5,2
48.9,0.0,12.2,216.4,1006.0,3.5,5.4,0.53,2
58.6,0.0,9.4,315.4,1007.9,7.0,4.9,0.57,2
40.0,0.0,14.0,26.5,1010.4,12.3,6.2,0.6,2
30.8,0.0,11.9,27.8,1012.3,7.1,6.1,0.64,2
36.7,0.0,7.9,257.0,1012.1,23.0,5.0,0.67,0
46.6,0.0,14.4,312.9,1012.2,24.2,6.2,0.71,0
36.8,0.0,16.2,308.5,1011.8,2.1,6.2,0.75,2
37.0,0.0,15.5,289.2,1011.3,0.4,6.2,0.78,2
53.7,1.2,17.3,222.5,1009.5,11.3,5.9,0.81,1
59.1,2.8,16.6,220.4,1008.9,9.2,4.6,0.85,1
62.7,0.7,11.9,196.4,1009.8,31.2,5.6,0.88,1
63.8,0.0,9.4,217.3,1008.3,38.5,6.2,0.92,0
49.8,0.0,18.4,251.1,1007.1,34.8,4.4,0.95,0
60.7,0.0,17.6,221.5,1006.9,8.3,6.4,0.0,2
40.9,0.0,7.6,292.4,1009.6,55.2,6.4,0.02,0
32.5,0.0,10.8,258.5,1010.5,26.3,6.2,0.05,0
52.4,0.0,13.3,233.4,1009.4,2.7,6.4,0.09,2
55.3,0.0,14.4,234.8,1010.2,0.2,5.0,0.12,2
53.7,0.0,18.4,224.6,1010.0,23.9,6.2,0.15,0
49.9,0.0,19.1,223.3,1010.8,8.4,6.7,0.19,2
51.8,0.0,14.8,227.1,1009.5,1.1,6.9,0.22,2
58.4,0.0,18.0,207.0,1008.4,67.2,6.4,0.25,0
60.4,0.0,9.0,173.9,1010.6,78.1,6.7,0.25,0
51.2,0.0,9.0,254.2,1010.4,61.6,6.2,0.32,0
53.1,0.0,9.4,217.8,1010.4,49.0,6.2,0.35,0
52.4,0.0,14.8,201.0,1011.2,3.7,5.7,0.38,2
55.6,0.3,20.5,202.3,1011.0,3.7,6.8,0.42,1
61.4,1.3,18.0,194.8,1008.5,54.4,6.2,0.45,1
77.7,20.4,16.6,179.5,1008.1,50.7,5.7,0.48,1
