datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,Unnamed: 0.1,Unnamed: 0_y,river_discharge,Unnamed: 0,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
01-01-2012,0,"khulna,Bangladesh",31.0,15.7,22.2,29.6,15.7,22.0,12.7,58.3,0.0,0.0,0.0,,,,,13.0,356.8,1014.3,21.0,4.2,182.8,15.6,7.0,,2012-01-01T06:42:23,2012-01-01T17:27:46,0.25,Partially cloudy,1095,1095,75.56,730,51,27.7,17.4,22.1,22.1,0.1,0.1,1.0,11.8,3.57
01-01-2015,488,"Khulna,Bangladesh",28.9,17.5,21.2,28.8,17.5,21.2,16.5,76.7,0.9,100.0,29.17,rain,,,,13.7,61.0,1014.8,86.3,3.6,132.4,11.4,6.0,,2015-01-01T06:42:28,2015-01-01T17:27:57,0.36,"Rain, Partially cloudy",2191,2191,71.44,1826,53,21.7,18.3,20.1,22.0,7.0,7.0,13.0,10.8,0.82
01-01-2016,853,"Khulna,Bangladesh",28.0,12.8,19.4,27.5,12.8,19.4,11.8,65.5,0.0,0.0,0.0,,,,,8.6,345.0,1018.5,0.2,4.3,167.8,14.5,6.0,,2016-01-01T06:42:22,2016-01-01T17:27:47,0.72,Clear,2556,2556,73.99,2191,1,26.2,13.8,19.9,20.5,0.0,0.0,0.0,9.0,3.04
01-01-2016,2435,"Khulna,Bangladesh",28.0,12.8,19.4,27.5,12.8,19.4,11.8,65.5,0.0,0.0,0.0,,,,,8.6,345.0,1018.5,0.2,4.3,167.8,14.5,6.0,,2016-01-01T06:42:22,2016-01-01T17:27:47,0.72,Clear,2556,2556,73.99,2191,1,26.2,13.8,19.9,20.5,0.0,0.0,0.0,9.0,3.04
01-01-2017,974,"Khulna,Bangladesh",26.7,14.5,19.8,26.7,14.5,19.8,14.6,74.6,0.0,0.0,0.0,,,,,10.1,346.7,1015.5,5.9,2.8,162.0,13.9,6.0,,2017-01-01T06:42:36,2017-01-01T17:28:15,0.1,Clear,2922,2922,74.34,2557,3,25.7,15.0,19.8,20.9,0.0,0.0,0.0,9.2,2.9
01-01-2018,1339,"Khulna,Bangladesh",24.8,13.3,18.9,24.8,13.3,18.9,15.6,82.6,0.0,0.0,0.0,,,,,9.0,334.9,1011.2,88.5,5.0,166.0,14.3,7.0,,2018-01-01T06:42:32,2018-01-01T17:28:06,0.47,Partially cloudy,3287,3287,90.41,2922,1,24.6,13.5,19.3,20.2,0.0,0.0,0.0,9.8,2.18
01-01-2019,1704,"Khulna,Bangladesh",27.0,10.2,17.4,26.7,10.2,17.4,9.8,65.6,0.0,0.0,0.0,,,,,10.8,341.4,1018.4,0.0,4.4,183.5,15.9,7.0,,2019-01-01T06:42:28,2019-01-01T17:27:57,0.83,Clear,3652,3652,77.89,3287,0,24.9,12.1,18.2,17.8,0.0,0.0,0.0,9.0,3.16
01-01-2020,2069,"Khulna,Bangladesh",25.5,11.6,18.0,25.5,11.6,18.0,13.0,75.2,0.0,0.0,0.0,,,,,10.4,327.1,1018.8,8.5,4.5,187.8,16.2,7.0,,2020-01-01T06:42:24,2020-01-01T17:27:48,0.19,Clear,4017,4017,81.22,3652,1,24.9,13.3,18.9,19.3,0.0,0.0,0.0,9.0,2.85
01-01-2021,2556,"Khulna,Bangladesh",25.6,10.3,17.6,25.6,10.3,17.6,11.7,71.8,0.0,0.0,0.0,,,,,10.4,351.4,1015.6,70.9,4.5,177.5,15.3,7.0,,2021-01-01T06:42:38,2021-01-01T17:28:17,0.57,Partially cloudy,4383,4383,77.89,4018,0,24.7,12.9,18.5,18.1,0.0,0.0,0.0,9.6,3.21
01-01-2022,2921,"Khulna,Bangladesh",24.1,12.5,17.3,24.1,12.5,17.3,13.5,80.6,0.0,0.0,0.0,,,,,12.6,342.3,1018.7,22.7,4.8,160.1,13.8,7.0,,2022-01-01T06:42:34,2022-01-01T17:28:08,0.95,Partially cloudy,4748,4748,86.3,4383,1,23.1,14.0,18.0,18.0,0.0,0.0,0.0,12.1,2.81
01-01-2023,3286,"Khulna,Bangladesh",27.0,14.6,19.6,26.5,14.6,19.6,10.1,58.8,0.0,0.0,0.0,,0.0,0.0,12.6,10.1,34.8,1018.0,11.1,17.3,200.1,17.2,7.0,10.0,2023-01-01T06:42:30,2023-01-01T17:27:59,0.3,Clear,5113,5113,75.38,4748,1,24.4,14.9,19.5,20.1,0.0,0.0,0.0,8.7,2.66
01-02-2012,31,"khulna,Bangladesh",27.9,10.9,19.1,26.8,10.9,19.0,6.5,46.6,0.0,0.0,0.0,,,,,17.3,347.1,1015.6,2.8,5.2,203.1,17.6,7.0,,2012-02-01T06:41:43,2012-02-01T17:49:12,0.29,Clear,1126,1126,0.47,761,0,25.6,13.2,19.0,17.7,0.0,0.0,0.0,13.2,4.05
01-02-2015,519,"Khulna,Bangladesh",27.2,10.3,17.6,26.1,10.3,17.5,3.9,46.1,0.0,0.0,0.0,,,,,14.8,339.1,1017.2,0.0,5.5,216.0,18.7,8.0,,2015-02-01T06:41:36,2015-02-01T17:49:23,0.41,Clear,2222,2222,0.41,1857,0,23.9,11.5,17.8,16.8,0.0,0.0,0.0,12.9,3.74
01-02-2016,884,"Khulna,Bangladesh",31.7,18.7,23.5,29.8,18.7,23.2,13.6,59.4,0.0,0.0,0.0,,,,,11.2,302.7,1014.0,11.2,3.8,201.2,17.5,7.0,,2016-02-01T06:41:41,2016-02-01T17:49:12,0.75,Clear,2587,2587,0.44,2222,3,28.3,17.6,22.5,24.1,0.0,0.0,0.0,8.8,3.47
