datetime,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,river_discharge,tempmax_y,tempmin_y,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
2015-01-01,28.9,17.5,21.2,28.8,17.5,21.2,16.5,76.7,0.9,100.0,29.17,13.7,61.0,1014.8,86.3,3.6,132.4,11.4,6.0,71.44,21.7,18.3,22.0,7.0,7.0,13.0,10.8,0.82
2016-01-01,28.0,12.8,19.4,27.5,12.8,19.4,11.8,65.5,0.0,0.0,0.0,8.6,345.0,1018.5,0.2,4.3,167.8,14.5,6.0,73.99,26.2,13.8,20.5,0.0,0.0,0.0,9.0,3.04
2017-01-01,26.7,14.5,19.8,26.7,14.5,19.8,14.6,74.6,0.0,0.0,0.0,10.1,346.7,1015.5,5.9,2.8,162.0,13.9,6.0,74.34,25.7,15.0,20.9,0.0,0.0,0.0,9.2,2.9
2018-01-01,24.8,13.3,18.9,24.8,13.3,18.9,15.6,82.6,0.0,0.0,0.0,9.0,334.9,1011.2,88.5,5.0,166.0,14.3,7.0,90.41,24.6,13.5,20.2,0.0,0.0,0.0,9.8,2.18
2019-01-01,27.0,10.2,17.4,26.7,10.2,17.4,9.8,65.6,0.0,0.0,0.0,10.8,341.4,1018.4,0.0,4.4,183.5,15.9,7.0,77.89,24.9,12.1,17.8,0.0,0.0,0.0,9.0,3.16
2015-02-01,27.2,10.3,17.6,26.1,10.3,17.5,3.9,46.1,0.0,0.0,0.0,14.8,339.1,1017.2,0.0,5.5,216.0,18.7,8.0,0.41,23.9,11.5,16.8,0.0,0.0,0.0,12.9,3.74
2016-02-01,31.7,18.7,23.5,29.8,18.7,23.2,13.6,59.4,0.0,0.0,0.0,11.2,302.7,1014.0,11.2,3.8,201.2,17.5,7.0,0.44,28.3,17.6,24.1,0.0,0.0,0.0,8.8,3.47
2017-02-01,29.9,13.6,20.6,28.3,13.6,20.4,12.1,63.2,0.0,0.0,0.0,10.1,337.6,1015.1,0.0,3.8,201.8,17.3,8.0,0.5,26.8,14.2,21.3,0.0,0.0,0.0,8.9,3.69
2018-02-01,27.1,12.4,18.9,26.5,12.4,18.9,11.9,67.9,0.0,0.0,0.0,9.4,336.8,1011.9,0.1,4.4,187.1,16.1,7.0,4.41,25.6,13.2,20.0,0.0,0.0,0.0,9.4,3.65
2019-02-01,30.9,12.2,21.1,28.8,12.2,20.6,4.2,37.3,0.0,0.0,0.0,9.4,336.4,0.0,8.5,0.0,212.2,18.3,8.0,0.53,27.2,12.8,20.1,0.0,0.0,0.0,9.0,3.75
2015-03-01,35.9,20.0,27.0,34.6,20.0,27.0,17.6,63.1,0.0,0.0,0.0,9.4,235.1,1012.7,25.7,5.7,241.2,20.8,8.0,0.41,31.3,20.1,29.5,0.0,0.0,0.0,6.9,4.15
2016-03-01,33.3,20.4,26.0,33.4,20.4,26.2,18.0,65.2,0.3,100.0,8.33,9.4,271.5,1014.7,19.4,5.4,241.1,20.7,8.0,10.32,30.2,21.1,28.8,0.0,0.0,0.0,9.0,3.94
2017-03-01,35.2,16.4,25.0,32.6,16.4,24.3,8.6,42.7,0.0,0.0,0.0,8.6,303.6,1012.5,1.0,4.9,260.5,22.6,9.0,0.44,30.6,17.4,25.4,0.0,0.0,0.0,9.7,4.51
2018-03-01,35.0,19.8,26.4,33.6,19.8,26.3,16.0,57.9,0.0,0.0,0.0,11.5,313.4,1010.3,6.4,5.1,234.8,20.2,8.0,0.56,30.8,19.8,28.2,0.0,0.0,0.0,7.8,4.33
2019-03-01,26.5,15.9,20.9,26.5,15.9,20.9,13.6,65.9,0.0,0.0,0.0,12.6,354.6,0.0,1.1,0.0,252.0,21.9,9.0,28.51,25.4,14.7,20.0,0.0,0.0,0.0,13.4,4.2
2015-04-01,35.8,22.6,28.5,38.5,22.6,30.0,21.6,70.3,0.1,100.0,4.17,19.8,204.7,1009.0,17.4,5.4,275.2,23.7,9.0,0.94,31.1,24.0,31.1,1.6,1.6,5.0,20.9,4.28
2016-04-01,33.2,19.0,26.6,35.8,19.0,27.7,22.2,79.5,15.6,100.0,79.17,12.6,157.3,1009.3,34.6,5.9,213.2,18.5,7.0,8.44,27.1,21.6,28.5,26.4,26.4,12.0,18.5,1.91
2017-04-01,35.3,24.0,28.8,39.7,24.0,31.6,23.5,75.5,0.0,0.0,0.0,23.4,196.5,1007.9,19.1,6.2,282.0,24.4,9.0,15.11,32.7,25.5,31.9,0.0,0.0,0.0,22.1,4.83
2018-04-01,34.3,20.0,27.8,35.0,20.0,28.4,20.5,68.5,3.4,100.0,50.0,8.6,166.7,1009.5,47.1,5.5,170.4,15.0,6.0,2.09,31.4,21.9,30.1,0.1,0.1,1.0,18.4,3.42
2019-04-01,34.7,24.7,28.7,37.7,24.7,30.4,22.9,74.4,4.7,100.0,50.0,16.6,172.3,0.0,18.8,0.0,239.9,20.7,8.0,1.06,32.6,22.7,32.3,7.3,7.3,10.0,21.3,4.6
2015-05-01,35.8,25.4,29.9,45.6,25.4,34.1,24.5,75.6,2.7,100.0,50.0,11.9,200.3,1007.1,73.7,6.9,234.6,20.1,8.0,127.82,32.8,26.1,34.1,3.1,3.1,7.0,17.1,4.5
2017-05-01,34.5,22.7,28.0,41.3,22.7,31.1,24.4,82.3,22.4,100.0,100.0,11.9,184.7,1009.5,62.8,6.1,107.8,9.4,3.0,95.38,32.3,23.3,32.6,11.6,11.6,2.0,15.0,4.51
2018-05-01,32.7,23.1,27.9,37.5,23.1,30.5,23.6,78.8,19.2,100.0,66.67,8.6,193.5,1007.3,51.6,6.2,220.8,18.9,7.0,181.81,31.2,23.5,31.9,7.0,7.0,7.0,10.9,3.13
