,humidity,precip,precipcover,cloudcover,river_discharge,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,month,year
1325,83.1,0.1,4.17,6.3,0.3,19.7,0.0,0.0,0,12,2019
1326,84.5,0.3,12.5,41.4,0.31,18.9,0.0,0.0,0,12,2019
1327,84.3,0.0,0.0,5.5,0.33,17.9,0.0,0.0,0,12,2019
1328,84.0,0.1,4.17,22.9,0.33,16.3,0.0,0.0,0,12,2019
1329,89.8,46.8,95.83,64.6,0.31,17.8,2.1,2.1,6,12,2019
1330,84.7,1.2,25.0,34.7,0.28,18.5,3.9,3.9,10,12,2019
1331,83.6,0.1,4.17,42.8,0.28,18.4,0.0,0.0,0,12,2019
1332,84.3,2.0,25.0,9.6,0.28,17.9,0.0,0.0,0,12,2019
1333,84.7,0.5,20.83,26.1,0.3,19.1,0.0,0.0,0,12,2019
1334,82.7,0.2,8.33,11.3,0.3,18.0,0.0,0.0,0,12,2019
1335,80.5,0.0,0.0,62.0,0.31,17.5,0.0,0.0,0,12,2019
1336,77.5,0.0,0.0,51.8,0.31,16.5,0.0,0.0,0,12,2019
1337,82.2,0.0,0.0,65.9,0.31,17.1,0.0,0.0,0,12,2019
1338,80.5,0.0,0.0,13.4,0.33,18.9,0.0,0.0,0,12,2019
1339,84.2,0.0,0.0,8.7,0.33,21.9,0.0,0.0,0,12,2019
1340,84.2,0.0,0.0,22.8,0.33,22.4,0.0,0.0,0,12,2019
1341,82.7,0.0,0.0,10.0,0.33,22.7,0.0,0.0,0,12,2019
1342,76.9,0.0,0.0,18.4,0.34,23.4,0.0,0.0,0,12,2019
1343,74.8,0.0,0.0,2.9,0.36,22.2,0.0,0.0,0,12,2019
1344,73.5,0.0,0.0,5.3,0.37,22.0,0.0,0.0,0,12,2019
1345,71.3,0.0,0.0,13.7,0.37,23.1,0.0,0.0,0,11,2019
1346,73.0,0.0,0.0,4.7,0.39,23.2,0.0,0.0,0,10,2019
1347,74.5,0.0,0.0,20.2,0.39,23.7,0.0,0.0,0,9,2019
1348,75.0,0.0,0.0,19.7,0.39,24.8,0.0,0.0,0,8,2019
1349,74.6,0.0,0.0,18.6,0.41,23.7,0.0,0.0,0,7,2019
1350,72.7,0.0,0.0,43.6,0.42,24.0,0.0,0.0,0,6,2019
1351,75.7,0.0,0.0,56.2,0.44,23.7,0.0,0.0,0,5,2019
1352,79.7,0.0,0.0,25.3,0.44,21.3,0.0,0.0,0,4,2019
1353,73.9,0.0,0.0,1.6,0.45,20.9,0.0,0.0,0,3,2019
1354,79.1,0.0,0.0,23.6,0.47,22.4,0.0,0.0,0,2,2019
1355,83.0,0.0,0.0,48.6,0.49,23.9,0.0,0.0,0,1,2019
1356,82.1,0.0,0.0,2.1,0.49,25.6,0.0,0.0,0,11,2019
1357,82.8,0.0,0.0,6.3,0.5,26.4,0.0,0.0,0,11,2019
1358,82.2,0.0,0.0,1.7,0.52,26.0,0.0,0.0,0,11,2019
1359,80.3,0.0,0.0,7.5,0.53,25.4,0.0,0.0,0,11,2019
1360,78.2,0.0,0.0,12.1,0.55,26.3,0.0,0.0,0,11,2019
1361,79.4,0.0,0.0,18.9,0.58,26.4,0.0,0.0,0,11,2019
1362,80.8,0.0,0.0,22.0,0.59,26.2,0.0,0.0,0,11,2019
1363,81.1,0.0,0.0,19.9,0.63,25.9,0.0,0.0,0,11,2019
1364,75.9,0.0,0.0,29.8,0.64,26.0,0.0,0.0,0,11,2019
1365,74.2,0.0,0.0,30.0,0.67,24.2,0.0,0.0,0,11,2019
1366,77.2,0.0,0.0,3.3,0.72,23.3,0.0,0.0,0,11,2019
1367,76.6,0.0,0.0,0.8,0.77,26.7,0.0,0.0,0,11,2019
1368,77.6,0.0,0.0,5.7,0.83,27.5,0.0,0.0,0,11,2019
1369,81.3,0.0,0.0,2.0,0.91,26.3,0.0,0.0,0,11,2019
1370,83.1,0.0,0.0,11.7,1.03,27.5,0.0,0.0,0,11,2019
1371,83.4,0.0,0.0,0.0,1.23,28.3,0.0,0.0,0,11,2019
